Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",0,Unknown or n.a.,,No documented integration of CRVS with a government data exchange platform in Niger.,exchange-func-crvs,22,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.wuri.ne/etat-civil/; https://www.wuri.ne/mission-dappui-au-projet-wuri-niger-des-decisions-majeures-pour-accelerer-la-mise-en-oeuvre-du-projet/; https://apai-crvs.uneca.org/sites/default/files/resourcefiles/Digitalization%20of%20Civil%20Registration%20and%20Vital%20Statistics%20in%20Africa.pdf","The cited numericite.eu source covers only the 2020-22 e-gov/portal strategy and does not address CRVS data-exchange integration. A 2023 AfDB/COMESA CRVS digitalisation assessment (fetched) confirmed Niger then had no digitised national identity system and no CRVS-ID interoperability. However, the World Bank-financed WURI-Niger project (Composante 3) is financing an interoperability framework linking the National Population Register/ID system with the état civil (CRVS) system; a February 2026 project mission (fetched) confirms active work aligning the Registre National de la Population with état civil and designing the target architecture, via a newly formed inter-institutional Task Force. This is active but not operational, so recalculated from 0 (Unknown) to 3 (Under development).",2026,medium,"The Registre National de la Population is being aligned with Niger's état civil (CRVS) system under the World Bank-financed WURI-Niger project. A digital état civil management platform already operates in around 100 communes, recording births and assigning unique identification numbers, but full interoperability between CRVS and the national identification system remains under design: a February 2026 project mission set out the target technical architecture and formed an inter-institutional Task Force, coordinated by ANSI, to advance this work. CRVS data is therefore not yet integrated into an operational cross-government data exchange.",
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,0,Unknown or n.a.,,No evidence of a national digital ID integrated with a data exchange platform in Niger. Digital identity systems are not yet documented as part of an interoperability framework.,exchange-func-digitalid,21,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.wuri.ne/mission-dappui-au-projet-wuri-niger-des-decisions-majeures-pour-accelerer-la-mise-en-oeuvre-du-projet/; https://www.wuri.ne/lab-mosip/; https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/","The original source does not address digital ID-to-exchange integration. Niger has no fully deployed national digital ID yet, but the World Bank-financed WURI-Niger project is developing a foundational ID (Numéro Unique d'Identification) on the MOSIP platform; a pilot enrolling ~500 people was completed via 'Lab MOSIP', and a February 2026 mission (fetched) progressed the target technical architecture and governance for a future National Registration and Identification Agency. The interoperability layer intended to connect the ID with other service providers (Composante 3) is financed but not operational. Recalculated from 0 (Unknown) to 3 (Under development).",2026,medium,"Niger does not yet have a fully deployed national digital identity system integrated into a cross-government data exchange. The World Bank-financed WURI-Niger project is developing a foundational digital ID based on the MOSIP open-source platform; a pilot enrolling around 500 people has been completed through the 'Lab MOSIP', and a February 2026 project mission advanced the target technical architecture and governance arrangements for a future National Registration and Identification Agency (ANEI). The interoperability layer intended to connect the digital ID with other public and private service providers is financed but not yet operational.",
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,No evidence of electoral register integration with a data exchange platform in Niger.,exchange-func-electoral,25,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,,"No evidence found of any electoral register integration with a government data exchange in Niger. The electoral commission is not named among the beneficiary institutions of the WURI-Niger interoperability project (Composante 3), which covers état civil, justice, police, social protection, statistics, finance/banking and migration but not elections. Recalculated from 0 (Unknown) to 1 (Not integrated), reflecting confirmed absence rather than lack of information.",,low,"There is no evidence of Niger's electoral register being integrated into a government data exchange platform. The country's principal interoperability initiative, the World Bank-financed WURI-Niger identification project, does not list the electoral authority among its named beneficiary institutions, and no separate data-sharing arrangement between the electoral register and other government systems has been identified.",
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence of employment or labor market integration with a government data exchange platform in Niger.,exchange-func-employment,34,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/,"Le Sahel/ONEP's official description of the WURI-Niger project (fetched) names the Ministère de l'Emploi et de la Protection Sociale among the government partners intended to benefit from the planned interoperability framework (Composante 3) linking the national ID system to public service providers. No evidence of an operational data exchange for employment services. Recalculated from 0 (Unknown) to 2 (Planned). Coding rests on an inferred sector link from a partner list rather than an explicit sector-specific plan, so flagged for review.",2024,medium,"Integration of employment services data into a government data exchange is at the planning stage. The Ministère de l'Emploi et de la Protection Sociale is named as a partner ministry in the World Bank-financed WURI-Niger identification project, whose Composante 3 will finance an interoperability framework connecting the national digital identity system to public service providers, including labour and social protection agencies. This framework has not yet been built or made operational.",human_review
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence of justice system integration with a government data exchange platform in Niger.,exchange-func-justice,32,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/,"Le Sahel/ONEP's official description of the WURI-Niger project (fetched) names the Ministère de la Justice among the partner institutions of the planned interoperability framework (Composante 3). No evidence of an operational exchange. Recalculated from 0 (Unknown) to 2 (Planned). Coding rests on an inferred sector link from a partner list rather than an explicit sector-specific plan, so flagged for review.",2024,medium,"Integration of justice sector data into a government data exchange is at the planning stage. The Ministère de la Justice is named as a partner institution of the World Bank-financed WURI-Niger identification project, whose Composante 3 will finance an interoperability framework linking the national digital identity system with justice and other public services, including identity verification in judicial processes. This interoperability layer has not yet been implemented.",human_review
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,0,Unknown or n.a.,,No evidence of driver licensing integration with a government data exchange platform in Niger.,exchange-func-licensing,27,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,,"No evidence found of driver's licensing or traffic offence data being integrated with a government data exchange in Niger. The transport/licensing authority is not named among the beneficiary institutions of the WURI-Niger interoperability project. Recalculated from 0 (Unknown) to 1 (Not integrated), reflecting confirmed absence rather than lack of information.",,low,"There is no evidence of driver's licensing or traffic offence data being integrated into a government data exchange in Niger. Neither the WURI-Niger identification project nor other identified digital government initiatives list the transport or licensing authority among the sectors covered by planned interoperability work.",
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Passport & Immigration Integration,Integration of passport issuance and immigration control data into the exchange platform,0,Unknown or n.a.,,No evidence of passport or immigration data integration with a government data exchange platform in Niger.,exchange-func-passport,26,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/,"Le Sahel/ONEP's official description of the WURI-Niger project (fetched) shows the Direction Générale de l'État Civil, de la Migration et des Réfugiés (DGECM-R), which oversees migration/passport-related functions, as a lead project partner, and lists improved management of migration flows and refugees among project objectives via the planned interoperability framework. Recalculated from 0 (Unknown) to 2 (Planned). Coding rests on an inferred sector link rather than an explicit sector-specific integration plan, so flagged for review.",2024,medium,"Integration of passport and immigration data into a government data exchange is at the planning stage. The Direction Générale de l'État Civil, de la Migration et des Réfugiés (DGECM-R), which oversees migration and passport-related functions, is a lead partner in the World Bank-financed WURI-Niger identification project. The project's objectives include improving management of migration flows, refugees and displaced persons through a planned interoperability framework, which is not yet operational.",human_review
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Payments Integration,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",0,Unknown or n.a.,,No evidence of national payment system integration with a government data exchange platform in Niger.,exchange-func-payments,23,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/,"Le Sahel/ONEP's official description of the WURI-Niger project (fetched) names banks, mobile money operators and money transfer companies among the beneficiary institutions of the planned interoperability framework (Composante 3), intended to enable identity verification for financial services. No evidence of an operational payments-linked data exchange. Recalculated from 0 (Unknown) to 2 (Planned). Coding rests on an inferred sector link rather than an explicit sector-specific integration plan, so flagged for review.",2024,medium,"Integration of national payment systems into a government data exchange is at the planning stage. Banks, mobile money operators and money transfer companies are named among the beneficiary institutions of the interoperability framework being financed under the World Bank's WURI-Niger identification project, intended to enable identity verification for financial services. This framework has not yet been built or made operational.",human_review
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",0,Unknown or n.a.,,No evidence of national statistics integration with a government data exchange platform in Niger.,exchange-func-planning,33,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/,"Le Sahel/ONEP's official description of the WURI-Niger project (fetched) names Niger's Institut National de la Statistique (INS) as a partner institution, with more reliable population statistics cited among the project's intended benefits via the planned interoperability framework. No evidence of an operational exchange. Recalculated from 0 (Unknown) to 2 (Planned). Coding rests on an inferred sector link rather than an explicit sector-specific integration plan, so flagged for review.",2024,medium,"Integration of national statistics into a government data exchange is at the planning stage. Niger's Institut National de la Statistique (INS) is named as a partner institution in the World Bank-financed WURI-Niger identification project, which aims among other things to provide more reliable population statistics through a planned interoperability framework linking the identification system to public administration data. This framework is not yet operational.",human_review
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",0,Unknown or n.a.,,No evidence of social protection system integration with a government data exchange platform in Niger.,exchange-func-socialprotection,30,https://numericite.eu/realisations/definir-la-strategie-e-gov-et-accompagner-la-mise-en-oeuvre-des-services-publics-numeriques-du-niger/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,https://www.lesahel.org/presentation-du-projet-didentification-unique-pour-lintegration-regionale-et-linclusion-en-afrique-de-louest-wuri-niger-un-projet-pour-renforcer-l/,"Le Sahel/ONEP's official description of the WURI-Niger project (fetched) names social security institutions (CNSS, CARENI) and social protection programmes among the beneficiaries of the planned interoperability framework (Composante 3), intended to support more efficient management of social safety nets. No evidence of an operational exchange. Recalculated from 0 (Unknown) to 2 (Planned). Coding rests on an inferred sector link rather than an explicit sector-specific integration plan, so flagged for review.",2024,medium,"Integration of social protection systems into a government data exchange is at the planning stage. Niger's social security institutions (CNSS, CARENI) and social protection programmes are named among the beneficiaries of the interoperability framework being financed under the World Bank's WURI-Niger identification project, intended to support more efficient management of social safety nets. This framework has not yet been implemented.",human_review
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,AI/Analytics Capabilities,"Is artificial intelligence integrated into the data exchange for data quality, fraud detection or predictive analytics",0,Unknown or n.a.,,"No evidence of AI integration in government data exchange systems in Niger. The country is focused on basic digital infrastructure development (IXP installation in August 2025, data center construction).",exchange-system-ai,6,https://www.agenceecofin.com/actualites-numerique/2108-130856-le-niger-se-dote-d-un-nouveau-point-d-echange-internet,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://www.agenceecofin.com/actualites-numerique/2108-130856-le-niger-se-dote-d-un-nouveau-point-d-echange-internet; https://www.wuri.ne/mission-dappui-au-projet-wuri-niger-des-decisions-majeures-pour-accelerer-la-mise-en-oeuvre-du-projet/","The cited source concerns Niger's new domestic Internet Exchange Point (IXP), inaugurated August 2025 (fetched), which is a physical internet-peering facility, separate from any cross-agency government data exchange. No evidence of AI or analytics capability in any Niger government data exchange or in the WURI-Niger identification/interoperability system currently under development; digital government efforts remain focused on foundational connectivity and identity infrastructure. Recalculated from 0 (Unknown) to 1 (No).",2025,medium,"There is no evidence that artificial intelligence or advanced analytics capabilities have been integrated into any Niger government data exchange system. Current digital government efforts are concentrated on foundational infrastructure, including a new domestic Internet Exchange Point inaugurated in August 2025 and the World Bank-financed WURI-Niger digital identity and interoperability project, neither of which includes AI or predictive analytics functions.",
NER,Niger,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Sub-National Participation,Extent to which provincial/state and local governments participate in the data exchange,0,Unknown or n.a.,,No evidence of sub-national or regional government participation in any data exchange platform in Niger. Digital services are nationally managed through ANSI.,exchange-uptake-subnational,45,https://www.expertisefrance.fr/fr/projets/projet-dappui-la-reforme-de-ladministration-numerique-au-niger,1,Low,no_year,No data year recorded — provenance/recency unknown.,,https://www.expertisefrance.fr/fr/projets/projet-dappui-la-reforme-de-ladministration-numerique-au-niger; https://www.wuri.ne/etat-civil/,"Confirmed. No operational, whole-of-government data exchange platform currently exists in Niger for sub-national governments to participate in; digital government initiatives (ANSI's e-services portal, WURI-Niger's planned ID/interoperability framework) remain centrally managed and are still under development. No authoritative source describes sub-national government participation in any data exchange, so the 'n.a.' component of code 0 continues to apply rather than a definitive '1=National level only', which would imply an existing exchange restricted to national actors.",,low,"No government data exchange platform currently operates in Niger with which sub-national administrations could participate. Digital government initiatives, including the citizen services portal managed by the Agence Nationale pour la Société de l'Information (ANSI) and the World Bank-financed WURI-Niger identification and interoperability project, remain centrally managed and are still under development.",
