Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,1,No,2024,"Multiple digital business-related registries exist (RCCM, RBE), but no explicit interoperability/data exchange between them (or with other registries) was found in reviewed sources.",reg-business-dpi,29,https://fichiernationalrccm.bf;https://servicepublic.gov.bf/eservice/rbe-registre-electronique-des-beneficiaires-effectifs,2,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Status,Does the government maintain a digital business register?,4,Partially deployed,2023,Digital business registry services exist: the Fichier National RCCM provides online search/consultation of official company documents; additional online services exist for RCCM acts and beneficial ownership register (RBE).,reg-business-exists,25,https://fichiernationalrccm.bf;https://e-actes-rccm.gov.bf;https://servicepublic.gov.bf/eservice/rbe-registre-electronique-des-beneficiaires-effectifs,3,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Data exchange integration,Is the register integrated with the government's national data exchange system?,2,Planned,2022,"Interoperability is described between civil registration and health facilities (births registered from maternity wards into central system; interoperability activities referenced by partners), but not confirmed as nationwide full DPI integration.",reg-cr-dpi,13,https://icivil.org/ensuring-human-rights-in-burkina-faso-one-baby-at-time/;https://www.amade.org/en/missions/protection/civil-status-for-all/civil-registration-for-children-in-burkina-faso-oe-phase-ii.html,2,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Status,Does the government maintain a digital civil register?,4,Partially deployed,2025,"Digital civil registration services exist, including an official portal for requesting civil status extracts (birth/marriage/death) and digital CRVS initiatives (iCivil rollout; platforms for digitizing declarations).",reg-cr-exists,7,https://services-etatcivil.gov.bf;https://icivil.org/en/home/;https://citizenshiprightsafrica.org/la-digitalisation-des-declarations-des-naissances-et-autres-actes-detat-civil-une-realite-au-burkina-faso/?lang=fr,3,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Uptake,What proportion of the population does the register cover?,3,50-69%,2024,Evidence of meaningful but not universal uptake: online extract request portal exists; national-level birth registration timeliness around ~60% indicates moderate coverage.,reg-cr-uptake,10,https://services-etatcivil.gov.bf;https://www.amade.org/en/missions/protection/civil-status-for-all/civil-registration-for-children-in-burkina-faso-oe-phase-ii.html,2,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Status,Does the government maintain a digital electoral register?,3,Under development,2012,"Electoral register exists with biometric voter registration introduced in 2012; lists published and consultable (at least via CENI website/posted lists), but not clearly a full online searchable register.",reg-elect-exists,30,https://tsep.africa.ufl.edu/identification-listes-electorales/burkina-faso/?lang=fr;http://www.ceni.bf,2,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Separate cadastral register,Does the government maintain a separate cadastral register?,4,Partially deployed,2025,SYC@D explicitly targets cadastral management and provides online cadastral extracts; mining cadastre (eMC+) is also digitized (sector-specific).,reg-land-cadastral,15,https://www.finances.gov.bf/forum/detail-actualites?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=2122&cHash=01b63afc201fc6718e8985e97c47c048;https://www.gaf.de/gaf-ag-to-upgrade-burkina-fasos-mining-cadastre-system-emc-under-the-world-bank-funded-pargfm-project/,2,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Data exchange integration,Is the register integrated with the government's national data exchange system?,1,No,2025,"SYC@D centralizes and digitizes land/cadastral data, but no explicit evidence of interoperability/data exchange APIs with other registries was found.",reg-land-dpi,19,https://www.finances.gov.bf/forum/detail-actualites?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=2122&cHash=01b63afc201fc6718e8985e97c47c048,1,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Land,Status,Does the government maintain a digital land register?,4,Partially deployed,2025,Government launched SYC@D (Système Intégré de Gestion du Cadastre et des Domaines) as an online platform for land/cadastre/domain procedures and issuance of land occupancy titles and cadastral extracts.,reg-land-exists,14,https://www.finances.gov.bf/forum/detail-actualites?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=2122&cHash=01b63afc201fc6718e8985e97c47c048;https://sif.bf,2,OK,,,,,
BFA,Burkina Faso,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Social Protection,Data exchange integration,Is the register integrated with the government's national data exchange system?,1,No,2025,"Interoperability efforts with other databases (e.g., IDPs and unique identifier system) are mentioned, but implementation status/extent is unclear.",reg-social-dpi,44,https://www.worldbank.org/en/programs/sahel-adaptive-social-protection-program-trust-fund/country-work/burkina-faso,1,OK,,,,,
