Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",1,Not integrated,2025,Digital agriculture applications mentioned by President Touadera's vision (May 2025) but no operational farmer registry or agricultural input system integrated with government data exchange.,exchange-func-agriculture,31,https://ndjonisango.com/2025/05/22/rca-touadera-mise-sur-la-transformation-numerique-pour-revitaliser-leconomie/,1,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",3, Under development,2025,Business licensing is explicitly a service in the e-B̻kou e-government program. Small business registrations have seen a modest rise since launch. The DUNIA platform (mentioned in PND Feb 2026) aims to improve business climate. Integration with centralized exchange layer under development.,exchange-func-business,35,https://harbingerstandard.com/politics/central-african-republic-e-government/;https://mepci-rca.org/2026/02/11/la-digitalisation-des-services-publics-et-la-gouvernance-numerique-du-pnd-2024-2028/,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",3, Under development,2025,"The e-B̻kou program explicitly digitized over 300,000 civil status documents in its pilot phase using blockchain-backed registries. Civil registry documents are a core service of the Gouvernemental Centralis̩ portal. Under active development and being connected to the government portal.",exchange-func-crvs,22,https://harbingerstandard.com/politics/central-african-republic-e-government/;https://www.ecofinagency.com/news-digital/1212-51337-central-african-republic-launches-unified-digital-portal-for-all-public-services,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",2, Planned,2025,The Gouvernemental Centralis̩ portal plans future modules for school enrollment. No current operational education system integration with data exchange. Startup training center at University of Bangui mentioned but no learner record system integration documented.,exchange-func-education,29,https://www.ecofinagency.com/news-digital/1212-51337-central-african-republic-launches-unified-digital-portal-for-all-public-services;https://ndjonisango.com/2025/05/22/rca-touadera-mise-sur-la-transformation-numerique-pour-revitaliser-leconomie/,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",2, Planned,2025,The Gouvernemental Centralis̩ portal plans future modules for medical certificate applications. No current operational health system integration with data exchange. Only 14% electricity access nationwide limits health digitalization.,exchange-func-health,28,https://www.ecofinagency.com/news-digital/1212-51337-central-african-republic-launches-unified-digital-portal-for-all-public-services;https://harbingerstandard.com/politics/central-african-republic-e-government/,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Enabling Legislation,"Whether primary laws, acts, or legal instruments exist that establish authority for cross-government data sharing and govern the data exchange system",2, Under development,2025,No specific cross-government data sharing law found. CEMAC (regional) framework provides some regulatory basis for electronic financial services. The Gouvernemental Centralis̩ portal operates within existing governance. A national digital law is implied by the PND but no specific enabling legislation for data exchange identified.,exchange-gov-legislation-exists,15.5,https://harbingerstandard.com/politics/central-african-republic-e-government/;https://acap-rca.org/2025/11/11/republique-centrafricaine-le-numerique-au-service-de-linclusion-financiere/,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Implementation Roadmap,"Whether a detailed implementation roadmap with phases, milestones, and timelines exists for data exchange development",2, Under development,2025,"The launch of the Gouvernemental Centralis̩ portal (Dec 2025) with stated plans to expand to health, education and tax services implies a phased rollout approach. The PND 2024-2028 outlines digital priorities. However, a formal published implementation roadmap with phases and milestones for data exchange specifically was not found.",exchange-gov-roadmap,14,https://www.ecofinagency.com/news-digital/1212-51337-central-african-republic-launches-unified-digital-portal-for-all-public-services;https://mepci-rca.org/2026/02/11/la-digitalisation-des-services-publics-et-la-gouvernance-numerique-du-pnd-2024-2028/,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Strategic Framework,Whether a formal strategy or policy document exists specifically for government data exchange and interoperability,2, Mentioned in Broader DPI/Digital Strategy,2024,"National Development Plan 2024-2028 (PND-RCA) includes digitalization of public services as a priority component. President Touadera's digital transformation vision cited May 2025. However, no standalone data exchange or interoperability strategy identified; digital transformation is addressed within the broader PND and sector plans.",exchange-gov-strategy,13,https://mepci-rca.org/2026/02/11/la-digitalisation-des-services-publics-et-la-gouvernance-numerique-du-pnd-2024-2028/;https://ndjonisango.com/2025/05/22/rca-touadera-mise-sur-la-transformation-numerique-pour-revitaliser-leconomie/,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Operational Status,Current operational status of the data exchange system,3, Under Development,2025,"The ""Gouvernemental Centralis̩"" portal was launched December 10, 2025, allowing online administrative tasks, document tracking, and access to government information - funded by World Bank Public Sector Governance Programme (PGNSP), implemented by EY Tunisie Medianet. The e-B̻kou program (launched February 2025) includes civil registry, business licensing, land titles, and tax services with biometric logins and blockchain-backed registries. Plans to expand to health, education and tax. Under development/partially operational - not yet a full interoperability data exchange layer.",exchange-system-operational,5,https://www.ecofinagency.com/news-digital/1212-51337-central-african-republic-launches-unified-digital-portal-for-all-public-services;https://harbingerstandard.com/politics/central-african-republic-e-government/;https://mepci-rca.org/2026/02/11/la-digitalisation-des-services-publics-et-la-gouvernance-numerique-du-pnd-2024-2028/,3,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Data Sovereignty Provisions,Provisions ensuring national control over government data and protecting against unauthorized foreign access,2,Limited controls,2025,"The e-B̻kou platform uses ""cloud infrastructure"" - no indication of national data hosting. The platform was implemented by EY Tunisie Medianet (a foreign firm). No data localization requirements or sovereignty provisions for government data exchange found. CAR has CEMAC regional framework but limited national controls.",exchange-uptake-sovereignty,64,https://harbingerstandard.com/politics/central-african-republic-e-government/;https://www.ecofinagency.com/news-digital/1212-51337-central-african-republic-launches-unified-digital-portal-for-all-public-services,2,OK,,,,,
CAF,Central African Republic,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Sub-National Participation,Extent to which provincial/state and local governments participate in the data exchange,1,National level only,2025,The digital portal is centered in Bangui. Only about 14% of population has electricity access and daily internet use below 10%. Any data exchange system operates at national/capital level only. Solar-powered kiosks being tested in some areas.,exchange-uptake-subnational,45,https://harbingerstandard.com/politics/central-african-republic-e-government/,1,OK,,,,,
