Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,1, No,2024,"DPI Map (October 2024) records 'Enables authentication: NO'. The APC 2024 report confirms the current national ID card 'does not yet meet the criteria for digital identification' and the facial identity alone does not grant direct digital access to the PIN or other details. The February 2026 government announcement of future digital ID cards notes they will 'enable citizens to verify their identity electronically' once implemented, but this is not yet deployed.",id-functionality-authdigital,36,https://dpimap.org/eswatini/;https://www.apc.org/en/news/risk-human-rights-infringement-eswatini-rushes-regulate-ict-sector,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,1, No,2024,DPI Map (October 2024) records 'Enables authentication via government portal: NO'. The UNDP 2024 DRA notes digital government services have progressed in tax and utility but identity documents and portal authentication are identified as areas for further expansion. No evidence of national ID-based government portal login exists in current sources.,id-functionality-authgovtportal,37,https://dpimap.org/eswatini/;https://www.undp.org/sites/g/files/zskgke326/files/2024-12/dra_report_eswatini.pdf,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,2, Yes,2022,"The Data Protection Act 2022 grants individuals the right of access to their personal data and the right to challenge its accuracy, as well as the right to correction or deletion. This provides a legal basis for individual data access. However, a practical self-service portal for ID data access does not appear to exist; the right is exercised through the ESCCOM/EDPA.",id-functionality-dataview,42,https://itlawco.com/focus-areas/data-protection-and-privacy/data-protection-act-5-of-2022-eswatini/;https://www.esccom.org.sz/legislation/DATA%20PROTECTION%20ACT.pdf,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2022,"Commercial banks can access the civil registry for identity verification, enabling KYC processes using the national ID. The APC 2024 report notes 'recent developments allowing service providers like commercial banks to access the civil registry for identity verification.' Smile ID confirms the national ID card is the primary KYC document in Eswatini for financial services. The 2022 AML/KYC regulations under Section 19 of the Money Laundering Act require ID-based KYC. DPI Map records 'Enables KYC: NO' for fully digital KYC, but physical ID-based KYC is operational.",id-functionality-kycenable,38,https://usesmileid.com/countries/Eswatini;https://www.apc.org/en/news/risk-human-rights-infringement-eswatini-rushes-regulate-ict-sector,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2022,Eswatini's Data Protection Act 2022 allows data subjects to pursue civil actions for damages in court and lodge complaints with the Communications Commission. There are general judicial mechanisms for redress but no ID-specific judicial oversight mechanism. DPI Map records 'Legally binding redress mechanism: NA' under national identity. General rule-of-law courts can hear data protection complaints under the 2022 Act.,id-governance-courtoversight,22,https://itlawco.com/focus-areas/data-protection-and-privacy/data-protection-act-5-of-2022-eswatini/;https://dpimap.org/eswatini/,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2022,"The UNDP 2024 DRA notes 'mixed expert assessment of digital transformation of the civil registration, indicating inconsistent implementation of digitisation initiatives.' ICAP (2022) confirms CRVS activities are strengthened with the 5-year CRVS Strategic Plan 2022-2027. ECA notes digitisation of identity management 'is providing an opportunity for linkage with birth and death registration' but this is still in progress. The World Bank Digital Economy Diagnostic notes an integrated CRVS-NPR system exists but linkages are partial.",id-governance-crvs,21,https://www.undp.org/sites/g/files/zskgke326/files/2024-12/dra_report_eswatini.pdf;https://icap.columbia.edu/news-events/icap-supports-eswatini-to-strengthen-countrys-civil-registration-process-birth-deaths-and-marriage-records/;https://ecastats.uneca.org/asn/en-us/Sections/News-and-events/NE-Eswatini-became-the-2nd-country-to-officially-launch-phase-two,3,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",2, Partially available,2022,"The Data Protection Act 2022 establishes partial rules for data sharing: it requires explicit consent for data transfers, mandates secure measures for trans-border data flows (full within SADC, conditional outside). However, DPI Map records 'Terms of data storage and sharing available: NO' and 'Data handling terms exist: NO' specifically for the ID system, indicating ID-specific sharing rules are not yet publicly available. General data sharing rules exist under the DPA 2022 but are not ID-specific.",id-governance-datasharingrules,23,https://itlawco.com/focus-areas/data-protection-and-privacy/data-protection-act-5-of-2022-eswatini/;https://dpimap.org/eswatini/,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,1, No,2024,DPI Map (updated October 2024) records 'Regulation for digital ID: NO'. The APC 2024 report confirms the national government has not yet rolled out digital identity in earnest and no specific digital ID regulation exists. The four 2022 Acts address ICT broadly but not digital ID specifically. DPI Map also records 'Identity act codifies legal status: NO' and 'Identity act sets up procedural rules for data management: NO'.,id-governance-digidreg,17,https://dpimap.org/eswatini/;https://www.apc.org/en/news/risk-human-rights-infringement-eswatini-rushes-regulate-ict-sector,2,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2022,"The Data Protection Act No. 5 of 2022 came into force on 4 March 2022. It governs the collection, processing, storage, and disclosure of personal data, aligned with SADC standards. It applies to both public and private entities and covers biometric data. DPI Map records 'National Data Protection Act exists: YES'.",id-governance-dpaexists,18,https://itlawco.com/focus-areas/data-protection-and-privacy/data-protection-act-5-of-2022-eswatini/;https://www.esccom.org.sz/legislation/DATA%20PROTECTION%20ACT.pdf;https://dpimap.org/eswatini/,3,OK,,,,,
SWZ,Eswatini,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2022,"The Eswatini Communications Commission (ESCCOM) is designated as the Data Protection Authority (EDPA) under the Data Protection Act 2022. It is empowered to monitor compliance, investigate violations, issue codes of conduct, and impose fines up to E5 million. DPI Map records 'Data leak disclosure process exists: YES'. The World Bank notes the Data Protection Office still needs full operationalisation.",id-governance-dpaoversight,19,https://itlawco.com/focus-areas/data-protection-and-privacy/data-protection-act-5-of-2022-eswatini/;https://www.esccom.org.sz/legislation/DATA%20PROTECTION%20ACT.pdf;https://www.worldbank.org/en/country/eswatini/publication/eswatini-economic-update-digital-transformation-key-to-unlocking-growth-jobs-and-economic-resilience,3,OK,,,,,
