Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,2, Yes,2025,"DPI Map confirms 'Enables authentication: YES'. ANIP processed 200,000 biometric authentications per day (as of 2025) with mobile operators. In 2025, GSM operators processed 3.8 million authentication requests and 25 million eKYC verifications were completed. QR-code authentication of fID certificates is supported via mobile app. The CNIB has a contact chip for digital authentication.",id-functionality-authdigital,36,https://dpimap.org/benin/;https://www.biometricupdate.com/202602/benin-reports-75-of-identification-services-accessed-through-digital-platforms;https://www.biometricupdate.com/202506/benin-envisages-mobile-wallet-launch-in-inclusive-national-digital-id-push,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,2, Yes,2020,"DPI Map confirms 'Enables authentication via government portal: YES'. In March 2020, Benin launched a standard platform for 300+ e-services using citizens' NPI for authentication. The eservices.anip.bj portal (37% of requests in 2025) and ANIP BJ mobile app (30%) use NPI-based authentication. Citizens can log in with their NPI to access official documents and services online.",id-functionality-authgovtportal,37,https://dpimap.org/benin/;https://anip.bj;https://smartafrica.org/wp-content/uploads/2020/12/BLUEPRINT-SMART-AFRICA-ALLIANCE-%E2%80%93-DIGITAL-IDENTITY-LayoutY.pdf,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,2, Yes,2021,"Law 2017-08 Art. 48 gives individuals the right to obtain from ANIP the list of authorities that have accessed their data in the past 6 months. Law 2009-09 and the Digital Code (Law 2017-20) provide rights to access, rectify, and correct personal data. ANIP's platform (eservices.anip.bj) allows citizens to 'view and request modification of their data online'. The CNIB chip allows the cardholder to access their stored data.",id-functionality-dataview,42,https://www.ahjucaf.org/sites/default/files/inline-files/loi-2017-08%20du%20Be%CC%81nin2.pdf;https://anip.bj;https://anip.bj/politique-de-confidentialite-des-donnees-des-plateformes-anip-bj-et-eservicesanip-bj/,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2025,"DPI Map confirms 'Enables KYC: YES'. In 2025, ANIP performed 25 million electronic KYC (eKYC) verifications. MTN Benin's SIM registration T&Cs explicitly state that identification is done 'in collaboration with ANIP' for real-time NPI/NPIR verification. Banks are required to accept ANIP documents per MoF Circular 021/MEF/2021. Law 2018-04 governs AML/KYC enforced via APDP.",id-functionality-kycenable,38,https://dpimap.org/benin/;https://www.biometricupdate.com/202602/benin-reports-75-of-identification-services-accessed-through-digital-platforms;https://www.mtn.bj/wp-content/uploads/2024/12/CONDITIONS-GENERALES-CARTE-SIM.pdf,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2018,"General judicial oversight exists through Benin's administrative courts (Law 2009-09 Art. 40 allows administrative court recourse against CNIL/APDP decisions). Law 2017-20 provides dispute resolution mechanisms. However, no specific ID-dedicated judicial oversight mechanism has been identified. The DPI Map notes a 'customer service mechanism' for redress rather than a legally binding judicial mechanism specific to ID.",id-governance-courtoversight,22,https://www.afapdp.org/wp-content/uploads/2018/05/Benin-LOI-SUR-PROTECTION-DES-DONNEES-A-CARACTERE-PERSONNEL-2009.pdf;https://dpimap.org/benin/,2,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,3, Full integration,2024,"Benin has achieved full integration of civil registration with the ID system. ANIP manages both identity and civil registration (birth, marriage, death) under one agency. In 2024, 2,050 biometric terminals were distributed to health facilities nationwide to enable instant registration of births directly into the RNPP and RNEC. A digital CRVS system was launched with UNICEF/World Bank support. Newborns now receive a NPI at birth.",id-governance-crvs,21,https://www.biometricupdate.com/202410/benin-receives-2050-biometric-terminals-from-world-bank-to-boost-civil-registration;https://www.biometricupdate.com/202602/benin-reports-75-of-identification-services-accessed-through-digital-platforms;https://anip.bj,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",3, Fully available,2018,"DPI Map confirms 'Terms of data storage and sharing available: YES' and 'Data handling terms exist: YES'. Law 2017-08 and Law 2017-20 define conditions for data access. ANIP's register is connected to 80+ public and private institutions with defined data sharing protocols. The Digital Code specifies purposes, categories of recipients, and conditions for data sharing. APDP oversees compliance. ANIP publishes its privacy policy online.",id-governance-datasharingrules,23,https://dpimap.org/benin/;https://anip.bj/politique-de-confidentialite-des-donnees-des-plateformes-anip-bj-et-eservicesanip-bj/;https://www.biometricupdate.com/202506/benin-envisages-mobile-wallet-launch-in-inclusive-national-digital-id-push,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2017,"Law 2017-08 of June 19, 2017 specifically governs the identification of natural persons and the digital ID system in Benin. It establishes the NPI unique identifier, biometric data collection, the RNPP, and creates ANIP. The DPI Map confirms 'Regulation for digital ID: YES'. A dedicated legal and regulatory framework workshop was held in 2025 (WURI-organized) to further strengthen the electronic identification legal framework.",id-governance-digidreg,17,https://dpimap.org/benin/;https://wuri.bj/un-cadre-juridique-fiable-pour-lidentification-electronique-au-benin-en-etude/;https://citizenshiprightsafrica.org/benin-loi-no-2017-08-du-19-juin-2017-sur-lidentification-des-personnes-physiques/?lang=fr,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2018,"Benin has two data protection laws: Law 2009-09 of May 22, 2009 on protection of personally identifiable information, and the more comprehensive Law 2017-20 (Digital Code) of April 20, 2018 (amended by Law 2020-35 of January 6, 2021), which includes GDPR-inspired data protection provisions. DPI Map confirms 'National Data Protection Act exists: YES'.",id-governance-dpaexists,18,https://www.dlapiperdataprotection.com/index.html?t=law&c=BJ;https://dataprotection.africa/wp-content/uploads/2022/09/Benin_DPA.pdf;https://dpimap.org/benin/,3,OK,,,,,
BEN,Benin,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2018,"The Autorité de Protection des Données à Caractère Personnel (APDP) was established in Benin in 2018 under Article 462 of Law 2017-20, replacing the former CNIL. The APDP is an independent administrative body with legal personality. It supervises processing of personal data, investigates breaches, issues sanctions, and oversees compliance with the Digital Code, including for the biometric ID system.",id-governance-dpaoversight,19,https://www.dlapiperdataprotection.com/index.html?t=law&c=BJ;https://usesmileid.com/countries/benin/;https://paradigmhq.org/wp-content/uploads/2021/09/DPA-Report-2.pdf,3,OK,,,,,
