Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0,Unknown or n.a.,,No evidence of agriculture system integration with a data exchange platform found.,exchange-func-agriculture,31,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449; https://www.agriculture.gov.ly/2020/en/1842/; https://data.apps.fao.org/merwat-libya/?lang=en","Original source (Shwehdy 2025 e-government case study) is a general drivers/barriers study providing no domain-specific evidence, used only as background. Searched for farmer registry, land registration or agricultural-voucher integration with a government data exchange platform; found only the FAO/AICS-funded MerWat-Libya geospatial platform (Ministry of Agriculture, Ministry of Water Resources, Libyan Centre for Remote Sensing, launched March 2024), a sector-specific water/land data-sharing tool rather than integration of farmer registries or land-registration data into a cross-government exchange. No evidence the GIA National Data Distributor (LY-NDEX) covers agriculture data. Score of 0/Unknown confirmed.",,low,"No evidence has been found that farmer registries, agricultural input vouchers, land registrations or extension-services data are integrated into Libya's government data exchange. The FAO/AICS-funded MerWat-Libya geospatial platform, launched in March 2024, supports data sharing between the Ministries of Agriculture and Water Resources and the Libyan Centre for Remote Sensing on land and water use, but this is a sector-specific tool rather than integration with the national cross-government data exchange (LY-NDEX).",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",0,Unknown or n.a.,,No evidence of business registration integration with a data exchange platform found. Digital services fragmentation is well-documented.,exchange-func-business,35,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.gia.gov.ly/en/2026/04/23/enhancing-digital-transformation-in-the-business-sector-joint-meeting-to-launch-the-electronic-system-of-the-chambers-union-and-align-it-with-national-frameworks/; https://libyaherald.com/2026/02/one-stop-shop-system-for-company-registration-to-be-activated-again; https://digitalgovernment.world/academy/projects/libya/","Original source was a general e-government barriers paper providing no domain-specific evidence. Fresh search found concrete, dated evidence of business-registration integration efforts: (i) an April 2026 GIA/Union of Chambers of Commerce meeting to launch an electronic Chambers system explicitly designed for 'interoperability with national platforms, foremost among them the National Data Distributor (LY-NDEX)'; (ii) a February 2026 reactivation of the Commercial Registry Authority's One-Stop Shop, reviewing 'potential integration with the Authority's digital infrastructure'; (iii) an ongoing EU-funded eRegulations/eJraat business-registration digitisation project. These show active, dated work-in-progress but no confirmed operational integration yet, so the score is revised upward from Unknown to 'Under development' (3), not higher.",2026,high,"Business registration and licensing integration with the government data exchange is under active development. In April 2026 the General Information Authority and the Union of Chambers of Commerce agreed to build an electronic Chambers system designed for interoperability with the National Data Distributor (LY-NDEX), and in February 2026 the Commercial Registry Authority began reactivating its One-Stop Shop for company registration, reviewing integration with its digital infrastructure. An EU-funded eRegulations/eJraat platform (UNCTAD, Expertise France) also supports digitisation of business-registration procedures. None of these initiatives is yet confirmed as fully operational or integrated.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",0,Unknown or n.a.,,Libya's fragmented governance and post-conflict context has prevented coherent digital systems development.,exchange-func-crvs,22,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://libyaherald.com/2024/09/pm-aldabaiba-follows-up-on-intilaqa-project-for-matching-civil-registry-electronic-data-with-paper-records/; https://www.gia.gov.ly/en/interoperability-2/","Original single source was general background only. Found the Civil Registration Authority's 'Intilaqa' project (ongoing since 2022, reported September 2024), which reconciles paper and electronic civil-registry records and underpins the National ID Number used across passports, SIM registration, banking and voting — but this is a data-cleaning exercise, not documented evidence that CRVS data itself is fed into the GIA's National Data Distributor (LY-NDEX) for real-time cross-agency verification. Because the CRA's National Number is foundational to many other systems there is a plausible case for at least partial integration, but no source confirms this explicitly for CRVS records. Flagged for human review rather than guessing a score; original Unknown (0) retained pending confirmation.",,low,"The Civil Registration Authority has been reconciling paper and electronic vital-records data through its 'Intilaqa' project since 2022, and CRA data underlies the National ID Number used across government services. However, no publicly available source confirms that civil registration and vital statistics data are formally integrated into the national government data exchange for real-time verification or service eligibility.",human_review
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,0,Unknown or n.a.,,Libya lacks laws recognizing electronic transactions and digital identities broadly according to academic research. Political instability has impeded coherent digital ID development.,exchange-func-digitalid,21,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449;https://shwehdy.ly/rethinking-libya-s-digital-governance-architecture,2,Low,no_year,No data year recorded — provenance/recency unknown.,4,"https://www.gia.gov.ly/en/2025/11/20/the-general-information-authority-launches-the-trial-phases-of-the-second-level-of-the-national-digital-identity-system-ly-dnid/; https://www.gia.gov.ly/en/2026/04/19/general-information-authority-central-bank-of-libya-national-authority-for-combating-money-laundering-with-the-relevant-authorities/","Original sources (Shwehdy 2025 conference paper and blog post) predate or do not reference Libya's National Digital Identity System (LY-DNID) and understate the true status. Found that Level 1 of LY-DNID already enables government-to-government (G2G) electronic communication and has been adopted by 'a number of institutions and public entities' (GIA, 20 Nov 2025). A Level 2 pilot for citizen-facing authentication launched November 2025, with direct integration with the National Data Distributor (LY-NDEX). A Level 3 (biometric) is in technical trials with the Central Bank of Libya for eKYC/banking services (April 2026), not yet in full production. This constitutes partial, multi-agency integration, so the score is revised from Unknown (0) to 'Partially integrated' (4); it falls short of 'Fully Integrated' (5) since citizen-facing rollout and full banking integration remain in pilot/trial stages.",2026,high,"Libya's National Digital Identity System (LY-DNID) is partially integrated with the government data exchange. Its first level already supports government-to-government electronic authentication and has been adopted by a number of public institutions, directly linked to the National Data Distributor (LY-NDEX). A second level, aimed at citizen-facing authentication, entered pilot operation in November 2025, and a biometric third level is undergoing technical trials with the Central Bank of Libya and participating banks for identity verification (eKYC) in financial services as of April 2026. Full nationwide, cross-sector rollout is not yet complete.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",0,Unknown or n.a.,,No evidence of education data integration with a data exchange platform found.,exchange-func-education,29,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449; https://libyaobserver.ly/education/education-ministry-launches-emis-cooperation-unicef","Searched for evidence of learner records, academic credentials or bursary systems integrated with the government data exchange. Found only the Ministry of Education's UNICEF/EU-supported Education Management Information System (EMIS), a sector-internal statistical system launched in phases from 2014 and still being extended (2016-18 procurement notices), with no evidence of integration with the GIA's National Data Distributor or any cross-government exchange. Score of 0/Unknown confirmed.",,low,"The Ministry of Education operates an Education Management Information System (EMIS), developed with UNICEF and EU support, for collecting school- and student-level statistics. This remains a sector-internal system; no evidence indicates that learner records, credentials or enrolment data are integrated into Libya's cross-government data exchange.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,Political instability has complicated electoral processes.,exchange-func-electoral,25,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449; https://unsmil.unmissions.org/en/un-high-national-elections-commission-libya-cooperate-management-key-electoral-datasets","Searched for evidence of voter-registration data integration with the government data exchange. Found only historical (2012-2015) UN/HNEC technical assistance on electoral dataset management and SMS voter registration, with no recent evidence of the electoral register being linked to the GIA's National Data Distributor or any other cross-government exchange. Score of 0/Unknown confirmed.",,low,"Libya's High National Elections Commission (HNEC) has received technical assistance from the UN and UNDP on managing electoral datasets and voter registration, including early SMS-based registration. No evidence indicates that the electoral register is integrated with Libya's government data exchange for identity verification or other cross-agency uses.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence of employment/labor market data integration with a data exchange platform found.,exchange-func-employment,34,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449; https://dic.ly/; https://foras.hrdf.ly/?lang=en","Searched for job-seeker registry or unemployment-insurance integration with the data exchange. Found only the Ministry of Labour's Information and Documentation Centre, which is planning (not yet delivering) a remote online registration platform for jobseekers, and the Human Resources Development Fund's 'Foras' job-matching platform. Neither is documented as integrated with the GIA's National Data Distributor or any cross-government exchange. Score of 0/Unknown confirmed.",,low,"Libya's Ministry of Labour Information and Documentation Centre is planning an online remote-registration platform for jobseekers, and the Human Resources Development Fund operates the 'Foras' job-matching platform. No evidence indicates that employment services, unemployment insurance or labour-market data are integrated into the government data exchange.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",0,Unknown or n.a.,,E-government initiatives remain largely fragmented.,exchange-func-health,28,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://libyareview.com/60731/libya-who-review-expansion-of-national-digital-health-system/; https://libyaherald.com/2022/05/trail-run-of-the-unified-electronic-health-file-system-inaugurated; https://libyaobserver.ly/health/health-minister-reviews-digital-transformation-and-health-governance-strategy-undp","Original source provided no health-specific evidence. Found that the Ministry of Health operates the regional DHIS2 health information system (WHO-supported, reviewed November 2025) and piloted a Unified Electronic Health File System in two clinics (Tripoli and Benghazi) from 2022, alongside an active July 2026 discussion with UNDP on a wider digital-transformation and health-governance strategy. These are health-sector-internal systems; none of the sources describes integration with the GIA's National Data Distributor or a cross-government data exchange. Score revised from Unknown (0) to 'Not integrated' (1), reflecting confirmed absence of exchange integration rather than absence of evidence.",2026,medium,"Libya's Ministry of Health operates sector-specific digital systems, including the WHO-supported DHIS2 health information system and a Unified Electronic Health File System piloted in Tripoli and Benghazi clinics since 2022, and is discussing a broader digital health governance strategy with UNDP as of mid-2026. These remain internal to the health sector; health records, patient registration and immunisation data are not documented as integrated into Libya's cross-government data exchange.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence of justice/court system integration with a data exchange platform found.,exchange-func-justice,32,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://staging2.libyaherald.com/2023/10/attorney-generals-office-announces-the-digitisation-of-400000-case-archives; https://libyaherald.com/2024/01/attorney-general-holds-press-conference-to-present-an-overview-of-cases-in-2023/","Original source provided no justice-specific evidence. Found that the Attorney General's Office digitised 400,000 case files/archives (October 2023) covering several courts of appeal, and operates an independent 'Digital Public Prosecution System' hosted separately from state telecom operators (reported January 2024). A 2025 law-firm memorandum proposes further AI-enabled court modernisation, but this is a private-sector proposal, not adopted government policy. No source describes integration of court, case-management or correctional-services data with the GIA's National Data Distributor or a cross-government exchange. Score revised from Unknown (0) to 'Not integrated' (1), reflecting confirmed standalone digitisation rather than absence of evidence.",2024,medium,"Libya's justice sector has undertaken standalone digitisation efforts, including the Attorney General's Office's digitisation of 400,000 case records (2023) and an independent Digital Public Prosecution System (2024). These systems are self-contained; no evidence indicates that court records, case-management data or correctional-services data are integrated into Libya's cross-government data exchange.",
LBY,Libya,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,0,Unknown or n.a.,,No evidence of driver licensing integration with a data exchange platform found.,exchange-func-licensing,27,https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449,1,Low,no_year,No data year recorded — provenance/recency unknown.,,"https://proceedings.open.tudelft.nl/DGO2025/article/download/1043/1077/1449; https://lta.gov.ly/","Searched for evidence of driver-licence or traffic-offence data integration with the data exchange. The Land Transport Authority (lta.gov.ly) website describes manual and in-person vehicle registration/licensing procedures with no evidence of an electronic licensing system, let alone integration with the GIA's National Data Distributor. Score of 0/Unknown confirmed.",,low,"Libya's Land Transport Authority manages driver and vehicle licensing largely through in-person, paper-based procedures. No evidence indicates that driver-licensing or traffic-offence data are digitised or integrated into the government data exchange.",
