Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",0,Unknown or n.a.,,"No credible evidence found of government revenue collection (tax/customs/fees) being digitized via national payment gateways in authoritative sources during this pass.",pay-functionality-revenue,40,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,"https://sudanevents.com/index.php/2025/04/10/sudanese-customs-electronic-payment-a-major-step-toward-digital-transformation-and-financial-inclusion/; https://tax.gov.sd/en/projects-2/; https://sudanhorizon.com/ministry-of-finance-and-workers-bank-sign-contract-on-my-payment-service/; https://www.fananews.com/language/en/central-bank-announces-completion-of-integration-between-core-banking-system-and-esali-payment-system/","Original score was Unknown with no source cited. A single light Exa search surfaced substantial authoritative evidence, so the row was escalated to the full verification path. Sudan Customs has operated an electronic payment channel for clearance since at least April 2025, credited with increasing revenue collection. The Ministry of Finance signed a 'My Payment' contract with National Workers' Bank (April 2026) to enable electronic payment of government fees, and the Central Bank completed core-banking integration with the Ministry of Finance's 'Esali' payment system (June 2026). The Tax Chamber's own e-payment channel is still described by the Tax Chamber itself as being progressively activated rather than fully rolled out. Recalculated to 2 (Partial): specific revenue streams are digitally payable and operational, but comprehensive digital tax payment is not yet complete.",2026,medium,"Customs duties are collected electronically nationwide, a change credited with increasing revenue and speeding clearance. Since 2026 the Ministry of Finance has rolled out a 'My Payment' electronic channel (with National Workers' Bank) for government fees, and the Central Bank of Sudan has integrated its core banking system with the Ministry of Finance's Esali payment platform for real-time government account data exchange. The Tax Chamber's own online tax-payment channel remains under phased rollout rather than fully operational across all offices and tax types, so overall digital coverage of revenue collection is partial rather than comprehensive.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,0,Unknown or n.a.,,"No credible evidence found of a national tax e-filing/online tax payment portal for Sudan in this pass (searched for Sudan tax e-services portal, e-filing, online tax payment).",pay-functionality-taxportal,41,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://tax.gov.sd/en/projects-2/; https://tax.gov.sd/en/home/","Original score was Unknown with no source. A single light search found SudanTax's official E-Portal, so the row was escalated to full verification. The portal (tax.gov.sd) enables remote taxpayer registration, TIN issuance, e-filing of returns, review/amendment, account statement viewing, and clearance certificate requests, and lists paying tax obligations electronically among its stated functions. However, the Tax Chamber's own project documentation describes the e-payment channel as still being activated and expanded across state offices, i.e. not yet complete. Recalculated to 3 (Under development): a functioning e-filing portal exists but full e-payment linkage is still rolling out.",2025,medium,"The Sudan Tax Chamber (SudanTax) operates an official E-Portal at tax.gov.sd enabling taxpayers to register remotely, obtain a tax identification number, file and amend returns electronically, view account activity, and request clearance certificates. An electronic payment channel is being progressively activated, including a remote e-portal payment option and point-of-sale channels within tax offices, with rollout continuing across the states. The portal therefore combines a mature e-filing service with a payment function still under active development.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",0,Unknown or n.a.,,"No credible evidence found of B2B payments use-case enablement beyond general interbank large-value SRAG RTGS; no evidence located of a retail instant/business payment product positioned specifically for B2B usage.",pay-functionality-usecaseb2b,34,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,"https://www.businesstec.news/21183; https://bankofkhartoum.com/sudan/digital/ibok/ibok-plus-corporate-banking","Original score was Unknown with no source. A light search found suggestive but inconclusive evidence: Bank of Khartoum's iBOK+ corporate banking product supports bulk payments and business-beneficiary management, and a February 2026 Banknbox/ASD Smart partnership is building new instant-payment infrastructure for Sudanese banks. Neither source confirms that Sudan's interoperable/instant retail payment system, as opposed to individual banks' proprietary corporate channels, supports B2B payments as a recognised scheme use case. Kept at Unknown and flagged for human review rather than asserting a score change on ambiguous evidence.",2026,low,"Evidence on business-to-business payment functionality within Sudan's national payment infrastructure is inconclusive. Individual banks, such as Bank of Khartoum, offer corporate banking channels (e.g. iBOK+) supporting bulk payments and business beneficiary management, and new instant-payment infrastructure projects (e.g. a 2026 partnership between Banknbox and ASD Smart) are under development for the wider banking sector. Whether these constitute a recognised B2B use case of a national instant payment scheme, as opposed to proprietary bank services, is not established.",human_review
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",0,Unknown or n.a.,,"Evidence of active national-scale G2P digitization was not found in authoritative sources during this pass. While the Better Than Cash Alliance release discusses intentions for the Sudan Family Support Program to deliver digital transfers to ~80% of families, it is a commitment/plan rather than evidence of implemented, ongoing nationwide G2P rails in operation, and I did not locate an implementation report with disbursement evidence.",pay-functionality-usecaseg2p,32,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,"https://openknowledge.worldbank.org/entities/publication/fe4d8c8e-eadb-4717-ac4e-72d34bb2db01; https://www.ifc.org/content/dam/ifc/doc/mgrt/sudan-building-resilience-through-dfs.pdf; https://www.betterthancash.org/news/sudan-embraces-digital-payments-to-build-a-more-inclusive-economy","Original score was Unknown, on the basis that the Sudan Family Support Programme (SFSP) commitment was only a plan without implementation evidence. Fuller research found a World Bank publication, 'Delivering Hope in Fragile Times', confirming the SFSP actually disbursed digital cash transfers via a modular automated payment platform (mobile credit, mobile wallet, bank transfer, or cash), reaching 8.7 million people (50% women) before the programme was suspended in 2021 following the political transition. Digital G2P activity today continues only via humanitarian actors such as WFP, not as a resumed government programme. Recalculated to 2 (Limited Use): large-scale digital G2P has been demonstrated historically but is not currently active as a government-run programme.",2021,medium,"The Sudan Family Support Programme (2020-2021) delivered monthly digital cash transfers to eligible families using a modular, automated payment platform, giving recipients a choice of mobile credit, mobile wallet, bank transfer, or cash. It reached 8.7 million people, half of them women, before being suspended following the political transition of October 2021. Government-to-person digitisation is not currently operating at that scale; ongoing cash transfers to vulnerable populations are chiefly delivered by humanitarian agencies, such as the World Food Programme, using mixed cash, e-voucher, and mobile money/bank channels rather than as a resumed government programme.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",0,Unknown or n.a.,,"No credible evidence found of active P2G (e.g., tax/zakat/fees) digital payment services at scale backed by authoritative government/CB documentation in this pass.",pay-functionality-usecasep2g,33,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,"https://sudanevents.com/index.php/2025/04/10/sudanese-customs-electronic-payment-a-major-step-toward-digital-transformation-and-financial-inclusion/; https://sudanhorizon.com/ministry-of-finance-and-workers-bank-sign-contract-on-my-payment-service/","Original score was Unknown citing no P2G digital payment evidence. Research located confirmed operational P2G digitisation: Sudan Customs' electronic payment channel is active and reported to increase revenue; the Ministry of Finance's 'My Payment' service (April 2026) enables citizens to pay government fees and dues via bank app and authorised service points. Recalculated to 2 (Limited Use): specific revenue types (customs duties, some government fees) are digitally payable and operational, but coverage is not yet comprehensive across all P2G categories such as utility bills and fines.",2026,medium,"Citizens and traders can pay certain government charges electronically. Sudan Customs' e-payment channel, operational since at least 2025, is credited with speeding clearance and increasing revenue collection. Since April 2026 the Ministry of Finance's 'My Payment' service, delivered with National Workers' Bank, allows individuals to pay government dues via banking apps and authorised service points. Coverage remains limited to specific revenue streams rather than the full range of taxes, fees, fines, and utility charges.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",0,Unknown or n.a.,,"No credible evidence found of a dedicated consumer protection framework for digital payments (e.g., payment services consumer protection regulation, e-money consumer protection directive, or ombudsman specific to payments). Searches on CBOS site and web for “consumer protection” + payments/mobile money in Sudan did not yield a clearly applicable framework.",pay-governance-consumerprotectlaw,18,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,"https://unctad.org/system/files/non-official-document/CIIEM5_Sudan_en.pdf; https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Sudan-Diagnostic-Report.pdf","Original score was Unknown; a search for a dedicated consumer protection framework did not surface one. Fuller research found Sudan's Regulation on Electronic Fund Transfers 2013 sets out detailed consumer protections for electronic/digital payments, including error resolution, liability for unauthorised use, refund rights, and disclosure requirements, as documented in a 2015 UNCTAD paper by Sudan's Ministry of Trade. A 2023 UNCDF diagnostic confirms CBOS has a department handling consumer protection and complaints, but notes the framework is fragmented across several laws, lacks a dedicated digital-channel recourse mechanism, and that CBOS is still developing a standalone consumer protection framework. Recalculated to 2 (Partial): sectoral/general protections exist but no comprehensive dedicated framework.",2023,medium,"Consumer protection for digital payments in Sudan rests mainly on the 2013 Regulation on Electronic Fund Transfers, which sets rules on authorisation of transfers, erroneous payments, liability for unauthorised use, and customer refund rights, alongside general provisions in the Civil Transactions Act 1984 and the Electronic Transactions Act 2007. The Central Bank of Sudan maintains a unit handling consumer protection and complaints and is developing a dedicated financial consumer protection framework, but current provisions are scattered across multiple laws, enforcement is inconsistent, and there is no purpose-built recourse mechanism for digital payment channels.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Breach Notification Requirements,"Whether legal or regulatory requirements obligate payment service providers to notify users, regulators, and/or data protection authorities about payment data breaches, cybersecurity incidents, or unauthorized access within specified timeframes.",0,Unknown or n.a.,,"No credible evidence found of mandatory or discretionary data-breach notification obligations in Sudanese law/regulation (searched for “Sudan data breach notification”, “breach reporting requirement”, and reviewed privacy-law discussions that focused on absence of a data protection act).",pay-governance-databreachnotif,17,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,https://dataprotection.africa/sudan/,"Original score was Unknown, noting the absence of a data protection act. Research confirms this via Data Protection Africa's Sudan country fact sheet, which explicitly states there is no law requiring notification to a data protection authority or to affected data subjects in the event of a data breach. A generic legal-blog source claimed a 72-hour mandatory breach-notification requirement, but this could not be corroborated against Sudanese statute and conflicts with the specialist Data Protection Africa tracker, so it is treated as unreliable. Recalculated to 1 (No): no mandatory or discretionary breach-notification regime exists.",2022,medium,"Sudan has no data protection legislation and, correspondingly, no legal requirement for payment service providers or other data controllers to notify users, regulators, or a data protection authority in the event of a data breach or cybersecurity incident. The country's cybercrime statutes, including the Informatic Offences Act 2007 and the Cyber Crime Prevention Act as amended in 2020, criminalise unauthorised access to and disclosure of data but do not impose affirmative breach-notification duties on organisations.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Public Performance Reporting,"Whether payment system operators or regulators regularly publish performance metrics and statistics on system usage, transaction volumes/values, participant numbers, uptime, and other operational indicators.",0,Unknown or n.a.,,"No credible evidence found of regular public performance reporting (monthly/quarterly/annual) on payment system performance metrics (volumes, uptime, dispute rates) by CBOS/EBS; searches found references to annual reports but not accessible statistics for recent years, and the FSD Africa report states there is “no public data available on the banking sector” including active customer data, implying limited transparency.",pay-governance-performancereporting,19,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://cbos.gov.sd/sites/default/files/CBOS%20-%2058th%20Annual%20Report%202018.pdf; https://sudanhorizon.com/banking-services-over-141-million-interbank-transfers-in-the-first-half-of-current-fiscal/","Original score was Unknown, noting no accessible recent statistics were found. Research found the Central Bank of Sudan publishes detailed annual reports (e.g. its 58th Annual Report, 2018) with a dedicated payment systems and banking technology chapter including ATM, POS, and e-wallet card statistics, and separately publishes a quarterly Economic and Financial Statistics Review. The Electronic Banking Services Company (EBS), the CBOS's payments arm, also issues periodic transaction-volume reports (e.g. a mid-2026 report on interbank transfer volumes) via local media. Recalculated to 3 (Annual): regular, named public reporting exists at least annually from CBOS, supplemented by less consistent EBS releases.",2026,medium,"The Central Bank of Sudan publishes an annual report that includes a dedicated payment systems and banking technology chapter, disclosing metrics such as the number of ATMs, points of sale, and electronic wallet cards in circulation, alongside a quarterly Economic and Financial Statistics Review. The Electronic Banking Services Company, the CBOS's payments-processing arm, has also released periodic reports on interbank transfer volumes to the media, most recently reporting more than 141 million interbank transactions in the first half of 2026. Reporting cadence is at least annual, with some additional ad hoc disclosures.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Pro-Poor Governance Mechanisms,"Whether payment system governance explicitly includes mechanisms to ensure inclusivity and represent interests of vulnerable populations, including provisions for input from all participant types, consumer representatives, small providers, or explicit financial inclusion mandates in governance documents.",0,Unknown or n.a.,,"No credible evidence found of explicit pro-poor governance mechanisms for payment system governance (e.g., formal consumer/low-income representation in scheme governance). Searched for Sudan national financial inclusion strategy/governance documents tied to payment systems and for “pro-poor governance” in payments; results were general inclusion statements without governance mechanisms.",pay-governance-propoorgovernance,14,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,https://cbos.gov.sd/en/node/24604/,"Original score was Unknown, noting only general inclusion statements were found. Research located an April 2026 article by the CBOS Governor describing the Bank's upgraded General Directorate for Financial Inclusion, whose mandate includes developing a consumer protection framework, formulating a National Financial Inclusion Strategy, and coordinating national financial inclusion efforts, alongside support for women, youth, and people with disabilities. This demonstrates institutional pro-poor mechanisms at the regulator level, though there is no evidence of formal representation of consumer groups or small PSPs within payment-scheme governance structures specifically. Recalculated to 2 (Partial).",2026,medium,"The Central Bank of Sudan has upgraded its General Directorate for Financial Inclusion, giving it an explicit mandate to formulate a National Financial Inclusion Strategy, develop a consumer protection framework, and coordinate national financial-inclusion policy, including initiatives aimed at women, youth, and people with disabilities. These mechanisms operate at the level of central bank policy rather than as formal governance provisions within individual payment scheme rules, such as reserved board seats or consumer advisory bodies specific to payment system operators.",
SDN,Sudan,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Active Digital Payment Users,"Percentage of the adult population (15+ years) who have made at least one digital payment transaction through the instant payment system in the past 90 days, indicating active usage rather than just account ownership.",0,Unknown or n.a.,,"No usable, authoritative national percentage for “made/received digital payments” found within the time budget. FSD Africa/Strategic Impact Advisors report notes “Sudan is not included in the Findex (2017) nor Findex (2021) data”, which limited ability to score this variable with standard Findex-based evidence.",pay-uptake-activeusers,42,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,"https://documents1.worldbank.org/curated/en/099052625083516656/pdf/P505963-583e32dc-66c6-474f-8862-1d452b2a7d7a.pdf; https://documents1.worldbank.org/curated/en/099062724163528803/pdf/P171371-b16fcc1b-668c-4b48-9a13-0b32a10f69ce.pdf","Original score was Unknown, noting Sudan's absence from Global Findex. Research found the Sudan 2021 National Financial Inclusion Survey (FinScope methodology, CBOS/Central Bureau of Statistics/FinMark Trust/World Bank, published January 2024), a dedicated national survey using Findex-equivalent methodology, which found only 11% of adults use mobile money, with just 2% formally registered, and 89% not using mobile money at all. Recalculated to 1 (<20%).",2021,high,"Sudan's own 2021 National Financial Inclusion Survey, conducted by the Central Bureau of Statistics with the Central Bank of Sudan, FinMark Trust, and the World Bank using the FinScope methodology, found that only 11% of adults used mobile money, with just 2% being formally registered users, and 89% not using mobile money at all. Uptake of digital payment channels more broadly remains low, consistent with a pre-war banked population estimated at around 15%.",
