Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0,Unknown or n.a.,,No evidence of agriculture system integration into a data exchange platform.,exchange-func-agriculture,31,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",0,Unknown or n.a.,,No evidence of business registration integration into a data exchange platform.,exchange-func-business,35,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",0,Unknown or n.a.,,No evidence of CRVS integration into a data exchange system. Conflict has severely disrupted civil registration.,exchange-func-crvs,22,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",0,Unknown or n.a.,,No evidence of education system integration into a data exchange platform.,exchange-func-education,29,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,No evidence of electoral register integration. Sudan has been in conflict since 2023.,exchange-func-electoral,25,https://digitaldevelopmentcompass.undp.org/country/SDN,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence of employment services integration into a data exchange platform.,exchange-func-employment,34,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",0,Unknown or n.a.,,No evidence of health system integration into a national data exchange. Humanitarian health systems operate independently.,exchange-func-health,28,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence of justice system integration into a data exchange platform.,exchange-func-justice,32,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,0,Unknown or n.a.,,No evidence of driver licensing integration into a data exchange platform.,exchange-func-licensing,27,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Passport & Immigration Integration,Integration of passport issuance and immigration control data into the exchange platform,0,Unknown or n.a.,,No evidence of passport/immigration integration into a data exchange system.,exchange-func-passport,26,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",0,Unknown or n.a.,,No evidence of statistics/planning integration into a data exchange platform.,exchange-func-planning,33,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,0,Unknown or n.a.,,No evidence of tax/revenue system integration into a data exchange platform. Conflict has disrupted existing revenue systems.,exchange-func-revenue,24,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",1,Not integrated,,Humanitarian cash transfers are coordinated through the Sudan Cash Working Group (87 partners) but not integrated into a state-led data exchange system.,exchange-func-socialprotection,30,https://www.brookings.edu/articles/digital-infrastructure-for-resilience-fragile-contexts-balancing-state-and-citizen-protection/,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Implementation Roadmap,"Whether a detailed implementation roadmap with phases, milestones, and timelines exists for data exchange development",1,No,,No public implementation roadmap for data exchange/interoperability found. Conflict since 2023 has disrupted any planning efforts.,exchange-gov-roadmap,14,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-RepSudan-jun22.pdf;https://voxdev.org/topic/institutions-political-economy/rebuilding-sudans-digital-infrastructure-amidst-conflict,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
SDN,Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,AI/Analytics Capabilities,"Is artificial intelligence integrated into the data exchange for data quality, fraud detection or predictive analytics",0,Unknown or n.a.,,No evidence of AI integrated into a data exchange system. A Sudanese Data and Artificial Intelligence Authority was decreed in Nov 2025 but is newly established. Ongoing conflict has rendered existing digital infrastructure largely non-functional.,exchange-system-ai,6,https://www.ecofinagency.com/news-digital/0711-50229-sudan-establishes-three-digital-authorities-to-advance-e-govt,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
