Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",4, Partially integrated,2025,MESOB integrates business registration services from the Ministry of Trade and the Ethiopian Investment Commission. Citizens can register businesses via the MESOB one-stop-shop platform using Fayda authentication.,exchange-func-business,35,https://id.gov.et/mesob;https://www.itnewsafrica.com/2025/07/how-fayda-digital-id-powers-ethiopias-ambitious-one-stop-government-service-platform/,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",3, Under development,2024,Civil registration digitization is ongoing. MESOB includes ID issuance services and the national ID system is linked to birth registration processes. Not yet fully integrated with the broader data exchange layer.,exchange-func-crvs,22,https://id.gov.et/mesob;https://www.itnewsafrica.com/2025/07/how-fayda-digital-id-powers-ethiopias-ambitious-one-stop-government-service-platform/,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,4, Partially integrated,2025,"Fayda MOSIP-based digital ID has 15M+ enrolled (target 90M by 2027), serving 55 service providers. National Bank of Ethiopia (NBE) mandated all banks integrate Fayda (December 2025 mandate, March 2026 deadline). MESOB uses Fayda as authentication backbone.",exchange-func-digitalid,21,https://idtechwire.com/ethiopia-launches-fayda-digital-id-system-to-cover-90-million-citizens-by-2027/;https://addisinsight.net/2025/12/10/nbe-launches-full-integration-of-national-digital-id-with-banking-system/;https://www.biometricupdate.com/202512/ethiopia-banks-harmonize-customer-account-information-with-fayda-digital-id,3,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",3, Under development,2024,Digital health systems are under development. Fayda digital ID is designed to support the healthcare sector. DE2030 includes health as a priority sector. Full integration with the national data exchange layer not yet confirmed.,exchange-func-health,28,https://www.pmo.gov.et/media/other/Digital_Ethiopia_2030.pdf;https://dial.global/work/strengthening-ethiopias-national-data-governance-ecosystem/,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Passport & Immigration Integration,Integration of passport issuance and immigration control data into the exchange platform,4, Partially integrated,2025,MESOB integrates passport renewal and immigration services among its 41 services. Fayda authentication is used for passport services at MESOB one-stop-shop centers.,exchange-func-passport,26,https://id.gov.et/mesob;https://www.itnewsafrica.com/2025/07/how-fayda-digital-id-powers-ethiopias-ambitious-one-stop-government-service-platform/,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Payments Integration,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",4, Partially integrated,2025,Telebirr (state-backed mobile money) and EthSwitch payments network operational. VeriFayda eKYC used for banking onboarding. NBE integrating all banks with Fayda digital ID. PSNP social transfers being digitized through payment systems.,exchange-func-payments,23,https://addisinsight.net/2025/12/10/nbe-launches-full-integration-of-national-digital-id-with-banking-system/;https://dial.global/work/strengthening-ethiopias-national-data-governance-ecosystem/,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",3, Under development,2024,DE2030 designates data as a national asset and references API standards and open data frameworks. DIAL Global is supporting a national data governance framework. Integration of statistical systems is under development.,exchange-func-planning,33,https://dial.global/work/strengthening-ethiopias-national-data-governance-ecosystem/;https://www.pmo.gov.et/media/other/Digital_Ethiopia_2030.pdf,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,3, Under development,2025,MESOB includes tax registration and investment permit services. Electronic Single Window for trade exists. Tax services are accessible via the MESOB platform. Full G2G data exchange integration between tax authority and exchange layer not yet confirmed.,exchange-func-revenue,24,https://id.gov.et/mesob;https://www.pmo.gov.et/media/other/Digital_Ethiopia_2030.pdf,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",3, Under development,2024,Productive Safety Net Programme (PSNP) with 7.6M+ beneficiaries uses the computerized Payroll and Attendance Sheet System (PASS). Fayda digital ID is intended to support social protection beneficiary management. Not fully integrated with the national data exchange layer.,exchange-func-socialprotection,30,https://globalallianceagainsthungerandpoverty.org/country-example/ethiopia-productive-safety-net-program-psnp/;https://dial.global/work/strengthening-ethiopias-national-data-governance-ecosystem/,2,OK,,,,,
ETH,Ethiopia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Enabling Legislation,"Whether primary laws, acts, or legal instruments exist that establish authority for cross-government data sharing and govern the data exchange system",3, Yes,2024,"Personal Data Protection Proclamation No. 1321/2024 passed, with Ethiopian Communications Authority (ECA) as regulator. Ethiopian eGovernment Interoperability Framework (EeGIF) governance document (2019) provides cross-agency data sharing rules.",exchange-gov-legislation-exists,15.5,https://www.pmo.gov.et/media/other/Digital_Ethiopia_2030.pdf;https://thedocs.worldbank.org/en/doc/003d76985cbd41c53cfa9825d2464495-0460012022/original/I-3-9-1-EeGIF-Governance-and-Compliance.pdf,2,OK,,,,,
