Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2021,"CIS/RIA Digital ID evaluation (2021) found that neither the ID law nor NIDA law provides rights for data subjects to access, confirm or correct information in the national ID database. Once registered, individuals are not aware of the full content stored. Law No. 058/2021 grants general data subject rights (Art. 20 portability, Art. 19 rectification) but implementation for the ID database is not documented. Value=1 (No formal individual data access mechanism confirmed for the ID database).",id-functionality-dataview,42,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2021,"Rwanda's general court system provides recourse for ID-related grievances through administrative review before NIDA and subsequently administrative courts. The Integrated Electronic Case Management System (IECMS) for judiciary requires NIN authentication. Law No. 058/2021 grants data subjects appeal rights to the supervisory authority (NCSA). However, no ID-specific judicial oversight mechanism exists. Value=2 (Yes but not ID-specific).",id-governance-courtoversight,22,https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,3, Full integration,2020,"The NCI-CRVS system (launched Aug 2020) assigns a unique NIN at birth and integrates directly and in real-time with the National Population Registry. Over 600 health facilities, 2,148 cells and 416 sector offices offer real-time birth/death registration linked to NIDA's NPR. Birth registration completeness reached 92.9% in 2022. Value=3 (Full integration).",id-governance-crvs,21,https://www.biometricupdate.com/202102/rwandas-new-digital-id-birth-registration-system-brings-services-closer-to-citizens;https://unstats.un.org/legal-identity-agenda/documents/Paper/2023/CRVSID-Rwanda.pdf;https://dhis2.org/rwanda-crvs-eir-integration/,3,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,2, Yes,2023,Law No. 029/2023 of 14/06/2023 specifically governs population registration in the National Single Digital Identity System (SDIS). Ministerial Order N° 001/MINICT/24 of 22/01/2024 relates to the Single Digital Identity Coordination Council. Value=2 (Yes).,id-governance-digidreg,17,https://citizenshiprightsafrica.org/rwanda-law-n-029-2023-of-14-06-2023-governing-population-registration-in-the-national-single-digital-identity-system/;https://coingeek.com/rwanda-digital-id-advances-with-300000-already-registered/,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2021,Law No. 058/2021 of 13/10/2021 relating to the Protection of Personal Data and Privacy entered into force on 15 October 2021. The National Cyber Security Authority (NCSA) is the designated supervisory authority. Value=2 (Yes).,id-governance-dpaexists,18,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data;https://www.dlapiperdataprotection.com/index.html?t=about&c=RW,3,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2021,"Law No. 058/2021 designates the National Cyber Security Authority (NCSA) as the supervisory authority with powers to oversee implementation, issue registration certificates to data controllers/processors, and impose administrative sanctions. Value=2 (Yes).",id-governance-dpaoversight,19,https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://www.minict.gov.rw/news-detail/rwanda-passes-new-law-protecting-personal-data,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2008,"Law No. 14/2008 makes possession and carrying of the national identity card obligatory for every Rwandan aged 16 and above. The NIN/National ID is the primary legal proof of identity accepted for healthcare, higher education, taxation, pensions, social assistance, financial services, and travel within EAC (Kenya, Uganda). Value=2 (Yes).",id-governance-legalproof,20,https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf;https://www.justice.gov/sites/default/files/eoir/legacy/2014/10/14/RWA103584.E.pdf,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",2, Yes,2023,Rwanda has a comprehensive legal framework: Law No. 14/2008 (amended 2018) governing national ID; Law No. 43/2011 establishing NIDA; Law No. 029/2023 governing population registration in the Single Digital Identity System; and Law No. 058/2021 on Data Protection and Privacy. Value=2 (Yes).,id-governance-legframework,16,https://citizenshiprightsafrica.org/rwanda-law-n-029-2023-of-14-06-2023-governing-population-registration-in-the-national-single-digital-identity-system/;https://rwandalii.org/akn/rw/act/law/2021/58/eng@2021-10-15;https://digitalid.design/RIA%20docs/CIS_DigitalID_RIA_Rwanda_31.10.21.pdf,3,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,3, Digital,2008,Rwanda's National Population Registry (NPR) and NID database have been fully digital since 2008 following the door-to-door census and biometric capture campaign. No paper-only records for the current system; the new SDIS is 100% digital. Value=3 (Digital).,id-system-dbelectronic,11,https://pubdocs.worldbank.org/en/573111524689463285/Rwanda-ID4D-Diagnostic-Web040318.pdf;https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,1, >17,2023,"Current law (Law No. 14/2008, amended 2018) mandates ID at age 16. The new SDIS (Law No. 029/2023) extends enrollment to include newborns at birth via the CRVS-linked NPR system, with physical card issuance beginning at 16. Children under 5 receive a photograph during SDIS enrollment. NIDA stated the new digital ID 'will be issued from birth.' The NPR captures children below 16. For the national ID card (credential), eligibility remains 16+. Value=1 (>17 for credential; enrollment at birth for the registry is a transition in progress).",id-uptake-enrolleligible,28,https://support.irembo.gov.rw/en/support/solutions/articles/47001191847-how-to-apply-for-a-national-id;https://coingeek.com/rwanda-digital-id-advances-with-300000-already-registered/;https://www.biometricupdate.com/202602/rwanda-digital-id-initiative-advances-with-1-5-million-enrollments,3,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Mandatory Status,"Whether registration for digital ID is mandatory, optional, or mandatory for specific groups",3, Mandatory for all,2008,Law No. 14/2008 states: 'Possession of and carrying the national identity card is obligatory to every Rwandan aged sixteen (16) and above.' Enrollment and possession are mandatory for all eligible Rwandans. Value=3 (Mandatory for all).,id-uptake-enrollmandatory,29,https://www.justice.gov/sites/default/files/eoir/legacy/2014/10/14/RWA103584.E.pdf;https://pubdocs.worldbank.org/en/573111524689463285/Rwanda-ID4D-Diagnostic-Web040318.pdf,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Healthcare Access Use,Whether credential is accepted or mandatory for accessing public healthcare services,3, Mandatory,2021,National ID is required for Community-Based Health Insurance (CBHI/Mutuelle de Santé) enrollment and healthcare access. World Bank report confirms NID is required for 'healthcare.' SDIS is designed to improve healthcare service delivery. Birth registration via NCI-CRVS issues NIN at birth for healthcare purposes. Value=3 (Mandatory).,id-uptake-healthuse,49,https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf;https://www.parliament.gov.rw/news-detail?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=58639&cHash=349550b59d9f16c1cdbfe62d270d5c3c,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Population Coverage,Percentage of eligible population that has been issued or registered with digital ID credentials,5,>89%,2021,NIDA estimates >98% of the eligible population (16+) have been issued a national ID card. The NPR captures approximately 98% of the total population. World Bank People's Perspectives report (2021) confirms this figure. Value=5 (>89%).,id-uptake-popcoverage,27,https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf;https://www.biometricupdate.com/202109/digital-id-status-update-for-nigeria-and-rwanda-new-technology-data-law,2,OK,,,,,,,,,
RWA,Rwanda,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Social Services Use,Whether credential is accepted or mandatory for registering for social assistance programs and accessing social services,3, Mandatory,2021,National ID is mandatory for accessing social protection services. The Ubudehe social register is linked to the NIN for targeting safety net programs. Rwanda Social Security Board (RSSB) uses NIN. World Bank report confirms NID is required for 'social assistance' and government services. Value=3 (Mandatory).,id-uptake-socialservicesuse,48,https://documents1.worldbank.org/curated/en/279741611941779893/pdf/People-s-Perspectives-on-ID-and-Civil-Registration-in-Rwanda-Research-Report.pdf;https://pubdocs.worldbank.org/en/573111524689463285/Rwanda-ID4D-Diagnostic-Web040318.pdf,2,OK,,,,,,,,,
