Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",1, No,2023,Physical ID is used for KYC at financial institutions (physical presence required). No e-KYC guidelines exist as of 2023 UNCDF diagnostic. Smart Wallet/Mobile ID planned to enable digital KYC for bank account opening but not yet implemented.,id-functionality-kycenable,38,https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Djibouti-Diagnostic-Report-ENG.pdf; https://www.ecofinagency.com/news-digital/1102-52796-djibouti-launches-mobile-id-platform-to-streamline-public-services,2,OK,,,2,"https://www.ecofinagency.com/news-digital/1102-52796-djibouti-launches-mobile-id-platform-to-streamline-public-services; https://interieur.gouv.dj/forum-sur-lidentite-numerique-et-lancement-du-projet-mobile-id/; https://www.biometricupdate.com/202602/djibouti-unveils-biometric-mobile-id-to-enhance-access-to-public-services; https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Djibouti-Diagnostic-Report-ENG.pdf","The 2023 UNCDF diagnostic (basis for the original 1=No) found that physical presence with a paper ID was required for KYC. Djibouti officially launched the Mobile ID platform on 9-10 February 2026 (Ministry of Interior with the Ministry of Digital Economy and Innovation), corroborated by Biometric Update, Dawan Africa, Telecompaper, We Are Tech and Africa Business Insight. Bank account opening is listed among the platform's initial priority use cases alongside civil registry access and tax filing, constituting a functioning eKYC channel, so the score is revised upward. Nationwide rollout is still described as progressive/phased, so operational maturity is early-stage.",2026,high,"The Mobile ID platform, launched nationally on 10 February 2026 by the Ministry of Interior in partnership with the Ministry of Digital Economy and Innovation, enables electronic Know-Your-Customer verification. Bank account opening is listed among the platform's initial priority use cases, alongside civil registry access, tax filing and electronic signatures. Biometric data is held centrally by the Interior Ministry, with partner institutions accessing only authentication results through a secure server-to-server system. Nationwide rollout is progressive and expected to continue over the coming years.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2019,NNI is attributed from birth and linked to civil registry inscriptions (Law No.39/AN/19). Birth registration stands at ~92.6% (2012 survey). RNPP designed to integrate civil registry data. Some amendments to civil registration law still needed per UNFPA assessment.,id-governance-crvs,21,https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://citizenshiprightsafrica.org/crc-combined-third-to-fifth-periodic-reports-submitted-by-djibouti/,2,OK,,,,"https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://interieur.gouv.dj/forum-sur-lidentite-numerique-et-lancement-du-projet-mobile-id/","Confirmed. The 2019 basis (Law 39/AN/19 establishing the NNI, attributed at birth via civil-registry inscription) remains valid and was verified directly on the Ministry of Digital Economy's site. The February 2026 Ministry of Interior announcement of the Mobile ID platform explicitly describes civil-registry modernisation as an ongoing, complementary reform running alongside the NNI system, consistent with partial rather than full integration. Score confirmed at 2.",2026,medium,"The National Identification Number (NNI), created under Law No. 39/AN/19 of 2019, is attributed to every individual from birth through inscription in the civil registry, linking the two systems. Full integration remains incomplete: the Ministry of Interior describes civil-registry modernisation as an ongoing reform running in parallel with the national digital identity programme, including the 2026 Mobile ID platform.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2016,"The national ID card is legally required for obtaining a passport, applying for civil service positions, voter registration, receiving government services and private sector services. ID also required for a newborn birth certificate.",id-governance-legalproof,20,https://www.ecoi.net/en/document/1394009.html; https://www.identity-cards.net/record/djibouti.html,2,OK,,,,https://www.ecoi.net/en/document/1394009.html; https://www.identity-cards.net/record/djibouti.html,"Confirmed. Both sources (an IRB Canada research report and Identity-Cards.net) corroborate that the biometric/digital national ID card, mandatory since a presidential decree of December 2009 and implemented from 2014, is required as legal proof of identity for voter registration, passport applications, employment and access to government benefits. No newer legislation was found that alters this status; Djibouti's 2025 Digital Code addresses data protection and cybercrime rather than the ID's legal-proof status.",2016,medium,"The biometric national identity card, established by presidential decree in December 2009 and rolled out from 2014, serves as legally required proof of identity in Djibouti. It is a prerequisite for voter registration, passport applications, access to government benefits, employment and school enrolment; those without a valid card, particularly parts of the nomadic population, risk exclusion from these services.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,2, Mix of paper and digital,2019,Law No.39/AN/19 (2019) established the RNPP as a centralised computerised biometric national persons register. Digital ID card database operational since 2014. HSB-implemented social registry ABIS (central fingerprint matching) also in place.,id-system-dbelectronic,11,https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.hsb.nl/our-solutions/civil-id/social-register-djibouti/; https://www.ecoi.net/en/document/1394009.html,3,OK,,,,"https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.hsb.nl/our-solutions/civil-id/social-register-djibouti/; https://interieur.gouv.dj/forum-sur-lidentite-numerique-et-lancement-du-projet-mobile-id/","Confirmed. The RNPP (Law 39/AN/19, 2019) is a centralised, computerised biometric register, and the February 2026 Mobile ID platform adds a fully digital, mobile-based authentication layer. However, Mobile ID's rollout is explicitly described as progressive/phased nationwide over the coming years, and full digitisation of legacy civil-registry records for older cohorts is not confirmed, so the mix-of-paper-and-digital characterisation remains appropriate.",2026,medium,"Identity records are held in a centralised, computerised biometric national register (Registre National des Personnes Physiques, established under Law No. 39/AN/19 of 2019), reinforced since February 2026 by the Mobile ID platform, which provides fully digital, biometric-based authentication via smartphone. Nationwide digitisation is being rolled out progressively, and full digitisation of historical civil-registry records has not been confirmed, so records remain a mix of digital and legacy paper formats.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,System Interoperability,Whether the digital ID system is designed to be interoperable across government agencies and with other systems through APIs or data exchange protocols,1, No,2023,"RNPP was designed with interoperability intent (NNI mandatory for all institutions); however, a 2023 UNCDF diagnostic found identification databases 'fragmented and neither interoperable nor harmonized'. Mobile ID (2026) targets interoperability as a goal.",id-system-sysinterop,9,https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Djibouti-Diagnostic-Report-ENG.pdf; https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.ecofinagency.com/news-digital/1102-52796-djibouti-launches-mobile-id-platform-to-streamline-public-services,3,OK,,,2,"https://www.ecofinagency.com/news-digital/1102-52796-djibouti-launches-mobile-id-platform-to-streamline-public-services; https://interieur.gouv.dj/forum-sur-lidentite-numerique-et-lancement-du-projet-mobile-id/; https://africabusinessinsight.com/djibouti-launches-mobile-id-platform-to/; https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Djibouti-Diagnostic-Report-ENG.pdf","The 2023 UNCDF diagnostic (basis for the original 1=No) found identification databases fragmented and non-interoperable. Djibouti's Mobile ID platform, launched February 2026, is explicitly designed for cross-agency interoperability: initial services already span civil registry, tax and banking systems, accessed through a secure server-to-server query architecture, and authorities state the intent to progressively link driving-licence and health records to the same identifier. This meets the 'designed to be interoperable... through APIs or data exchange protocols' threshold for Yes, so the score is revised upward.",2026,high,"Djibouti's Mobile ID platform, launched in February 2026 by the Ministry of Interior with the Ministry of Digital Economy and Innovation, the National Cybersecurity Authority and the National Agency for State Information Systems, is designed for cross-agency interoperability. It already spans civil registry, tax and banking services through a secure server-to-server authentication architecture, and the government plans to progressively link driving licences and selected health records to the same national digital identifier.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Banking/Financial Services Use,Whether credential is accepted or mandatory for opening bank accounts and accessing financial services,1, No,2023,"Physical national ID required to open a bank account (physical presence mandatory). Only 25-26% of population holds a bank account. Smart Wallet (Visa/TECH5 MoU, 2025) aims to enable digital financial inclusion via Mobile ID but not yet implemented.",id-uptake-bankuse,46,https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Djibouti-Diagnostic-Report-ENG.pdf; https://www.ecofinagency.com/news-digital/1909-48816-djibouti-signs-with-visa-on-plan-for-a-national-digital-wallet,2,OK,,,2,"https://www.ecofinagency.com/news-digital/1102-52796-djibouti-launches-mobile-id-platform-to-streamline-public-services; https://africabusinessinsight.com/djibouti-launches-mobile-id-platform-to/; https://migrantmoney.uncdf.org/wp-content/uploads/2023/05/Djibouti-Diagnostic-Report-ENG.pdf","The 2023 UNCDF diagnostic (basis for the original 1=No) found physical presence with a paper ID mandatory to open a bank account. Following the February 2026 launch of the Mobile ID platform, bank account opening is listed among the platform's priority initial use cases, indicating digital ID is now accepted (though not mandatory, since it appears to be one option among others) for opening accounts. Confidence is medium and this row is flagged for human review because nationwide rollout is described as progressive/phased, and independent confirmation of live bank-side adoption beyond the launch announcements was not found.",2026,medium,"Digital identity verification through the Mobile ID platform, launched in February 2026, is accepted for opening bank accounts as one of the platform's priority initial services, alongside civil registry access, tax filing and electronic document signing. Use is not mandatory: fewer than a third of the population currently hold bank accounts, and the platform is being rolled out progressively across the country.",human_review
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Cost of Credential,Whether credentials are issued free of charge,1, No,2014,"First issuance of digital ID card costs 2,700 DJF (~$15 USD); renewal costs 2,000 DJF (~$11 USD). A fee is charged for both first issuance and renewal; not free.",id-uptake-cost,31,https://www.ecoi.net/en/document/1394009.html,1,OK,,,,"https://www.ecoi.net/en/document/1394009.html; https://www.journalofficiel.dj/texte-juridique/decret-n2022-263-pr-mi-modifiant-et-completant-le-decret-n2021-017-pr-mi-fixant-les-modalites-de-financement-du-registre-national-des-personnes-physiques/","Confirmed. The original ecoi.net figures (first issuance ~2,700 DJF, renewal ~2,000 DJF) are consistent with the RNPP financing framework: Official Gazette Decree No. 2022-263/PR/MI confirms that RNPP tariffs for the national ID card and related documents are set by decree and remain payable annually through the 2032 budget cycle, i.e. the credential is not free of charge. No evidence was found that the 2026 Mobile ID platform removed this fee, as it operates as a digital authentication layer on top of the existing NNI/RNPP registration rather than replacing it.",2022,medium,"Issuance of the national identity card is fee-based rather than free. Djiboutian regulations (Decree No. 2021-017/PR/MI as amended, most recently by Decree No. 2022-263/PR/MI) set tariffs for the Registre National des Personnes Physiques, covering the national ID card and related secured documents, payable annually through to the 2032 budget cycle.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,3, 6-10,2019,NNI assigned from birth (RNPP Law 2019). National ID card issued from age 18. Children registered in civil registry receive NNI. No evidence of a child-specific ID credential below 18.,id-uptake-enrolleligible,28,https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.ecoi.net/en/document/1394009.html,2,OK,,,5,https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.ecoi.net/en/document/1394009.html,"The original code (3 = 6-10 years) is inconsistent with the evidence cited in the row's own Comments, which state that the National Identification Number (NNI) is attributed from birth under Law 39/AN/19 (2019), while the separate physical ID card is issued only from age 18. Confirmed directly on the Ministry of Digital Economy's page: 'Le NNI est attribué dès la naissance' (the NNI is attributed from birth). As the variable measures eligibility to register for the digital identity system (NNI/RNPP registration, not card issuance), the correct code is 5 (<1 year), and the original code is corrected accordingly.",2019,high,"Under Law No. 39/AN/19 of 21 January 2019, which established the Registre National des Personnes Physiques (RNPP) and the National Identification Number (Numero National d'Identification, NNI), every individual is assigned an NNI from birth upon registration in the civil register. This digital identification number underpins the country's biometric identity register, though the separate physical identity card is issued only from age 18.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Mandatory Status,"Whether registration for digital ID is mandatory, optional, or mandatory for specific groups",3, Mandatory for all,2014,"Holding a national ID card is mandatory for all Djiboutian citizens (presidential decree 2009; all citizens required to hold digital card by end-2015). NNI use is compulsory for all institutions. Voter registration, passport, and government services require the ID.",id-uptake-enrollmandatory,29,https://www.identity-cards.net/record/djibouti.html; https://www.ecoi.net/de/dokument/1393395.html,2,OK,,,,https://www.identity-cards.net/record/djibouti.html; https://www.ecoi.net/en/document/1394009.html,"Confirmed. Both sources corroborate that holding the digital/biometric national ID card is mandatory, established by presidential decree of 8 December 2009, with all citizens required to hold the digital card. Registration for the NNI (Law 39/AN/19, 2019) is likewise mandatory and automatic for anyone recorded in the civil register. No newer legislation was found that changes this status.",2019,medium,"Registration and possession of the national identity credential is mandatory for all Djiboutian citizens. The digital identity card, established by presidential decree in December 2009, was to be held by all citizens; the National Identification Number introduced under Law No. 39/AN/19 of 2019 is likewise automatically and compulsorily attributed to every person recorded in the civil register.",
DJI,Djibouti,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Non-National Eligibility,"Whether non-nationals including refugees, asylum seekers, and permanent residents are eligible to register",2, Some,2019,RNPP Law (2019) explicitly includes 'any foreigner residing regularly on national territory'. Police department issues residence/identity cards to foreigners. Refugees covered under 2017 National Refugee Law for basic services access.,id-uptake-nonnateligible,30,https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.ecoi.net/en/document/1394009.html,2,OK,,,,https://numerique.gouv.dj/Articles/detailArticleAvancee/15; https://www.ecoi.net/en/document/1394009.html,"Confirmed. The RNPP law (39/AN/19, 2019), verified directly, explicitly extends NNI eligibility to 'any foreigner residing regularly on national territory' - a defined and conditional, not universal, category of non-nationals, consistent with 'Some' rather than 'All' or 'None'. No evidence was found that irregular migrants or all refugees are automatically eligible, supporting the existing code.",2019,high,"Foreign nationals residing regularly in Djibouti are eligible to be registered in the Registre National des Personnes Physiques and receive a National Identification Number, under Law No. 39/AN/19 of 2019. Eligibility does not extend automatically to all non-nationals: irregular migrants are excluded, and refugees are covered separately under Djibouti's 2017 national refugee legislation.",
