Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",2,Partial,2025,"Government revenue collection digitisation is described as a project aimed at having revenue flow directly into government accounts via digital platforms, integrated with Government Accounting and Budgeting System (GABS), targeting launch in Q2 2025 ([Mmegi](https://www.mmegi.bw/business/botswana-advances-drive-to-digitise-government-payments/news)). This indicates partial progress/active rollout rather than fully realised nationwide revenue digitisation.",pay-functionality-revenue,40,https://www.mmegi.bw/business/botswana-advances-drive-to-digitise-government-payments/news,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.mmegi.bw/business/botswana-advances-drive-to-digitise-government-payments/news; https://www.bwtechzone.com/2025/07/national-payments-switch-act-drafted.html; https://www.burs.org.bw/index.php/tax/payments","Confirmed. A follow-up report (bwtechzone, Jul 2025) quotes Bank of Botswana saying revenue-collection digitisation is 'nearing completion, pending integration with BURS and the Office of the Accountant General' — i.e. not yet live. BURS's own payments page (undated, checked 2026) still lists cash, cheque, postal order and bank draft as main methods, with digital/electronic options (direct debit, POS) available only for specific taxpayers/tax types (large taxpayer income tax, VAT). This supports 'Partial' (2), not 'Yes'."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Cross-Border Payment Functionality,"Whether the instant payment system enables or plans to enable instant payments across national borders to other countries or regional payment systems, supporting remittances, trade, and regional integration.",4,Partially functional,2026,"Evidence of cross-border digital payments being activated for Botswana corridor via PayInc’s Transactions Cleared on an Immediate Basis (TCIB) platform integrated with First Capital Bank Botswana, enabling real-time cross-border payments between South Africa and Botswana (news write-up cites corridor live and real-time capability) ([Africa Fintech Network](https://africafintechnetwork.com/payinc-and-first-capital-bank-botswana-launch-instant-cross-border-payments/)). This suggests partially functional cross-border instant payments, not yet a universal national capability.",pay-functionality-usecasecrossborder,35,https://africafintechnetwork.com/payinc-and-first-capital-bank-botswana-launch-instant-cross-border-payments/,1,Medium,single_source;review_comment_vs_code,Only one source for a substantive score — corroborate. Comment wording may not match the score — re-read (needs judgement).,4,"https://africafintechnetwork.com/payinc-and-first-capital-bank-botswana-launch-instant-cross-border-payments/; https://techafricanews.com/2026/03/02/payincs-tcib-unlocks-real-time-cross-border-payments-between-south-africa-and-botswana/; https://papss.com/wp-content/uploads/2026/06/PAPSS-PAYMENTS-NETWORK-COVERAGE_JUNE2026-5.pdf","Not confirmed independently. The Africa Fintech Network story and its TechAfrica News 'corroboration' are both republications of the same PayInc/First Capital Bank press release, so this remains effectively a single promotional source, not two independent ones. Separately, PAPSS's own June 2026 network-coverage document does not list Botswana among live participants, so the country has no functioning multilateral cross-border instant-payment link — only this one bilateral bank corridor. Score left at 'Partially functional' (4) since one live corridor does exist, but flagged for human review: the underlying evidence is thin/PR-sourced and should not be treated as strongly corroborated."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",2,Limited Use,2025,A government-to-person payment use case exists for social assistance/food grants: SmartSwitch biometric payment cards (UEPS-based) are used for food voucher beneficiaries to receive funds from local councils and spend at local shops ([BiometricUpdate](https://www.biometricupdate.com/202505/biometric-payment-card-system-pushing-financial-inclusion-in-botswana)). This indicates active but program-specific digitized transfers rather than whole-of-government digitization.,pay-functionality-usecaseg2p,32,https://www.biometricupdate.com/202505/biometric-payment-card-system-pushing-financial-inclusion-in-botswana,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.biometricupdate.com/202505/biometric-payment-card-system-pushing-financial-inclusion-in-botswana; https://cms1.gov.bw/taxonomy/term/98; https://documents1.worldbank.org/curated/en/099645103062256866/pdf/P1721750af4ddb0ce098d30b331412b0ab8.pdf","Confirmed. Government's own Social Protection page (cms1.gov.bw) confirms old-age pensioners can choose cash or monthly bank transfer, and describes a separate 'Pula Card' automated prepaid card used for ISPAAD, LIMID, student and travel allowance beneficiaries — corroborating the SmartSwitch evidence that several discrete G2P programmes use digital rails. A 2023 World Bank social protection report confirms benefits are still paid via a mix of banks, post offices and pay-points (SOBERS system), i.e. digitisation is programme-specific rather than economy-wide. 'Limited Use' (2) is well supported."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",2,Yes,,"Merchant payments exist through card/EFTPOS infrastructure; Bank of Botswana payments system scope includes “ATM and Electronic Funds Transfer at the Point of Sale (EFTOS)” statistics, indicating POS payments are part of the national payments system ([Bank of Botswana – Payments System Statistics](https://www.bankofbotswana.bw/content/payments-system-statistics)).",pay-functionality-usecasep2b,31,https://www.bankofbotswana.bw/content/payments-system-statistics,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,2,"https://www.bankofbotswana.bw/content/payments-system-statistics; https://payatlas.com/countries/botswana-bw; https://unayo.standardbank.com/static_file/unayo/Botswana/","Confirmed. PayAtlas's 2026 Botswana payments overview confirms cards (Visa/Mastercard) are widely accepted and mobile money (Orange Money, Mascom Wallet) is growing, with QR payments 'emerging but limited'. Standard Bank's Unayo mobile-money product offers 'Scan to Pay' QR merchant payments and bill payments today. Merchant P2B payment capability clearly exists nationally, supporting 'Yes' (2), though adoption is uneven (a Bank of Botswana-hosted news item notes many merchants remain reluctant to accept electronic payments)."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2024,Person-to-person transfers are supported through mobile money products in Botswana such as Orange Money and Mascom MyZaka (noted as active mobile money providers and services in Botswana) ([TheVoiceBW citing BOCRA 2024 annual report](https://thevoicebw.com/mobile-money-madness/)).,pay-functionality-usecasep2p,30,https://thevoicebw.com/mobile-money-madness/,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://thevoicebw.com/mobile-money-madness/; https://unayo.standardbank.com/static_file/unayo/Botswana/","Confirmed. TheVoiceBW's account of the BOCRA 2024 annual report (P33.5bn in mobile-money transaction value, March 2023–March 2024) is corroborated by Standard Bank's Unayo product page, which explicitly offers instant transfers 'to other Unayo mobile accounts, local bank accounts' and to any phone/email. 'Yes' (2) is well supported."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",2,Partial,2019,"The National Payments System Oversight Policy states objectives that include ensuring payment system providers operate fairly and transparently with full disclosure and that they “avail processes for consumer recourse” ([Bank of Botswana – NPS Oversight Policy 2019](https://www.bankofbotswana.bw/sites/default/files/National%20Payments%20System%20Oversight%20Policy%20%202019.pdf)). However, no specific payments consumer protection statute or ombudsman dispute-resolution rules were sourced in this run, so scored partial.",pay-governance-consumerprotectlaw,18,https://www.bankofbotswana.bw/sites/default/files/National%20Payments%20System%20Oversight%20Policy%20%202019.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://www.bankofbotswana.bw/sites/default/files/Electronic%20Payment%20Services%20Guidelines%20February%202022_1.pdf; https://www.bankofbotswana.bw/sites/default/files/press-release-files/press-release-eps.pdf; https://blog.lendsqr.com/a-report-on-how-debit-order-works-in-botswana/","Upgraded from Partial to Yes. The cited 2019 policy is only a draft oversight-principles document, but the binding Electronic Payment Services Regulations 2019 (in force since 4 Jan 2019) and the Bank of Botswana's Electronic Payment Services Licensing Guidelines (Feb 2022) explicitly require every licensed EPS provider to maintain a 'Consumer Protection Policy detailing consumer protection measures and customer complaints handling procedures, recourse mechanisms, rights and obligations of consumers and full fees disclosures, charges and tariffs'. This is a dedicated, binding payment-specific consumer protection requirement (disclosure, complaints handling, recourse), meeting the scale's 'Yes' threshold, and is further corroborated by an independent account of Banking Ombudsman recourse and EPS-mandated dispute procedures for debit orders."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Privacy Legislation Coverage,"Whether national data protection or privacy legislation exists and explicitly covers payment transaction data, including provisions on data collection, storage, sharing, retention, and user rights over their payment data.",2,General Data Protection Legislation,2018,"Botswana has a general data protection framework: the Data Protection Act, 2018 is publicly available (full act PDF) ([BOCRA – Data Protection Act 2018 PDF](https://www.bocra.org.bw/sites/default/files/documents/32%20Act%2010-08-2018-Data%20Protection.pdf)).",pay-governance-dataprivacylaw,16,https://www.bocra.org.bw/sites/default/files/documents/32%20Act%2010-08-2018-Data%20Protection.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.bocra.org.bw/sites/default/files/documents/32%20Act%2010-08-2018-Data%20Protection.pdf; https://www.dlapiperdataprotection.com/?c=BW&t=authority; https://www.datalaw.africa/wp-content/uploads/2024/12/Extraordinary-Gazette-29-10-2024.pdf","Confirmed. The Data Protection Act, 2018 established the Information and Data Protection Commission; DLA Piper's tracker confirms this Commission is the operating data protection authority, and a 29 October 2024 Government Gazette shows the Act has since been amended/continued (Commission 'shall continue'), indicating the general framework remains in force and active. It is general data protection legislation, not payment-specific, so 'General Data Protection Legislation' (2) is correct."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Public Performance Reporting,"Whether payment system operators or regulators regularly publish performance metrics and statistics on system usage, transaction volumes/values, participant numbers, uptime, and other operational indicators.",2,Ad Hoc,,"Bank of Botswana publishes national payment system statistics on its website (BACH, BISS, ATM and EFTOS) and notes that some data is also published in its monthly Botswana Financial Statistics publication ([Bank of Botswana – Payments System Statistics](https://www.bankofbotswana.bw/content/payments-system-statistics)). Frequency for BFS is monthly, but payment-system statistics frequency beyond that is not clearly specified on the page, so scored monthly/quarterly only where explicitly stated.",pay-governance-performancereporting,19,https://www.bankofbotswana.bw/content/payments-system-statistics,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,4,"https://www.bankofbotswana.bw/botswana-economic-and-financial-statistics; https://www.bankofbotswana.bw/index.php/publication/botswana-economic-and-financial-statistics-january-2026; https://www.bankofbotswana.bw/content/payments-system-statistics","Upgraded from Ad Hoc to Monthly/Quarterly. Bank of Botswana confirms the Botswana Financial Statistics (BFS) is 'a monthly publication' covering banking-system data, and a January 2026 edition is publicly available on the Bank's site, confirming the series is current and genuinely issued monthly. The payments-statistics page itself confirms 'some of this data is also published' in BFS each month. Regular (monthly) publication of at least some payment-system metrics meets the 'Monthly/Quarterly' threshold better than 'Ad Hoc', though full transaction-level detail may still be limited."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Pro-Poor Governance Mechanisms,"Whether payment system governance explicitly includes mechanisms to ensure inclusivity and represent interests of vulnerable populations, including provisions for input from all participant types, consumer representatives, small providers, or explicit financial inclusion mandates in governance documents.",2,Partial,2019,"Bank of Botswana’s National Payments System Oversight Policy includes objectives aligned to public interest (e.g., encouraging fair access, promoting public interest, ensuring consumer recourse and transparency) but does not evidence formal pro-poor/user representation governance mechanisms (e.g., consumer seats, inclusion councils) ([Bank of Botswana – NPS Oversight Policy 2019](https://www.bankofbotswana.bw/sites/default/files/National%20Payments%20System%20Oversight%20Policy%20%202019.pdf)).",pay-governance-propoorgovernance,14,https://www.bankofbotswana.bw/sites/default/files/National%20Payments%20System%20Oversight%20Policy%20%202019.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,https://www.bankofbotswana.bw/sites/default/files/National%20Payments%20System%20Oversight%20Policy%20%202019.pdf,"Confirmed unchanged. No further search (targeted at National Payments System Vision & Strategy documents and EPS Regulations) turned up a formal pro-poor governance mechanism (e.g. reserved board seats for small PSPs/consumers, statutory inclusion mandate). The 2019 Oversight Policy's general fairness/access objectives remain the best available evidence, supporting 'Partial' (2). Recommend human review if a more recent National Payments System Vision & Strategy document (post-2024) becomes available, as it may add specificity."
BWA,Botswana,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Digital Payment System Exists,"Whether the country has established or is actively developing an instant/real-time payment system (IPS/RTP) that enables digital payments with near-instant settlement (typically within seconds), available 24/7/365. This includes both bank-led and mobile money interoperability systems.",4,Partially deployed,,"Botswana has Bank of Botswana-operated national payment systems including the Botswana Interbank Settlement System (BISS), an RTGS that transfers funds in real time between participating institutions, and is interfaced with the Botswana Automated Clearing House (BACH) for net settlement ([Bank of Botswana – BISS](https://www.bankofbotswana.bw/content/botswana-interbank-settlement-system)). Because evidence found is for RTGS (high-value, business-hours) and batch retail clearing, but not for a 24/7 low-value inclusive instant payment system, score as partially deployed rather than fully deployed inclusive IPS.",pay-system-dpayexists,1,https://www.bankofbotswana.bw/content/botswana-interbank-settlement-system,1,Medium,single_source;no_year,Only one source for a substantive score — corroborate. No data year recorded — provenance/recency unknown.,3,"https://www.bwtechzone.com/2025/07/national-payments-switch-act-drafted.html; https://dailynews.gov.bw/news-detail/81537; https://www.bankofbotswana.bw/sites/default/files/publications/NPSS%202020-2024_Report%20June%2024%20Final.pdf","Downgraded from Partially deployed to Under development, flagged for human review. Fresher evidence indicates Botswana's own national instant/real-time low-value payment system is still being built, not yet deployed: the National Payments Switch Act — the legal basis for the country's retail instant payment switch — was only drafted as of July 2025 and had not yet gone to parliament (bwtechzone). A government-hosted DailyNews article quotes a payments consultant stating the domestic switch announcement 'may be a precursor for Instant Payment Systems in Botswana', i.e. explicitly describing an IPS as not yet existing. Existing rails (BISS RTGS for high-value interbank transfers, BACH batch clearing, and mobile money instant P2P within single providers) provide some instant-payment functionality but not a unified, interoperable 24/7 national IPS. Given genuine ambiguity between 'partially deployed' (components exist) and 'under development' (unified IPS not yet built), this is flagged for human review rather than asserted with full confidence."
