Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",3, Under development,2024,CIPA (Companies and Intellectual Property Authority) operates company registration system. Digital single-window for trade referenced as DPI target in national discussion. SmartBots includes business registration in digital transformation. GovOnline includes some business services. No confirmed full integration with national interoperability framework.,exchange-func-business,35,https://thepatriot.co.bw/digital-public-infrastructure-as-a-strategic-imperative/;https://www.trade.gov/country-commercial-guides/botswana-digital-economy,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",2, Planned,2024,Civil and National Registration operated by Department under Ministry of Nationality. Civil registration services identified as target for SmartBots digitisation. No confirmed operational integration of CRVS data with national data exchange platform. SADC eKYC initiative (FinMark Trust/Co-Develop) aims for cross-border civil registration interoperability including Botswana.,exchange-func-crvs,22,https://finmark.org.za/knowledge-hub/blog/strategic-collaboration-establishes-africa-s-first-cross-border-digital-identity-framework;https://www.bih.co.bw/wp-content/uploads/2019/09/BDRS-HACK-Overview.pdf,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,3, Under development,2024,"Department of Civil and National Registration under Ministry of Nationality operates digital national ID system. SmartBots specifically identifies ""timely and accurate registration and management of services"" as key outcome. EU project includes improvement of core registries. Digital Services Authority will oversee digital ID infrastructure. No confirmed fully operational national digital ID linked to data exchange.",exchange-func-digitalid,21,https://www.bih.co.bw/wp-content/uploads/2019/09/BDRS-HACK-Overview.pdf;https://www.expertisefrance.fr/en/projects/digital-transformation-botswana;https://www.trade.gov/country-commercial-guides/botswana-digital-economy,3,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",2, Planned,2024,"Botswana National eHealth Strategy identifies need for establishing ""standards and interoperability framework"" - but as of research (2023) eRecord systems in Botswana are NOT interoperable within or between public/private sectors (JMIR 2023 study). mHealth interoperability framework (mHeRIF) under development. Health integration is a documented gap.",exchange-func-health,28,https://pmc.ncbi.nlm.nih.gov/articles/PMC10189626/;https://www.researchprotocols.org/2024/1/e52411,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Passport & Immigration Integration,Integration of passport issuance and immigration control data into the exchange platform,2, Planned,2024,Biometric passport issued. Department of Civil and National Registration handles passport services. BOTSAT-1 satellite launched for national infrastructure. SADC cross-border eKYC initiative will include identity verification. No confirmed integration of passport data with national data exchange platform.,exchange-func-passport,26,https://www.trade.gov/country-commercial-guides/botswana-digital-economy;https://finmark.org.za/knowledge-hub/blog/strategic-collaboration-establishes-africa-s-first-cross-border-digital-identity-framework,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Payments Integration,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",3, Under development,2025,Bank of Botswana advancing digitalization of government revenue collection (2025). SADC Real-Time Gross Settlement (RTGS) system operational since 2013. SADC TCIB system launched 2021. Digital Services Authority established 2025. Government revenue digitisation actively underway. G2P integration not yet fully confirmed as operational.,exchange-func-payments,23,https://www.trade.gov/country-commercial-guides/botswana-digital-economy;https://finmark.org.za/knowledge-hub/blog/strategic-collaboration-establishes-africa-s-first-cross-border-digital-identity-framework,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",2, Planned,2024,"Statistics Botswana exists as national statistics office. Digital Botswana and Innovation Hub supports data-driven products. SmartBots data strategy includes ""co-create data-driven products and services."" No confirmed integration of national statistics with data exchange platform.",exchange-func-planning,33,https://expertise-france.gestmax.fr/_expertise_france/public_files/20220425-ad-digital-bw-final.pdf;https://www.trade.gov/country-commercial-guides/botswana-digital-economy,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,3, Under development,2025,Bank of Botswana advancing government revenue collection digitalization. GovOnline portal provides some tax-related services. Digital Services Authority established. SmartBots targets digitisation of revenue services. No confirmed full integration of Botswana Revenue Service with national data exchange.,exchange-func-revenue,24,https://www.trade.gov/country-commercial-guides/botswana-digital-economy;https://expertise-france.gestmax.fr/_expertise_france/public_files/20220425-ad-digital-bw-final.pdf,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",2, Planned,2024,SmartBots includes social services in digital transformation scope. No specific evidence of social protection registry integration with national data exchange. SADC eKYC initiative targets financial inclusion which includes social services delivery.,exchange-func-socialprotection,30,https://expertise-france.gestmax.fr/_expertise_france/public_files/20220425-ad-digital-bw-final.pdf;https://finmark.org.za/knowledge-hub/blog/strategic-collaboration-establishes-africa-s-first-cross-border-digital-identity-framework,2,OK,,,,,
BWA,Botswana,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Enabling Legislation,"Whether primary laws, acts, or legal instruments exist that establish authority for cross-government data sharing and govern the data exchange system",3, Yes,2025,"Data Protection Act 18 of 2024 (effective January 14, 2025) - replaces 2018 Act with stronger provisions. Digital Services Bill passed August 14, 2025. Cybersecurity Bill passed August 14, 2025. EU project supports legal framework for IOP standards. Enabling legislation exists and recently strengthened.",exchange-gov-legislation-exists,15.5,https://misa.org/blog/new-botswana-data-protection-act-progressive-step-to-a-more-secure-digital-environment/;https://www.trade.gov/country-commercial-guides/botswana-digital-economy,2,OK,,,,,
