Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",3,Yes,2026,"Revenue collection via digital payments is supported: Côte d’Ivoire’s DGI e‑impôts portal enables online tax filing and payment, indicating government revenue collection through digital channels.",pay-functionality-revenue,40,https://e-impots.gouv.ci,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,4,Yes,2026,Tax portal exists: e‑impôts (DGI) is an official portal for online tax filing and payment in Côte d’Ivoire.,pay-functionality-taxportal,41,https://e-impots.gouv.ci,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Cross-Border Payment Functionality,"Whether the instant payment system enables or plans to enable instant payments across national borders to other countries or regional payment systems, supporting remittances, trade, and regional integration.",4,Partially functional,2019,Cross-border transfers exist via mobile money and regional systems: CGAP notes cross-border transfers are more prevalent in Côte d’Ivoire than in other markets and that MNOs have bilateral arrangements enabling cross-border transfers; this indicates partial cross-border functionality (not a single fully unified pan-African instant rail evidenced for all users).,pay-functionality-usecasecrossborder,35,https://www.cgap.org/blog/beyond-regulations-whats-driving-mobile-money-in-cote-divoire,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",3,Yes - Active Use,2020,"Government-to-person payments are in active use: an IFC field note on Côte d’Ivoire digital social payments describes social safety net transfers delivered using a mobile money-based payment mechanism, reaching hundreds of thousands of beneficiaries.",pay-functionality-usecaseg2p,32,https://www.ifc.org/content/dam/ifc/doc/mgrt/ifc-mcf-field-note-11-digital-social-payments-in-cote-d-ivoire.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",2,Yes,2019,"Mobile money in Côte d’Ivoire supports merchant payments (P2B); CGAP notes providers are experimenting with merchant payments and lists payments (including bills) as a dominant use case. (Evidence shows availability, not necessarily universal acceptance.)",pay-functionality-usecasep2b,31,https://www.cgap.org/blog/beyond-regulations-whats-driving-mobile-money-in-cote-divoire,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",3,Yes - Active Use,2026,"Person-to-government payments are in active use: Côte d’Ivoire’s DGI operates the e‑impôts portal for online tax filing and payment (“télédéclaration et télépaiement des impôts”), enabling taxpayers to complete tax formalities online.",pay-functionality-usecasep2g,33,https://e-impots.gouv.ci,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2019,Mobile money in Côte d’Ivoire supports person‑to‑person transfers; CGAP notes P2P money transfers have been the single biggest use case driving mobile money use in Côte d’Ivoire.,pay-functionality-usecasep2p,30,https://www.cgap.org/blog/beyond-regulations-whats-driving-mobile-money-in-cote-divoire,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Central Bank Involvement in Governance,"Whether and how the central bank participates in payment system governance beyond its regulatory oversight role, including board representation, operational management, technical standard-setting, or direct system operation.",5,Direct Operation,2025,"BCEAO directly manages/operates key UEMOA payment systems used in Côte d’Ivoire. BCEAO states it is responsible for the management of SICA‑UEMOA and STAR‑UEMOA and performs operational, technical, and risk management activities (supervision, incident handling, reporting, invoicing, security, continuity, guarantee fund), indicating direct operation rather than only regulation.",pay-governance-cbgovernance,13,https://www.bceao.int/en/content/payment-systems-management,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Privacy Legislation Coverage,"Whether national data protection or privacy legislation exists and explicitly covers payment transaction data, including provisions on data collection, storage, sharing, retention, and user rights over their payment data.",2,General Data Protection Legislation,2013,"Côte d’Ivoire has a general data protection law: Law No. 2013‑450 on protection of personal data, with ARTCI as the enforcement authority (general data protection coverage; not specific payment-data provisions identified in consulted sources).",pay-governance-dataprivacylaw,16,https://dataprotection.africa/cote-divoire/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
CIV,Cote d'Ivoire,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Public Performance Reporting,"Whether payment system operators or regulators regularly publish performance metrics and statistics on system usage, transaction volumes/values, participant numbers, uptime, and other operational indicators.",4,Monthly/Quarterly,2024,"BCEAO publishes regular statistical reporting that includes Côte d’Ivoire (e.g., Quarterly Statistical Bulletin, 4Q2024), indicating at least quarterly public reporting on monetary/financial indicators. However, a specific recurring public KPI report dedicated to PI‑SPI performance (e.g., uptime, transaction volumes) was not identified in sources reviewed.",pay-governance-performancereporting,19,https://www.bceao.int/sites/default/files/2025-04/Quaterly%20Statistical%20Bulletin%20-%204Q2024.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
