Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,1, No,2025,"NIR operates an e-verification platform (nin.nir.gov.lr) described as 'the first Digital ID Verification Ecosystem and single source of identity truth for Citizens and Residents.' Verification is done by presenting the NIR card or fingerprints. Batch verification available to authorized institutions. EKYC verification results are provided. This constitutes digital authentication functionality. However, it is not yet widely deployed and is primarily institutional (agency-to-agency), not yet available as broad online authentication for citizens. Score 1 = digital authentication capability exists.",id-functionality-authdigital,36,https://nin.nir.gov.lr | https://id4africa.com/2024/ps2/PS2-4-Liberia-Final.pdf | https://allafrica.com/stories/202504300225.html,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,1, No,2025,"The NIR e-verification portal is used by the Civil Service Agency for payroll verification and ghost worker detection (MoU signed May 2024). Government institutions are required under Executive Order No. 147 to use NIR's digital verification tools for identity checks. The World Bank GREAT project (launched March 2025) aims to digitize nine major government institutions using the NIR as the identity backbone. However, broad citizen-facing government portal authentication (e-government login) is not yet widely deployed. Portal authentication exists primarily for inter-agency institutional use.",id-functionality-authgovtportal,37,https://frontpageafricaonline.com/news/liberia-national-identification-registry-drives-digital-transformation-with-strategic-partnerships-and-enrollment-growth/ | https://www.biometricupdate.com/202503/liberia-launches-digital-public-infrastructure-project-with-30m-world-bank-funding | https://nin.nir.gov.lr,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",1, No,2025,The NIR e-verification platform provides EKYC (electronic Know Your Customer) verification results to authorized institutions. The 2017 AML/CFT Regulations require financial institutions to collect KYC information including national ID documents before establishing customer relationships. The NIN is mandated as the primary identifier for bank account opening. Banking sector required the National ID for KYC/AML compliance from June 2025. The NIR explicitly supports KYC enablement for the financial sector.,id-functionality-kycenable,38,https://id4africa.com/2024/ps2/PS2-4-Liberia-Final.pdf | https://www.dlapiperdataprotection.com/index.html?t=law&c=LR | https://allafrica.com/stories/202504300225.html,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,1, No,2025,"The NIR Act 2011 and the Liberian Constitution (Article 16) provide that personal data can only be released to the applicant or by a court order. The constitution states no person shall be subjected to interference with privacy except by order of a court of competent jurisdiction. This constitutes a form of judicial oversight - courts can compel or restrict data disclosure. However, there is no specialized tribunal or structured judicial oversight mechanism specifically for the ID system; oversight is through general constitutional court provisions only.",id-governance-courtoversight,22,https://id4africa.com/2024/ps2/PS2-4-Liberia-Final.pdf | https://www.dlapiperdataprotection.com/index.html?t=law&c=LR | https://africachinareporting.com/liberia-struggles-to-enforce-privacy-and-data-protection-laws/,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,1, No integration,2025,"NIR has an interface with the Ministry of Health (MOHSW) for birth and death records. A UNICEF-supported pilot (launched Sept 2023) enrolled ~5,000 children under 5 in Montserrado County, expanding to other counties. The NIR Act identifies the civil register as a cross-check for identity establishment. However, the CRVS snapshot notes CRVS systems are not fully integrated among themselves or with other sectors. Civil registry birth/death data is used as foundational input to NIR enrollment but the integration is not comprehensive or automated. Some integration exists but remains partial.",id-governance-crvs,21,https://apai-crvs.uneca.org/sites/default/files/resourcefiles/CRVS_LiberiaSnapshot_e.pdf | https://frontpageafricaonline.com/news/liberia-national-identification-registry-drives-digital-transformation-with-strategic-partnerships-and-enrollment-growth/ | https://documents1.worldbank.org/curated/en/281811489660798714/pdf/113549-WP-P156810-PUBLIC-Liberia-ID4D-Web.pdf,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",1, Not available,2025,"The NIR Act 2011 states data can only be released to the applicant or by court order. The NIR manages data collection/storage with encrypted transmission. MoUs with CSA (May 2024) and LTA (October 2024) govern specific data-sharing arrangements. The e-verification portal allows authorized institutions batch verification access. However, the Paradigm Initiative report noted access rules are broad and unclear ('relevant security personnel, civil servants, public agents, private individuals per regulations') without clear protocols. Rules exist but are not comprehensive or fully codified.",id-governance-datasharingrules,23,https://id4africa.com/2024/ps2/PS2-4-Liberia-Final.pdf | https://frontpageafricaonline.com/news/liberia-national-identification-registry-drives-digital-transformation-with-strategic-partnerships-and-enrollment-growth/ | https://documents1.worldbank.org/curated/en/281811489660798714/pdf/113549-WP-P156810-PUBLIC-Liberia-ID4D-Web.pdf,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,1, No,2025,"The NIR Act 2011 specifically governs the national biometric ID system. Executive Order No. 147 (2025) further regulates mandatory enrollment and use. These constitute digital ID-specific regulation. However, there is no comprehensive standalone digital identity law. The 2011 Act focuses on registry establishment and card issuance without full digital identity provisions (online authentication, etc.). Score 1 = some specific regulation exists but not comprehensive.",id-governance-digidreg,17,https://nir.gov.lr | https://documents1.worldbank.org/curated/en/281811489660798714/pdf/113549-WP-P156810-PUBLIC-Liberia-ID4D-Web.pdf | https://idtechwire.com/liberia-makes-biometric-id-cards-mandatory-for-citizens-and-residents/,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,1, No,2025,"Executive Order No. 147 (2025) mandates the National Biometric ID card as the primary credential for identity authentication, proving citizenship, and accessing services. The NIR Act 2011 establishes the NIN as the primary government-approved identity number for banking, passports, driver's licenses, social security, and other documents. The ID card is legally recognized as proof of identity and citizenship, accepted across public and private sectors including banks, telecoms, healthcare, and government services.",id-governance-legalproof,20,https://citizenshiprightsafrica.org/liberia-mandatory-enrollment-of-all-citizens-and-foreign-residents-and-the-use-of-the-national-biometric-identification-card-to-access-all-public-and-private-services/ | https://nir.gov.lr | https://www.biometricupdate.com/202505/liberia-makes-national-id-enrollment-mandatory-for-citizens-residents,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",1, No,2025,"The National Identification Registry Act of 2011 establishes the legal basis for the NBIS, mandating the NIR and biometric ID issuance. Executive Order No. 147 (April 2025) reinforced mandatory enrollment. However, the World Bank ID4D diagnostic noted the law does not define digital identity as a legally recognized category, is silent on how digital identity is to be used/asserted online, and lacks provisions for electronic transactions. No dedicated digital identity law exists beyond the 2011 NIR Act. The legal framework is partial - establishes the registry but lacks comprehensive digital identity provisions.",id-governance-legframework,16,https://documents1.worldbank.org/curated/en/281811489660798714/pdf/113549-WP-P156810-PUBLIC-Liberia-ID4D-Web.pdf | https://citizenshiprightsafrica.org/liberia-mandatory-enrollment-of-all-citizens-and-foreign-residents-and-the-use-of-the-national-biometric-identification-card-to-access-all-public-and-private-services/ | https://data.unhcr.org/en/news/12747,3,OK,,,,,
LBR,Liberia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Ownership,Maintenance,"Whether the system and the production of credentials can be managed, maintained and developed by in-country technical staff (as opposed to foreign vendors)",2,Partial in-country capacity,2025,"NIR is an autonomous agency within the Executive Branch, established under the NIR Act 2011, with a Board of Registrars (BOR) chaired by the Minister of Internal Affairs. NIR has a dedicated management team responsible for maintaining the NBIS. A new Steering Committee was appointed in July 2025 chaired by the National Security Advisor. Oversight is shared with the Ministry of Finance and Development Planning and Liberia Revenue Authority. However, operations have faced significant funding shortfalls, procurement disputes (suspended contract with OSD International), and a full operational shutdown in early 2026 due to contracting controversy - indicating institutional maintenance challenges.",id-ownership-maintenance,14,https://nir.gov.lr | https://idtechwire.com/liberia-appoints-steering-committee-to-oversee-national-biometric-id-rollout-by-april-2026/ | https://idtechwire.com/liberia-suspends-biometric-id-contract-amid-procurement-controversy/ | https://liberianinvestigator.com/editorial/liberia-national-id-crisis-governance-test-nir/,4,OK,,,,,
