Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0,Unknown or n.a.,,No evidence of farmer registry or agricultural input system integration with a national data exchange platform. Mali Numerique 2020 mentioned agriculture as a target sector but implementation was acknowledged as unsuccessful. No current documentation of agricultural data exchange integration found. Score 1: not integrated.,exchange-func-agriculture,31,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",0,Unknown or n.a.,,No evidence of education system integration with a national data exchange platform. USAID DECA (2022) noted COVID-19 catalyzed some e-learning investments but 'coordination between actors and capitalizing on linkages between platforms remain key concerns'. No learner registry or education management system linked to a data exchange hub documented. Score 1: not integrated.,exchange-func-education,29,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,"No evidence of integration between electoral register and any data exchange platform found. Mali has faced political instability and military governance since 2021, with elections delayed. No documented API or data exchange between NINA and electoral systems. Score 1: not integrated.",exchange-func-electoral,25,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence of employment/labor market information systems integrated with a data exchange platform. Score 1: not integrated.,exchange-func-employment,34,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence of court records or case management integration with a national data exchange platform. No documented e-justice or justice system digitization linked to a data exchange hub in recent sources. Score 1: not integrated.,exchange-func-justice,32,https://www.digitaldevelopment.org/countries/mali/;https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",0,Unknown or n.a.,,No evidence of national statistics or census data integration with a data exchange platform. INSTAT (Institut National de la Statistique) has a website but no documented API exchange with government systems. Score 1: not integrated.,exchange-func-planning,33,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,0,Unknown or n.a.,,"No documented operational integration between tax/revenue systems and a national data exchange platform. TrÃ©sorPay handles some government fee collections (transport fees, toll revenues) and links to SYDONIA customs, suggesting partial fiscal digitization. However, no evidence of broader tax authority (DGI/Direction GÃ©nÃ©rale des ImpÃ´ts) integration with a data exchange hub. USAID DECA (2022) noted fragmented digital government. Score 2: planned/nascent.",exchange-func-revenue,24,https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration;https://www.digitaldevelopment.org/countries/mali/,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",0,Unknown or n.a.,,No evidence of social protection or grant registry integration with a national data exchange platform. USAID DECA (2022) noted digital government gaps. Mali does not document an operational social protection management system linked to a data exchange hub. Score 1: not integrated.,exchange-func-socialprotection,30,https://www.digitaldevelopment.org/countries/mali/;https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,AI/Analytics Capabilities,"Is artificial intelligence integrated into the data exchange for data quality, fraud detection or predictive analytics",0,Unknown or n.a.,,"No evidence of AI integrated into any government data exchange system in Mali. The country scores 0.3005 on the 2024 UN EGDI, below the African average. New sectoral platforms (OpenClinic, Sigui-Dolo, SIGIP) launched in Sep 2025 are not described as incorporating AI for data quality, fraud detection or predictive analytics. Mali's digital transformation is at an early stage with a focus on basic digitization rather than AI.",exchange-system-ai,6,https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration;https://cadeproject.org/updates/mali-launches-new-digital-platforms-to-improve-access-to-public-services/,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Sub-National Participation,Extent to which provincial/state and local governments participate in the data exchange,0,Unknown or n.a.,,"No evidence of sub-national government participation in a data exchange system. SIGIP monitors activities of associations and decentralized administrative units, but this is an information management tool, not a data exchange hub. Internet penetration is 35.1% nationally with significant urban/rural disparities. Mali is a vast country with limited connectivity outside major cities. Score 1: national level only (and even national level is nascent).",exchange-uptake-subnational,45,https://www.digitaldevelopment.org/countries/mali/;https://cadeproject.org/updates/mali-launches-new-digital-platforms-to-improve-access-to-public-services/,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
