Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",0,Unknown or n.a.,,No data found,ict-connectivity-dataafford,11,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",4,"https://pulse.internetsociety.org/en/reports/mr/; https://www.ecofinagency.com/news-digital/0505-55269-mauritania-expands-internet-capacity-with-new-undersea-cable-project; https://www.itu.int/en/ITU-D/Statistics/Pages/ICTprices/default.aspx","Original score of 0/Unknown was contested: a fast-path check surfaced an authoritative current figure. ITU-derived data reported by the Internet Society Pulse country report (2025) show the cost of a low-consumption mobile-broadband basket (1GB, 70 min, 50 SMS, 3G+) in Mauritania at 1.47% of GNI per capita, which falls in the 'Affordable (1-2%)' band matching the metadata's 1-2GB basket definition. A separate ITU-sourced figure reported by Ecofin Agency puts a larger 5GB basket at 2.94% of GNI per capita (2025); fixed broadband is far more expensive at 17.6% of GNI per capita, but that is out of scope for this mobile-data indicator. Revised from 0 to 4.",2025,high,"The cost of a 1GB entry-level mobile-broadband plan (low-consumption basket, 3G or above) in Mauritania equates to 1.47% of GNI per capita, according to ITU-derived data reported via the Internet Society Pulse country report (2025), placing mobile data affordability within the UN Broadband Commission's 'affordable' range. A larger 5GB basket costs a higher 2.94% of GNI per capita, while fixed broadband remains comparatively expensive at around 17.6% of GNI per capita.",
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,International Internet Bandwidth,"The country's total international internet bandwidth capacity per internet user, indicating the quality and capacity of the country's connection to the global internet. Determined by submarine cable landings (for coastal states), cross-border terrestrial fibre (for landlocked states), and satellite links.",0,Unknown or n.a.,,No data found,ict-connectivity-intlbandwidth,12,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",0,"https://pulse.internetsociety.org/en/reports/mr/; https://www.eib.org/en/projects/all/20190635; https://ts2.tech/en/mauritanias-internet-revolution-what-you-need-to-know-about-satellite-speed-and-access-in-2025/","A fast-path check surfaced sources on submarine cable capacity (the ACE cable, in service since 2011/2012; a new EllaLink/AlaLink branch landing at Nouadhibou with initial capacity of 200 Gbps scalable to 12 Tbps, expected in service around 2027) but none report the ITU metric of international bandwidth per internet user in kbit/s that this indicator's scale requires. Internet Society Pulse rates Mauritania's international route diversity as 'Poor' but does not quantify per-user bandwidth. Kept at 0/Unknown after a genuine full-path check; no authoritative per-user bandwidth figure could be located.",,low,"No authoritative measure of Mauritania's international internet bandwidth per internet user (in kbit/s) is publicly available. The country currently depends on a single active submarine cable (ACE, in service since 2011/2012), with a second cable (an EllaLink/AlaLink branch to Nouadhibou) under construction and expected to enter service around 2027, adding an initial capacity of 200 Gbps, scalable to 12 Tbps, and improving redundancy.",
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Internet Exchange Point Presence,"Whether the country has an operational Internet Exchange Point (IXP) and its maturity. IXPs enable local internet traffic to be exchanged domestically rather than being routed internationally, reducing latency, costs, and dependence on foreign infrastructure. Critical for local digital ecosystem development.",0,Unknown or n.a.,,No data found,ict-connectivity-ixp,13,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://ts2.tech/en/mauritanias-internet-revolution-what-you-need-to-know-about-satellite-speed-and-access-in-2025/; https://fr.saharamedias.net/mauritanie-lancement-officiel-du-centre-national-dechange-internet/; https://www.eib.org/en/press/all/2025-202-inauguration-du-centre-d-hebergement-de-donnees-numeriques-de-nouakchott","A fast-path check surfaced an authoritative update: Mauritania's Ministry of Digital Transformation officially launched a national Internet Exchange Point at International Mauritanian Telecommunications (IMT) in Nouakchott in May 2025, alongside a Tier III data centre (the EIB-funded Nouakchott Data Hub). Packet Clearing House's directory entry for the earlier 'RIMIX' initiative (established 2015) still lists its status as 'Planned', but this is superseded by the operational 2025 launch reported by government and press sources. Revised from 0 to 3 (single IXP with limited/government-operator participation).",2025,high,"Mauritania has an operational national Internet Exchange Point, officially launched in May 2025 and hosted at International Mauritanian Telecommunications (IMT) in Nouakchott. It is jointly run by government and the country's telecom operators, with the stated aim of localising domestic internet traffic, reducing latency and strengthening digital sovereignty. Participation is currently limited to the government-backed IMT consortium and the three national telecom operators.",
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",0,Unknown or n.a.,,No data found,ict-connectivity-smartphonepen,8,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check via GSMA search returned only regional (Sub-Saharan Africa / Africa-wide) smartphone adoption figures (e.g. GSMA 'Accelerating Smartphone Adoption in Africa' and 'The Mobile Economy Africa' reports); no Mauritania-specific smartphone adoption percentage was found. Confirmed as Unknown on a light check.",,low,"No country-specific data on smartphone adoption in Mauritania is currently available from authoritative sources.",unknown_lightcheck
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",0,Unknown or n.a.,,No evidence found,ict-storage-datalocalisation,16,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",0,"https://www.dataguidance.com/jurisdictions/mauritania; https://dataprotection.africa/mauritania/; https://www.consentstack.io/regulations/mr-law2017020; https://www.ecofinagency.com/news-digital/3006-56943-mauritania-launches-national-cloud-to-strengthen-digital-sovereignty","Evidence is mixed and does not clearly establish a data-localisation mandate as defined by this indicator (a legal requirement to store specific data categories within national borders). Mauritania's Law No. 2017-020 on personal data protection was adopted in 2017 and created a Data Protection Authority (APD), but multiple legal trackers (DataGuidance, Data Protection Africa) state it 'has not yet come into effect'; another summary describes cross-border transfer restrictions to 'adequate' jurisdictions as part of the same law. Separately, in 2026 the government launched a National Cloud/Nouakchott Data Centre to host government data domestically, but this is an infrastructure/policy initiative rather than a codified legal requirement applying broadly to personal, financial or critical-infrastructure data. Given conflicting signals on whether any binding law is in force, and the narrow, government-only scope of the cloud initiative, this is flagged for human review rather than scored definitively.",2026,low,"Mauritania's Law No. 2017-020 on the protection of personal data, which established the Autorité de Protection des Données à caractère Personnel (APD) and includes provisions restricting cross-border transfers of personal data to jurisdictions offering adequate protection, was adopted in 2017; several legal trackers note that it has not yet fully entered into force. Separately, the government inaugurated a National Cloud platform in 2026 to host government data and digital public services within national borders, reflecting a broader digital-sovereignty agenda, though this does not constitute a general legal data-localisation requirement covering personal, financial or private-sector data.",human_review
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Affordability,"Affordability of electricity for residential and small business consumers, measured as cost of electricity relative to income levels. High electricity costs are a direct barrier to ICT adoption and data center viability.",0,Unknown or n.a.,,No data found,ict-energy-affordability,5,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",0,"https://callmepower.com/faq/electricity-prices/world; https://www.pvknowhow.com/solar-report/mauritania/; https://countrydatahub.com/countries/mauritania/gni-per-capita-atlas-method-current-us","Residential electricity tariff figures were located (Somelec, the national utility, cited via Callmepower at USD 0.151/kWh; PVKnowhow's 2022 estimate of USD 0.1716/kWh), and Mauritania's GNI per capita is confirmed at USD 2,120 (2024, World Bank Atlas method, approximately USD 177/month). However, the metadata guidance does not fix a standard 'basic service' consumption level (unlike the mobile-data indicator's explicit 1-2GB basket), so the resulting affordability percentage is highly sensitive to the assumed monthly kWh consumption: at 50 kWh/month the cost is approximately 4.3% of monthly GNI per capita ('Moderate'), while at 100 kWh/month it is approximately 8.5% ('Expensive'). Because the code is assumption-dependent and no standard benchmark (e.g. World Bank Enterprise Surveys, ESMAP Multi-Tier Framework) specifying the reference consumption for this indicator was found, this is flagged for human review rather than scored on an assumed basket.",2024,medium,"Mauritania's national utility, Somelec, charges a residential electricity tariff of approximately USD 0.15-0.17 per kWh (recent estimates range from USD 0.151 to USD 0.1716 per kWh). Against a GNI per capita of USD 2,120 (2024), this represents a moderate-to-expensive cost burden depending on assumed household consumption levels, with electricity affordability remaining a constraint on ICT adoption and data-centre viability in the country.",human_review
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Urban-Rural Electrification Gap,"The gap between urban and rural electricity access rates. A smaller gap indicates more equitable energy distribution, critical for ensuring ICT infrastructure can serve the whole population, not just cities.",0,Unknown or n.a.,,No data found,ict-energy-urbanruraldevide,2,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,"https://data.worldbank.org/indicator/EG.ELC.ACCS.UR.ZS?locations=MR; https://macrovedia.com/series/5a0e181cbd3d2b33/; https://data.worldbank.org/indicator/EG.ELC.ACCS.RU.ZS?locations=MR","World Bank data show urban electricity access in Mauritania at 93.5% (2023) against rural access of just 1.5% (2011, the latest year for which the World Bank's rural indicator has been updated for Mauritania) — a gap of roughly 92 percentage points. Although the rural figure is dated (surveys for this indicator are infrequent), the gap is so large that it is robust to plausible current rural-access levels, placing it firmly in the 'Gap >60 percentage points' band. Revised from 0 to 1.",2023,medium,"Electricity access is heavily skewed towards urban areas in Mauritania: 93.5% of the urban population had access in 2023, compared with just 1.5% of the rural population as at the last available World Bank estimate (2011). This represents a gap of around 90 percentage points, among the widest urban-rural electrification divides recorded in Sub-Saharan Africa, reflecting the concentration of grid infrastructure around Nouakchott and other urban centres.",
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Basic Digital Literacy,"The proportion of the population with basic digital skills (ability to use a computer, smartphone, or the internet for simple tasks such as sending messages, finding information, or using apps). Based on ITU household survey data, Afrobarometer, or national ICT surveys.",0,Unknown or n.a.,,No data found,ict-capacity-digitalliteracy,20,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check via ITU/Afrobarometer search returned only generic ITU methodology documents on measuring ICT skills; no Mauritania-specific digital literacy percentage was found. Confirmed as Unknown on a light check.",,low,"No country-specific data on basic digital literacy in Mauritania is currently available from authoritative sources.",unknown_lightcheck
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Gender Gap in ICT Access,The gap between men and women in mobile internet usage or internet access. Based on the GSMA Mobile Gender Gap data or ITU gender-disaggregated ICT statistics. A smaller gap indicates more equitable access to digital opportunities.,0,Unknown or n.a.,,No data found,ict-capacity-gendergap,23,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check via GSMA Mobile Gender Gap search returned only regional (Sub-Saharan Africa) and multi-country survey data; Mauritania is not among the countries surveyed for the GSMA Mobile Gender Gap Report. No Mauritania-specific gender gap figure was found. Confirmed as Unknown on a light check.",,low,"No country-specific data on the gender gap in mobile or internet access in Mauritania is currently available from authoritative sources; Mauritania is not covered by the GSMA Mobile Gender Gap Report's surveyed-country dataset.",unknown_lightcheck
MRT,Mauritania,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Technical Capacity,Tertiary ICT/STEM Education,"The scale and quality of tertiary-level ICT and STEM education programmes available in the country, based on the number and quality of institutions offering ICT degrees, computer science programmes, and engineering courses relative to the population.",1,Very limited (<2 institutions with ICT programmes),,"Very limited (&lt;2 institutions); 6 total tertiary, new science uni planned. [AfricaKnows](https://www.africaknows.eu/pdfs/copr31.pdf)",ict-capacity-tertiaryict,21,https://www.africaknows.eu/pdfs/copr31.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://mesrs.gov.mr/fr/etablissements; https://grokipedia.com/page/college_of_science_and_technology_mauritania; https://whed.net/institutions/IAU-019633; https://www.esp.mr/","The cited source (AfricaKnows, 2020) supporting the original score of 1 concerns Mauritania's total tertiary institution count (six) rather than specifically ICT/STEM programme provision, and understates current provision. Mauritania's Ministry of Higher Education directory (MESRS) and institutional profiles show several institutions offering computer science/ICT programmes: the University of Nouakchott Al Aasriya's Faculté des Sciences et Techniques (public, around 5,300 students, Licence/Master/Doctorate in Computer Science, Applied Mathematics, Computer Networks and Telecommunications Engineering, with Master's tracks in Information Systems and in Networks & Communicating Systems covering IoT/Big Data/Cloud); the École Supérieure Polytechnique (public engineering school); the Institut Supérieur du Numérique (public, dedicated to development/network programmes); and several private providers (Groupe ISI/ISI Mauritanie, ESPRI) offering 'Informatique' degrees. This is well beyond 'very limited (<2 institutions)'; revised to 3 (moderate: several institutions, growing enrolment).",2024,medium,"Mauritania has several tertiary institutions offering ICT and STEM programmes, both public and private. The University of Nouakchott Al Aasriya's Faculté des Sciences et Techniques is the main public provider, with around 5,300 students and Licence, Master's and Doctorate programmes in computer science, applied mathematics, computer networks and telecommunications engineering, including specialised Master's tracks in information systems and in networks and communicating systems covering IoT, big data and cloud computing. The public École Supérieure Polytechnique and Institut Supérieur du Numérique, alongside private providers such as Groupe ISI and ESPRI, add further capacity in engineering and applied computing. Enrolment and institutional depth are growing but remain modest relative to larger regional systems.",
