Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0,Unknown or n.a.,,No evidence of farmer registry or agricultural input system integration with a national data exchange platform. Mali Numerique 2020 mentioned agriculture as a target sector but implementation was acknowledged as unsuccessful. No current documentation of agricultural data exchange integration found. Score 1: not integrated.,exchange-func-agriculture,31,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://sti-portal.fao.org/innovations/agdatahubs-mali-leveraging-digital-platforms-integrate-climate-soil-and-crop-data;https://documents1.worldbank.org/curated/en/915401555082222586/pdf/Digitizing-Agriculture-Evidence-from-E-Voucher-programs-in-Mali-Chad-Niger-and-Guinea.pdf;https://www.digitaldevelopment.org/countries/mali/","Original sources verified as genuine but generic (country digital ecosystem assessments), not agriculture-specific. Fresh search identified the AgData Hub (hosted by Mali-Météo, integrating climate/soil/crop data) and a World Bank-documented e-voucher farmer registry (CNRA/WAAPP), both standalone sector platforms with no evidence of interoperability with a national government data exchange. Original comment concluded 'Score 1: not integrated' but the Value Code field was recorded as 0; corrected to 1 to align the code with the stated evidence.",2025,medium,"Mali has several sector-specific digital agricultural data platforms, including the AgData Hub (hosted by Mali-Météo, integrating climate, soil and crop data for agricultural planning) and an e-voucher scheme for input subsidy distribution using an electronically registered farmer database managed by CNRA/WAAPP. These remain standalone donor- and research-partner-led systems rather than components integrated into a whole-of-government data exchange platform; there is no evidence of interoperability between agricultural registries and other government systems such as tax, land administration or civil registration.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",0,Unknown or n.a.,,USAID DECA (2022) noted COVID-19 catalyzed some e-learning investments but 'coordination between actors and capitalizing on linkages between platforms remain key concerns'. No learner registry or education management system linked to a data exchange hub documented. Score 1: not integrated.,exchange-func-education,29,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://knowledgehub.adeanet.org/en/elibrary/adea2017d017;https://www.adeanet.org/sites/default/files/revue_par_les_pairs_du_systeme_dinfromation_pour_la_gestion_de_leducation_du_mali.pdf;https://www.adeanet.org/en/blogs/adea-role-education-management-information-systems-africa","Original sources (digitaldevelopment.org, dig.watch) verified as generic, not education-specific. Fresh search found the ADEA/ECOWAS EMIS peer review (2017) confirming the StatEduc-2 system exists but lacks formal inter-agency data-sharing protocols. Original comment concluded 'Score 1: not integrated' but the Value Code field was recorded as 0; corrected to 1 to align the code with the stated evidence.",2017,medium,"Mali's Education Management Information System (SIGE), coordinated by the Cellule de Planification et de Statistique du Secteur Education (CPS-SE) using the StatEduc-2 software, is the recognised national repository of education statistics. A 2017 ECOWAS/ADEA peer review found the legal framework and statistical production broadly satisfactory but noted that data-sharing arrangements between education sub-sectors and other government bodies remain unclear and irregular, with no formal protocol linking CPS-SE to the national statistics institute (INSTAT) despite both being members of the National Statistical System. There is no evidence of an operational link between learner records or credentials and a national data exchange platform.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,"No evidence of integration between electoral register and any data exchange platform found. Mali has faced political instability and military governance since 2021, with elections delayed. No documented API or data exchange between NINA and electoral systems. Score 1: not integrated.",exchange-func-electoral,25,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,4,"https://id4africa.com/2016/presentations/1-1-3_MATD_SY_Abdou.pdf;https://bamada.net/fichier-electoral-le-quitus-du-comite-daudit;https://bamada.net/avec-evaluation-mi-parcours","Original comment claimed no documented data exchange between NINA and the electoral system; this full-path review found strong contrary evidence. A 2016 Malian government technical presentation (ID4Africa, Ministère de l'Administration Territoriale) states the RAVEC database explicitly feeds the fichier électoral, and a 2018-2020 national electoral-roll audit (with OIF support) confirms NINA is used as the deduplication key for the 7.66 million voters registered for the 2020 elections. Score revised upward from the recorded 0 to 4 (partially integrated). Flagged for human review because the newest confirming evidence dates to 2020 and Mali has not held elections since the 2021 political transition, so current operational continuity of this data flow could not be independently reconfirmed with fresher sources.",2020,medium,"Mali's national identity census (RAVEC) database, which issues the National Identification Number (NINA) to enrolled citizens, was designed to feed the electoral register alongside other registers such as passports, driving licences and civil status records. A 2018-2020 national audit of the electoral roll, supported by the Organisation internationale de la Francophonie, confirmed that the NINA number is used as the unique key to deduplicate voter entries drawn from the RAVEC database, with 7.66 million registered voters recorded for the 2020 elections. This represents a substantive technical integration between the identity/civil registration data holdings and the electoral register, though no elections have been held since the 2021 political transition, so the currency of continued operational data exchange since then is unconfirmed.",human_review
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence of employment/labor market information systems integrated with a data exchange platform. Score 1: not integrated.,exchange-func-employment,34,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://menefp.gouv.ml/lancement-officiel-de-la-plateforme-digitale-baara-anpe-par-madame-le-ministre-oumou-sall-seck/;https://onef.ml/?9924218","Original sources verified as generic, not employment-specific. Fresh search found the June 2025 launch of BAARA-ANPE, a materially new development not reflected in the original comment. This digitises the job-seeker registry but there is no evidence it is integrated with a broader national data exchange platform, so the score remains 1 (not integrated); the Value Code field was corrected from the recorded 0 to 1 to match the evidence-based conclusion already stated in the original comment.",2025,high,"Mali's National Employment Agency (ANPE) launched the BAARA-ANPE digital platform in June 2025 to register jobseekers, centralise their personal and professional data, and match them with employers nationally. This is the country's first significant digitisation of the job-seeker registry, alongside the pre-existing National Observatory of Employment and Vocational Training (ONEF), which compiles labour-market statistics. There is no evidence that BAARA-ANPE, ONEF, or any unemployment/labour programme data are integrated with a broader national data exchange platform linking employment services to other government systems.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence of court records or case management integration with a national data exchange platform. No documented e-justice or justice system digitization linked to a data exchange hub in recent sources. Score 1: not integrated.,exchange-func-justice,32,https://www.digitaldevelopment.org/countries/mali/;https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration,2,Low,no_year,No data year recorded — provenance/recency unknown.,4,"https://www.digitalbusiness.africa/mali-digitalisation-du-casier-judiciaire-et-du-certificat-de-nationalite/;https://techpression.com/mali-rolls-out-digital-system-for-judicial-and-nationality-records/;http://news.abamako.com/h/298223.html","Original comment found 'no evidence of court records or case management integration'; this is now clearly superseded. Fresh search identified SIG-DJ (Système Intégré de Gestion des Dossiers Judiciaires, launched January 2025 by the Ministry of Justice with AGETIC) and the February 2026 rollout of e-casierjudiciaire.gouv.ml and e-nationalite.gouv.ml, confirmed by three independent sources. Score revised upward from the recorded 0 to 4 (partially integrated): specific services are live nationally and linked to civil status, while full cross-court interconnection remains at pilot stage per the Ministry's own statements.",2026,high,"Mali's Ministry of Justice, working with the national ICT agency AGETIC, launched the Système Intégré de Gestion des Dossiers Judiciaires (SIG-DJ) in January 2025 to digitise court case files, judicial police records and civil status information within a single processing chain. In February 2026 this was extended with two live online platforms — for judicial record (casier judiciaire) and nationality certificate requests — accessible nationwide and to the diaspora, with documents carrying the same legal validity as those issued through traditional channels. Interconnection of individual courts and jurisdictions remains at pilot stage, so integration across the full justice system is not yet complete.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",0,Unknown or n.a.,,No evidence of national statistics or census data integration with a data exchange platform. INSTAT (Institut National de la Statistique) has a website but no documented API exchange with government systems. Score 1: not integrated.,exchange-func-planning,33,https://www.digitaldevelopment.org/countries/mali/;https://dig.watch/resource/national-strategy-for-the-development-of-the-digital-economy-in-mali-draft,2,Low,no_year,No data year recorded — provenance/recency unknown.,4,"https://www.instat-mali.org/laravel-filemanager/files/shares/ca/rap-act-statistique-2024_ca.pdf;https://www.communitysystemsfoundation.org/projects/empowering-instat-mali-data-all-sdg-monitoring;https://www.instat-mali.org/index.php/fr/actualites-et-evenements/atelier-de-formation-des-points-focaux-de-la-base-de-donnees-malikunnafoni","Original comment claimed 'no evidence of national statistics or census data integration with a data exchange platform'; this full-path review found this to be materially incomplete. Fresh evidence (INSTAT's 2024 Rapport Annuel d'Activités Statistiques and Malikunnafoni/Data For All project documentation) confirms an established, legally mandated (Law No. 2016-005), cross-agency statistical data-sharing system already in operation, albeit with documented connectivity/capacity gaps. Score revised upward from the recorded 0 to 4 (partially integrated).",2024,high,"Mali's National Statistical System (Système Statistique National, SSN), coordinated by INSTAT under Law No. 2016-005, formally comprises INSTAT, 11 sectoral statistics units (Cellules de Planification et de Statistique), regional/sub-regional statistical offices, national observatories, the central bank (BCEAO) and specific directorates of tax, customs, treasury, budget and public procurement bodies. INSTAT's Malikunnafoni platform, migrated to the Data For All system, consolidates socioeconomic and multi-sectoral indicators for national planning and SDG monitoring, with regional-level rollout underway from 2023-24. INSTAT's 2024 annual activity report notes that internet access across SSN structures improved to 63% in 2024 (from 49% in 2023), though intranet connectivity and functioning websites remain limited across many member structures.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,0,Unknown or n.a.,,"No documented operational integration between tax/revenue systems and a national data exchange platform. TrésorPay handles some government fee collections (transport fees, toll revenues) and links to SYDONIA customs, suggesting partial fiscal digitization. However, no evidence of broader tax authority (DGI/Direction Générale des Impôts) integration with a data exchange hub. USAID DECA (2022) noted fragmented digital government. Score 2: planned/nascent.",exchange-func-revenue,24,https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration;https://www.digitaldevelopment.org/countries/mali/,2,Low,no_year,No data year recorded — provenance/recency unknown.,4,"https://www.maliweb.net/interview/hamadou-fall-dianka-dg-des-impots-le-montant-des-recettes-electroniques-a-atteint-300-milliards-de-fcfa-en-2024-3111560.html;https://www.maliweb.net/interview/hamadou-fall-dianka-directeur-general-des-impots-dans-lessor-le-telepaiement-accelere-la-collecte-des-recettes-fiscales-3111878.html;https://www.dgi.gouv.ml/wp-content/uploads/2023/05/Rapport-annuel-DGI-Mali-2022-version.pdf","Original comment assessed this as 'Score 2: planned/nascent' based on limited TrésorPay/customs linkage evidence, but the Value Code field was recorded as 0. This full-path review found substantially stronger and more recent evidence (DGI Director-General interviews, November-December 2025) confirming operational interconnection with Treasury, Customs and Social Security, and quantified progress in electronic revenue share (2% to 30% of collections, 2022-2024). Score revised upward from the recorded 0 to 4 (partially integrated), reflecting demonstrated operational cross-agency data exchange rather than merely planned integration.",2024,high,"Mali's Direction Générale des Impôts (DGI) operates SIGTAS (Système Intégré de Gestion des Taxes et Assimilées), first introduced in 1999 and now covering all taxpayers and nearly all tax types for e-filing (télédéclaration), with an operational e-payment platform (télépaiement) since December 2021. According to the DGI Director-General (November 2025), electronic revenue collection reached XOF 300 billion in 2024 (30% of total collections, up from 2% in 2022), and the system is interconnected with the Treasury, Customs and Social Security administrations to strengthen anomaly detection and fraud prevention. Full nationwide generalisation of SIGTAS and integration of remaining payment channels is planned as a near-term priority, alongside a data warehouse with business intelligence tools.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",0,Unknown or n.a.,,No evidence of social protection or grant registry integration with a national data exchange platform. USAID DECA (2022) noted digital government gaps. Mali does not document an operational social protection management system linked to a data exchange hub. Score 1: not integrated.,exchange-func-socialprotection,30,https://www.digitaldevelopment.org/countries/mali/;https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration,2,Low,no_year,No data year recorded — provenance/recency unknown.,4,"https://rsu.gouv.ml/portail/presentation/;https://p4h.world/en/news/social-protection-in-mali-creation-of-a-unified-social-security-system/;https://rsu.gouv.ml/portail/atelier-de-partage-et-de-reflexion-sur-le-renforcement-du-registre-social-unifie-rsu/","Original comment stated 'no evidence of social protection or grant registry integration'; this full-path review found the Registre Social Unifié (RSU), a decreed national unified social registry designed for interoperability with civil registration/identity databases and already used operationally for beneficiary enrolment (e.g. the Jigisèmèjiri programme). Score revised upward from the recorded 0 to 4 (partially integrated).",2022,medium,"Mali established the Registre Social Unifié (RSU) by Decree No. 2022-0276/PT-RM of 9 May 2022 as the country's central coordination instrument and national database for social protection beneficiaries, covering both contributory and non-contributory schemes. The RSU is described by its operators as an open system interoperating with other national databases, using the national identity census number (RAVEC), identity card or passport number as secondary identifiers to support cross-referencing. It is used operationally to register beneficiaries of specific programmes such as Jigisèmèjiri, with data collected via RSU tools then transferred into programme-specific management information systems.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,AI/Analytics Capabilities,"Is artificial intelligence integrated into the data exchange for data quality, fraud detection or predictive analytics",0,Unknown or n.a.,,"No evidence of AI integrated into any government data exchange system in Mali. The country scores 0.3005 on the 2024 UN EGDI, below the African average. New sectoral platforms (OpenClinic, Sigui-Dolo, SIGIP) launched in Sep 2025 are not described as incorporating AI for data quality, fraud detection or predictive analytics. Mali's digital transformation is at an early stage with a focus on basic digitization rather than AI.",exchange-system-ai,6,https://www.ecofinagency.com/news-digital/1709-48777-mali-rolls-out-new-digital-tools-to-modernize-public-administration;https://cadeproject.org/updates/mali-launches-new-digital-platforms-to-improve-access-to-public-services/,2,Low,no_year,No data year recorded — provenance/recency unknown.,2,"https://www.maliweb.net/interview/hamadou-fall-dianka-dg-des-impots-le-montant-des-recettes-electroniques-a-atteint-300-milliards-de-fcfa-en-2024-3111560.html","Original comment found no AI use, consistent with a score of 1 (No) rather than the recorded Value Code of 0. Fresh evidence (DGI Director-General interview, November 2025) specifically confirms AI/business-intelligence plans for a tax administration data warehouse, which had not been captured in the original assessment. Score revised from the recorded 0 to 2 (Planned), reflecting this newly identified concrete plan rather than a simple absence of AI.",2025,high,"There is no evidence of AI or advanced analytics currently functioning within any Malian government data exchange or sector system. The Direction Générale des Impôts has, as of November 2025, stated it is working towards establishing a data warehouse with business intelligence and artificial intelligence tools to improve detection of inconsistencies and combat fraud, alongside investment in IT infrastructure and backup capacity, but this remains at the planning stage with no confirmed deployment date.",
MLI,Mali,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Sub-National Participation,Extent to which provincial/state and local governments participate in the data exchange,0,Unknown or n.a.,,"No evidence of sub-national government participation in a data exchange system. SIGIP monitors activities of associations and decentralized administrative units, but this is an information management tool, not a data exchange hub. Internet penetration is 35.1% nationally with significant urban/rural disparities. Mali is a vast country with limited connectivity outside major cities. Score 1: national level only (and even national level is nascent).",exchange-uptake-subnational,45,https://www.digitaldevelopment.org/countries/mali/;https://cadeproject.org/updates/mali-launches-new-digital-platforms-to-improve-access-to-public-services/,2,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://cadeproject.org/updates/mali-launches-new-digital-platforms-to-improve-access-to-public-services/;https://www.instat-mali.org/laravel-filemanager/files/shares/ca/rap-act-statistique-2024_ca.pdf","Original comment concluded 'Score 1: national level only (and even national level is nascent)' but the Value Code field was recorded as 0. This full-path review found supporting evidence (SIGIP launch, September 2025; INSTAT's 2024 annual report on planned regional Malikunnafoni rollout) consistent with that conclusion. Value Code corrected from 0 to 1 to align with the evidence.",2025,medium,"Government data exchange and integration initiatives in Mali remain concentrated at national level. The Système Intégré de Gestion de l'Information des Préfectures (SIGIP), launched September 2025, monitors association activity, staff attendance and administrative boundaries at territorial-administration level, but functions as a monitoring and information-management tool rather than a two-way data exchange with sub-national governments. INSTAT's 2024 annual report notes plans to extend its Malikunnafoni statistical platform through new regional database installations to improve access to data at the deconcentrated level, but this remains a planned extension rather than an established sub-national participation mechanism. Connectivity gaps outside major cities further constrain sub-national engagement.",
