Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0,Unknown or n.a.,,No evidence found of farmer registries or agricultural input systems integrated with a data exchange platform.,exchange-func-agriculture,31,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",0,Unknown or n.a.,,No evidence of CRVS integration with a national data exchange. Guinea's civil registration system faces challenges; November 2025 workshop focused on health information system interoperability (not civil registration). World Bank DE4A 2021 noted CRVS was not integrated with foundational ID.,exchange-func-crvs,22,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf;https://guineenews.org/2025/11/27/interoperabilite-tenue-dun-atelier-cle-pour-la-modernisation-du-systeme-dinformation-sanitaire-en-guinee/,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,No evidence found of electoral register integration with a national data exchange system. Guinea is under military governance since 2021 coup; elections and electoral register management have been limited in this context.,exchange-func-electoral,25,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence found of employment services integration with a data exchange platform. FUGAS manages civil service workforce but is not a public employment/labor market exchange.,exchange-func-employment,34,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence found of justice system integration with a data exchange platform.,exchange-func-justice,32,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,0,Unknown or n.a.,,No evidence found of driver licensing data integration with a national data exchange. Not referenced in available strategy or implementation documents.,exchange-func-licensing,27,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,0,Unknown or n.a.,,No evidence found of tax/revenue system integration with a national data exchange platform. TELEMO addresses public procurement transparency but no documented API-level integration between tax authority and other government registries.,exchange-func-revenue,24,https://smartafrica.org/guinea-at-the-heart-of-africas-digital-transformation-smart-africa-and-the-guinean-government-align-vision-and-action-at-the-transform-africa-summit-2025/,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",0,Unknown or n.a.,,"No evidence found of social protection/grant registry integration with a data exchange system. World Bank DE4A 2021 recommended interoperability between foundational ID and social registry as a key priority, indicating this was not achieved as of 2021 and no subsequent operational evidence found.",exchange-func-socialprotection,30,https://thedocs.worldbank.org/en/doc/1f27e46f67848dbf244c2e7a523ef521-0200022021/original/Guinea-DE4A-Final-French-CLEAN-07042021.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,AI/Analytics Capabilities,"Is artificial intelligence integrated into the data exchange for data quality, fraud detection or predictive analytics",0,Unknown or n.a.,,"No evidence of AI integration in government data exchange systems. The Transform Africa Summit 2025 (hosted by Guinea) discussed AI broadly. FUGAS (unified civil service registry) and TELEMO (e-procurement) are operational but no documented AI capabilities for data quality, fraud detection or predictive analytics in data exchange context.",exchange-system-ai,6,https://www.wearetech.africa/en/fils-uk/news/tech/guinea-reviews-2025-digital-sector-gains-targets-faster-rollout-in-2026;https://smartafrica.org/get-to-know-the-republic-of-guinea-home-of-transform-africa-summit-2025/,2,Low,no_year,No data year recorded — provenance/recency unknown.,,,
GIN,Guinea,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Public Transparency,"Level of public transparency regarding data exchange operations, governance, and data sharing agreements",2,Low - Limited Disclosure,2025,"TELEMO explicitly designed to improve governance transparency and fight corruption in public procurement. The Minister presented detailed sector review for 2025 with quantified results. However, no public dashboard for data exchange operations; data protection law is still under adoption. Limited public reporting on data exchange specifically.",exchange-uptake-transparency,57,https://www.wearetech.africa/en/fils-uk/news/tech/guinea-reviews-2025-digital-sector-gains-targets-faster-rollout-in-2026;https://smartafrica.org/get-to-know-the-republic-of-guinea-home-of-transform-africa-summit-2025/,2,Low,label_formatting,Value Name differs from the scale label — usually cosmetic.,,,
