Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",3,Yes,2019,"Digital revenue collection exists via NamRA/ITAS (integrated tax system for electronic filing; PAYE returns expected to be lodged online through ITAS, per description of ITAS rollout).[HRTorQue (re ITAS operational 2019)](https://hrtorque.co.za/namibia-implementation-of-integrated-tax-system/)",pay-functionality-revenue,40,https://hrtorque.co.za/namibia-implementation-of-integrated-tax-system/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,4,Yes,2025,Namibia has an operational tax e-portal (ITAS) for filing individual returns online at itas.namra.org.na.[NamRA YouTube (ITAS filing tutorial)](https://www.youtube.com/watch?v=3c8uar5_gEk),pay-functionality-taxportal,41,https://www.youtube.com/watch?v=3c8uar5_gEk,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",2,Yes,2021,"B2B digital payments are supported via EFT credit transfers under NamPay (used for salaries/supplier payments/regular business transfers, per NamPay overview).[NamPay Overview Presentation (PAN)](https://www.pan.org.na/storage/app/media/uploaded-files/NamPay%20Overview%20Presentation.pdf)",pay-functionality-usecaseb2b,34,https://www.pan.org.na/storage/app/media/uploaded-files/NamPay%20Overview%20Presentation.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Cross-Border Payment Functionality,"Whether the instant payment system enables or plans to enable instant payments across national borders to other countries or regional payment systems, supporting remittances, trade, and regional integration.",2,Planned,2024,Cross-border integration to PAPSS appears planned/being pursued; Afreximbank is hoping to integrate Namibia into PAPSS (not yet live).[The Namibian](https://www.namibian.com.na/namibia-can-benefit-from-africa-trade-payment-system/),pay-functionality-usecasecrossborder,35,https://www.namibian.com.na/namibia-can-benefit-from-africa-trade-payment-system/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",2,Limited Use,2026,G2P instant payments are being rolled out but not yet at national scale: IPS/IPP initial use case is Government-to-Person (social grants/pensions) and currently in UAT/pilots for banked beneficiaries.[New Era](https://neweralive.na/namibia-draws-closer-to-instant-government-payments/),pay-functionality-usecaseg2p,32,https://neweralive.na/namibia-draws-closer-to-instant-government-payments/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",2,Yes,2024,"P2B merchant payments exist via wallet/QR acceptance such as PayPulse, which lists merchants accepting QR/WiCode payments.[PayPulse – Where to use PayPulse](https://www.paypulse.na/where-to-use-paypulse/)",pay-functionality-usecasep2b,31,https://www.paypulse.na/where-to-use-paypulse/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",3,Yes - Active Use,2025,P2G payments supported through Namibia Revenue Agency’s Integrated Tax Administration System (ITAS) online portal for filing returns (tax e-services). NamRA directs taxpayers to use itas.namra.org.na to file returns online.[NamRA YouTube (ITAS filing tutorial)](https://www.youtube.com/watch?v=3c8uar5_gEk),pay-functionality-usecasep2g,33,https://www.youtube.com/watch?v=3c8uar5_gEk,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2021,P2P digital transfers exist via NamPay EFT streams and wallet products; NamPay includes enhanced credit transfers and near-real-time credit payments (NRTC) for transferring to beneficiaries at other banks.[Nedbank Namibia – NamPay](https://nedbank.com.na/content/nedbank-namibia/desktop/na/en/aboutus/legal/Nam-Pay.html),pay-functionality-usecasep2p,30,https://nedbank.com.na/content/nedbank-namibia/desktop/na/en/aboutus/legal/Nam-Pay.html,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",2,Partial,2019,Namibia’s Electronic Transactions Act 4 of 2019 includes consumer protection provisions for electronic transactions and requires suppliers to provide secure/transparent payment systems (general e-commerce consumer protections rather than payments-system specific).[ITLawCo – Electronic Transactions Act 4 of 2019](https://itlawco.com/focus-areas/it-law/electronic-transactions-act-4-of-2019-namibia/),pay-governance-consumerprotectlaw,18,https://itlawco.com/focus-areas/it-law/electronic-transactions-act-4-of-2019-namibia/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Public Performance Reporting,"Whether payment system operators or regulators regularly publish performance metrics and statistics on system usage, transaction volumes/values, participant numbers, uptime, and other operational indicators.",2,Ad Hoc,2022,"BoN publishes a dedicated ‘National Payment System – Statistics’ page for payment instrument statistics (public reporting, at least periodic).[Bank of Namibia – NPS Statistics](https://www.bon.com.na/Bank/National-Payment-System/Statistics.aspx)",pay-governance-performancereporting,19,https://www.bon.com.na/Bank/National-Payment-System/Statistics.aspx,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Refugee and Migrant Access,"Whether refugees, asylum seekers, internally displaced persons, migrants, and stateless persons can legally access and open digital payment accounts, and practical barriers or enablers for these populations.",2,Partial,2025,"Refugee access exists at least via humanitarian cash assistance delivered through mobile money: UNHCR cash-based interventions in Namibia were facilitated by MTC Namibia mobile money service for refugees/asylum-seekers (~6,000 individuals in Osire settlement).[UN Namibia (UNHCR article)](https://namibia.un.org/en/289948-cash-based-interventions-provide-ray-hope-refugees-namibia-amid-severe-drought-and-funding",pay-uptake-refugeemigrantaccess,78,https://namibia.un.org/en/289948-cash-based-interventions-provide-ray-hope-refugees-namibia-amid-severe-drought-and-funding,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
