Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Business uptake,What proportion of business properties does the register cover?,0,Unknown or n.a.,,No credible evidence found after searching for quantitative coverage of business properties in Kenya's national addressing database (queries included: NASK coverage businesses; Kenya national address database statistics).,reg-address-business,21,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check confirms Kenya's National Addressing System (NASK) remains at the draft-legislation stage (National Addressing Bill 2025, under parliamentary committee review as of June 2025, and described as 'advancing plans' by government in November 2025), with no operational nationwide address register yet in place. Per the metadata guidance, business-property coverage is scored 0 when no address register exists. No authoritative source quantifying business address coverage was found.",2025,low,"Kenya does not yet have an operational national address register against which business property coverage could be measured; the National Addressing System (NASK) remains at the legislative development stage.",unknown_lightcheck
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found after searching for technical evidence of NASK integration with a national data exchange platform (queries included: NASK interoperability platform API; Kenya data exchange NASK).,reg-address-dpi,24,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check confirms Kenya's National Addressing System (NASK) remains at the draft-legislation stage (National Addressing Bill 2025, before Parliament as of mid-2025), with no operational address register yet to integrate with a national data exchange platform. The draft Bill provides that the future Address Information Database should be interoperable with other government systems, but this has not been implemented. No authoritative source confirming current data-exchange integration was found.",2025,low,"No operational national address register yet exists in Kenya to assess for data-exchange integration; the draft National Addressing Bill provides for future interoperability but implementation has not begun.",unknown_lightcheck
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Household uptake,What proportion of private properties does the register cover?,0,Unknown or n.a.,,No credible evidence found after searching for quantitative coverage of households/properties in Kenya's national addressing database (queries included: NASK coverage households; Kenya addressing system number of addresses).,reg-address-house,22,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check confirms no operational national address register exists in Kenya; the National Addressing System (NASK) remains a draft bill as of 2025. Per the metadata guidance, household coverage is scored 0 in the absence of an address register. No authoritative source quantifying household address coverage was found.",2025,low,"Kenya does not yet have an operational national address register against which household coverage could be measured; the National Addressing System remains at the legislative development stage.",unknown_lightcheck
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Address,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found after searching for integration between NASK/address register and land register (ArdhiSasa) (queries included: NASK integrated with land registry; addressing system ArdhiSasa integration).,reg-address-land,23,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check confirms no operational national address register exists in Kenya to assess integration with the land register; the National Addressing System (NASK) remains a draft bill as of 2025. No authoritative source confirming address-land register integration was found.",2025,low,"No operational national address register yet exists in Kenya, so no integration with the land register can be assessed.",unknown_lightcheck
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Address register integration,Is the register integrated with the address register?,0,Unknown or n.a.,,No credible evidence found after searching for integration between business register and national address register (NASK) (queries included: BRS NASK integration; company registration standardised address database Kenya).,reg-business-address,27,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check confirms the Business Registration Service captures free-text postal and physical addresses at company registration, but no operational national standardised address register (NASK) yet exists in Kenya for the business register to integrate with; NASK remains a draft bill as of 2025. No authoritative source confirming integration between the business register and a standardised address register was found.",2025,low,"The Business Registration Service captures postal and physical address details at registration, but no standardised national address register yet exists in Kenya for it to integrate with.",unknown_lightcheck
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found after searching for business register integration with a national data exchange platform (queries included: BRS interoperability API government data exchange).,reg-business-dpi,29,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Evidence found relates to a distinct sub-register (the beneficial ownership register held by the Business Registration Department), for which Kenya's Open Government Partnership action plan (commitment KE0035) sets a 2026 target for interoperability with other government systems and law enforcement agencies. No evidence was found confirming automated data-exchange integration for the broader Companies Registry/business register itself with a national data exchange platform. Given the mismatch in scope between the sub-register cited and the variable's focus on the business register as a whole, this is flagged for human review rather than scored on a single partial source.",2023,low,,human_review
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Land register integration,Is the register integrated with the land register?,0,Unknown or n.a.,,No credible evidence found after searching for integration between business register and land register (ArdhiSasa) (queries included: BRS ArdhiSasa integration; companies registry land registry interoperability Kenya).,reg-business-land,28,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Light check found no authoritative evidence of technical integration between Kenya's business register (Business Registration Service) and the land register (Ardhisasa) beyond the general use of company identity details to verify company-owned land transactions. No dedicated source describing register-to-register integration was found.",,low,"No authoritative evidence was found of a technical data-exchange link between Kenya's business register and its land register.",unknown_lightcheck
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Business,Uptake,What proportion of businesses does the register cover?,0,Unknown or n.a.,,"No credible evidence found after searching for the proportion of all businesses covered by the business register (formal vs informal), beyond counts of newly registered entities (queries included: Kenya percentage businesses registered formal sector; enterprise survey formalization Kenya).",reg-business-uptake,26,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"Evidence is conflicting depending on the denominator used. World Bank Enterprise Survey data (via indexmundi) show that among surveyed FORMAL firms, 89.6% (2018) to 91% (2013) report having been registered when they started operations — a high figure, but based on a formal-sector-only sample. Separately, Kenya National Bureau of Statistics estimates cited in Enterprise Survey research put the informal sector at 82.7-95% of all businesses/employment, implying that coverage of the TOTAL business population (formal plus informal) by the digital business register would be very low. Because the choice of denominator (all businesses vs formal businesses only) materially changes the answer, this is flagged for human review rather than scored on a single interpretation.",2018,low,,human_review
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Civil,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found after searching for CRVSS/CRVS integration with a national data exchange platform (queries included: Kenya CRVS interoperability data exchange; CRVSS API interoperability).,reg-cr-dpi,13,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",4,"https://id4africa.com/2024/ps1/PS1-2-Kenya-Final.pdf; https://cr.dha.go.ke/","Fetched and read the ID4Africa 2024 Kenya country presentation and the Kenya Client Registry site. These show that civil registration data (births, deaths) feeds into the Maisha Integrated Database (MID), an integrated identity data platform accessible to authorised relying agencies via an Identity and Access Management (IAM) layer, alongside the separate Client Registry, which connects civil registration with NHIF and other government databases via JSON APIs. This is a substantive, authoritative upgrade from Unknown: the civil register is partially integrated into a government data-sharing platform, but the government itself describes the database as still being upgraded to include data from all registration agencies, so full nationwide integration is not yet complete. Score changed from 0 (Unknown) to 4 (Partially integrated).",2024,medium,"Kenya's civil registration data (births and deaths) feeds into the Maisha Integrated Database (MID), which combines national ID, birth and death registration, and foreign national/refugee records within a single interoperable identity platform accessible to authorised government and private relying parties via an Identity and Access Management (IAM) layer. The Kenya Client Registry (health sector) separately connects with civil registration, NHIF and other government databases via JSON APIs. Full nationwide, real-time integration across all civil registration events remains under development, with the government upgrading the database to include data from all registration agencies.",
KEN,Kenya,Registries,"Status of national population, civil, address, land, business, electoral, tax and social protection registers. 44 variables in 8 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Electoral,Data exchange integration,Is the register integrated with the government's national data exchange system?,0,Unknown or n.a.,,No credible evidence found after searching for IEBC register integration with a national data exchange platform (queries included: IEBC interoperability platform; IEBC government data exchange).,reg-elect-dpi,33,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,"https://www.iebc.or.ke/news/?Press_release_-_Collaboration_with_State_Agencies_on_Managing_the_Register_of_Voters=; https://www.capitalfm.co.ke/news/2026/02/iebc-iprs-api-integration-secure-voter-registration/; https://hapakenya.com/2026/04/14/tech-reforms-that-should-be-adopted-by-iebc-ahead-of-2027-elections/","Fetched and read the IEBC's own February 2026 press release plus corroborating Capital FM and HapaKenya reporting. These confirm IEBC does not currently have an automated data-exchange link between the voters' register and other government registers — verification of ID, passport and death records is done via manual collaboration and periodic file exchanges rather than a live API — but IEBC is actively engaging the State Department for Immigration and Citizen Services to build a secure API link to the Integrated Population Registration System (IPRS). This is a substantive, authoritative upgrade from Unknown, changed from 0 to 2 (Planned), since the integration is under active discussion but not yet implemented as of April 2026.",2026,high,"The Independent Electoral and Boundaries Commission (IEBC) does not yet have an automated data-exchange link between the voters' register and other government registers; verification of national ID, passport and death records is currently carried out through manual collaboration and periodic file exchanges with the National Registration Bureau, the Directorate of Immigration Services and Civil Registration Services rather than a live API. As of February 2026, IEBC is in active discussions with the State Department for Immigration and Citizen Services to establish a secure API link with the Integrated Population Registration System (IPRS) for real-time identity validation, but this integration had not been completed as of April 2026.",
