Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",2,Partial,2025,Digital revenue collection initiatives exist; the Government launched a Digital Invoicing System via the Gambia Revenue Authority (GRA) for real-time monitoring of sales data and improved tax reporting/collection.,pay-functionality-revenue,40,https://standard.gm/govt-launches-digital-tax-invoicing-system/,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://standard.gm/govt-launches-digital-tax-invoicing-system/ | https://voiceoutdigital.com/gra-sensitizes-taxpayers-on-new-digital-tax-administration-system-ahead-of-nationwide-rollout/ | https://www.gra.gm/downloads","Confirmed. GRA's Digital Invoicing System (July 2025) supports real-time sales monitoring but is not itself a tax-payment channel; the broader ITAS e-payment module remains in nationwide rollout as of June 2026 (Voice Out Digital, Foroyaa), so only partial digital revenue collection is evidenced. Score unchanged at 2 (Partial)."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,3,Under development,2025,"GRA launched an Integrated Tax Administration System (ITAS) described as a web-based platform intended to take tax administration fully online, including taxpayer registration, filing, and making payments through secure digital channels (evidence from public video transcript).",pay-functionality-taxportal,41,https://www.youtube.com/watch?v=01u3o0nmHIg,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://foroyaa.net/gra-prepares-taxpayers-for-new-digital-tax-system/ | https://www.voicegambia.com/2026/06/17/gra-says-new-itas-will-transform-tax-administration-in-the-gambia/ | https://voiceoutdigital.com/gra-sensitizes-taxpayers-on-new-digital-tax-administration-system-ahead-of-nationwide-rollout/","Confirmed and freshened. Multiple June 2026 reports show GRA's Integrated Tax Administration System (ITAS) is still being sensitised to taxpayers ahead of a 'full nationwide rollout', with e-filing/e-payment not yet live nationally — consistent with Under development. Replaces the single 2025 YouTube clip with three independent 2026 news sources."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",2,Yes,2024,"Gamswitch provides interbank transactions and online fund transfers between commercial banks, enabling business payments between bank accounts (can be used for B2B payments, though not specifically branded as B2B).",pay-functionality-usecaseb2b,34,https://www.gamswitch.com/about-us,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.gamswitch.com/about-us | https://www.cbg.gm/gamswitch | http://www.cbg.gm/real-time-gross-settlements-rtgs-","Confirmed. Gamswitch/RTGS provide interbank transfer infrastructure capable of business-to-business payments, though no source describes a dedicated, explicitly branded B2B product. Score unchanged at 2 (Yes); evidence remains generic rather than B2B-specific."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",2,Limited Use,2021,"Government-to-person payments have been implemented at least for social transfers; the Nafa-Quick emergency cash transfer scheme (COVID response) covered ~83,000 households and used a digital MIS (openIMIS) to manage beneficiary lists and payment processes (article describes digitized management, though disbursement described as cash collection).",pay-functionality-usecaseg2p,32,https://health.bmz.de/stories/openimis-brings-digital-social-benefits-to-the-gambia/,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://dtourisphere.com/nafa-beneficiaries-welcome-second-cash-transfer-cycle/ | https://thepoint.gm/africa/gambia/national-news/new-nafa-beneficiaries-engaged-on-financial-literacy-for-self-sustenance | https://standard.gm/rise-project-boosts-rural-livelihoods-with-nafa-cash-transfers/ | https://mansabanko.gm/building-resilience-world-bank-mission-applauds-gambia-rise-project/","Upgraded on fresher evidence. Since January 2026, the World Bank-funded Nafa/RISE cash-transfer programme disburses bi-monthly grants to 15,000+ rural households cashlessly via the Wave mobile-money platform, with further urban E-money rollout confirmed in June 2026 — superseding the 2021 evidence of cash handouts with only digital record-keeping (openIMIS). This is active, not merely limited, G2P digital payment use."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",2,Yes,2015,"Merchant payments (P2B) are supported via mobile money; Afrimoney supports paying for goods and services using 'Merchant Pay', and paying bills (e.g., NAWEC).",pay-functionality-usecasep2b,31,https://www.africell.gm/afrimoney/,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.africell.gm/afrimoney/ | https://thepoint.gm/africa/gambia/national-news/wave-gambia-gtsc-launch-digital-payment-partnership","Confirmed and corroborated. Afrimoney supports merchant/bill payments, and a second provider, Wave, separately launched a QR merchant-payment partnership with national bus operator GTSC in June 2025, broadening the evidence base beyond a single operator. Score unchanged at 2 (Yes)."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",3,Yes - Active Use,2026,"Person-to-government payments are being digitized for government services: Government of The Gambia partnered with Yonna Wallet so that government fees (rates, business registration, ID cards, passports, and other service fees) can be paid via Yonna Wallet app.",pay-functionality-usecasep2g,33,https://standard.gm/govt-payments-now-digitalised-live-on-yonna-wallet-app/,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://standard.gm/govt-payments-now-digitalised-live-on-yonna-wallet-app/ | https://gm.linkedin.com/company/yonna-forex-bureau-wallet | https://play.google.com/store/apps/details?id=com.yonnaforex.android&hl=en","Confirmed with independent corroboration. Yonna Wallet's 'Gov Pay' feature for government fee payments is corroborated by the operator's own LinkedIn page and Google Play listing (which references a 'Govpay UI' update), in addition to the original Standard report. Score unchanged at 3 (Yes - Active Use)."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2015,Mobile money platforms in Gambia support person-to-person transfers; Africell's Afrimoney offers 'Send and receive money in the Gambia' (P2P) via USSD/app.,pay-functionality-usecasep2p,30,https://www.africell.gm/afrimoney/,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.africell.gm/afrimoney/ | https://www.wave.com/","Confirmed. Afrimoney's published tariff schedule explicitly lists P2P (Afrimoney-to-Afrimoney) transfers, and Wave separately offers wallet-to-wallet transfers in Gambia. Score unchanged at 2 (Yes)."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",3,Yes,2014,"The Consumer Protection Act 2014 provides consumer rights relevant to payments, including ability to request cancellation of credit card payments where fraudulent use is made and requirement that consumers be re-credited, supporting a payments consumer protection framework.",pay-governance-consumerprotectlaw,18,https://gcc.gm/wp-content/uploads/2018/05/GAMBIA-CONSUMER-PROTECTION-ACT-2014.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://www.cbg.gm/downloads-file/b2064e61-f37b-11e9-876c-02e599c15748 | https://gcc.gm/wp-content/uploads/2018/05/GAMBIA-CONSUMER-PROTECTION-ACT-2014.pdf","Confirmed with a stronger, payment-specific source. The Central Bank's Regulation on Retail Transfers (issued under the Electronic Payments System Act 2013) contains a dedicated Section 11 'Consumer Protection' setting disclosure, transaction-notification and liability rules for payment service providers — more directly on-point than the general 2014 Consumer Protection Act originally cited. Score unchanged at 3 (Yes)."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Breach Notification Requirements,"Whether legal or regulatory requirements obligate payment service providers to notify users, regulators, and/or data protection authorities about payment data breaches, cybersecurity incidents, or unauthorized access within specified timeframes.",3,Mandatory,2025,"The Personal Data Protection and Privacy Act, 2025 includes mandatory breach notification: controllers must notify the Commission within 72 hours of becoming aware of a breach and notify affected data subjects without undue delay where high risk exists.",pay-governance-databreachnotif,17,https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025 | https://www.consentstack.io/regulations/gm-pdpp | https://anuragverma.co/worldwatch/gambia/cybersecurity","Strongly confirmed by three independent legal-tracker sources: the Personal Data Protection and Privacy Act 2025 (assented 7 November 2025) requires notification to the Information Commission within 72 hours and to affected data subjects without undue delay for high-risk breaches, with criminal penalties for concealment. Score unchanged at 3 (Mandatory)."
GMB,Gambia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Privacy Legislation Coverage,"Whether national data protection or privacy legislation exists and explicitly covers payment transaction data, including provisions on data collection, storage, sharing, retention, and user rights over their payment data.",2,General Data Protection Legislation,2025,"The Gambia enacted the Personal Data Protection and Privacy Act, 2025, establishing a general framework for personal data protection (broad applicability to controllers/processors).",pay-governance-dataprivacylaw,16,https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025,1,Medium,single_source,Only one source for a substantive score — corroborate.,2,"https://www.techhiveadvisory.africa/insights/review-of-gambias-personal-data-protection-and-privacy-act-2025 | https://www.consentstack.io/regulations/gm-pdpp | https://www.dataguidance.com/jurisdictions/the-gambia","Confirmed. The Personal Data Protection and Privacy Act 2025 is a general, GDPR-influenced framework; no payment-transaction-specific provisions were identified in any source reviewed. Score unchanged at 2 (General Data Protection Legislation)."
