Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",0,Unknown or n.a.,,Value=0 (unknown) because I did not find credible evidence of government revenue collection (taxes/fees) being collected through digital payments rails (national switch/mobile money) in Comoros.,pay-functionality-revenue,40,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,0,Unknown or n.a.,,"Value=0 (unknown) because I did not find a Comoros tax e-filing / online tax payment portal in official sources during this run (searched for “Comoros tax portal”, “e-filing Comoros”, “Direction générale des impôts Comores portail”).",pay-functionality-taxportal,41,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",0,Unknown or n.a.,,"Value=0 (unknown) because I did not find credible evidence of a widely used B2B digital payments use case in Comoros tied to the national switch/ATS+/mobile money (e.g., supplier payments via instant payments, bulk corporate payments), beyond generic statements.",pay-functionality-usecaseb2b,34,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",0,Unknown or n.a.,,"Value=0 (unknown) because I did not find credible evidence that Comoros government is actively disbursing benefits/salaries/social transfers to individuals via digital payments/mobile money rails (G2P). The World Bank Social Safety Net press release mentions developing an electronic payment system, but not confirmed active use.",pay-functionality-usecaseg2p,32,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",0,Unknown or n.a.,,"Value=0 (unknown) because while PayLogic’s National Payment Switch announcement mentions benefits for “businesses and merchants” and interoperable transactions, I did not find a specific official source describing merchant acceptance/P2B payment functionality actually in use (e.g., QR merchant payments, merchant acquiring) in Comoros for the national switch or mobile money (beyond app-store descriptions).",pay-functionality-usecasep2b,31,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",0,Unknown or n.a.,,"Value=0 (unknown) because I did not find credible evidence of active person-to-government digital payment use cases in Comoros (e.g., digital tax/fee payments via portal, mobile money payments to government).",pay-functionality-usecasep2g,33,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",0,Unknown or n.a.,,"Value=0 (unknown) because I did not find an official Comoros central bank/financial regulator consumer protection regulation or law specifically governing payment services (e.g., e-money consumer protection, dispute resolution, disclosure) beyond references that consumer protection is an objective of oversight and that Regulation 001/2017 includes “consumer protection issues”; I could not locate the text of Regulation 001/2017 or a dedicated consumer protection framework for payments in credible primary sources during this run.",pay-governance-consumerprotectlaw,18,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Public Performance Reporting,"Whether payment system operators or regulators regularly publish performance metrics and statistics on system usage, transaction volumes/values, participant numbers, uptime, and other operational indicators.",0,Unknown or n.a.,,"Value=0 (unknown) because I did not find an official BCC public dashboard or periodic publication (monthly/quarterly/annual) of payment system performance statistics (e.g., switch/ATS+ volumes, uptime, fraud, disputes). I only found historical SYCOCO check clearing volumes within a 2020 World Bank report, which is not an ongoing public performance reporting mechanism.",pay-governance-performancereporting,19,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Scheme Rules Publicly Available,"Whether the scheme rules governing payment system participation, pricing structure, technical requirements, security standards, and conduct are publicly accessible via website, public repository, or on request. Transparency indicator.",0,Unknown or n.a.,,"Value=0 (unknown) because I searched for publicly available scheme rules/rulebooks for Comoros’ National Payment Switch, ATS+, or any instant payment scheme documentation (queries: “Comoros payment rulebook”, “National Payment Switch documentation”, “PayLogic Comoros scheme rules”, and BCC website references) but did not find an official publicly accessible rulebook/operating rules document.",pay-governance-schemerulesavail,15,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
COM,Comoros,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Active Digital Payment Users,"Percentage of the adult population (15+ years) who have made at least one digital payment transaction through the instant payment system in the past 90 days, indicating active usage rather than just account ownership.",0,Unknown or n.a.,,"Value=0 (unknown) because I did not find a credible, quantitative indicator for the share of adults using digital payments in Comoros (e.g., Global Findex digital payments indicator, GSMA mobile money active accounts for Comoros) during this run.",pay-uptake-activeusers,42,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,
