Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",2,Partial,2020,"Revenue collection via digital channels is supported through tax system modernization: Algeria's Directorate-General of Taxes modernization includes online tax filing and online payment via the ""Moussahama'tic"" portal, enabling government revenue collection digitally (at least for registered users).",pay-functionality-revenue,40,https://www.britacom.org/zt/BRPolicies/Algeria/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://mfdgi.gov.dz/moussahamaticfr/; https://mfdgi.gov.dz/portailpublic/; https://www.britacom.org/zt/BRPolicies/Algeria/","Confirmed. Algeria's DGI operates the Jibaya'tic and Moussahama'tic e-portals, enabling online declaration and payment (by CIB/EDAHABIA card) of several tax types (VAT/G50, G12, Taxe de Domiciliation Bancaire) since 2021. Enrolment is voluntary and customs duties are handled separately, so ""Partial"" (2) remains the correct code."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax Portal,Whether an official government web portal or mobile application exists where taxpayers can file tax returns and pay taxes online with direct e-payment capability linked to instant payment system.,4,Yes,2020,"A tax e-services portal enabling declaration and online payment is referenced (Moussahama'tic/Jibaya'tic e-services with online declaration and payment links), indicating an operational tax portal.",pay-functionality-taxportal,41,https://www.britacom.org/zt/BRPolicies/Algeria/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://mfdgi.gov.dz/moussahamaticfr/; https://mfdgi.gov.dz/portailpublic/; https://bawabatic.dz/?req=informations&op=detail&id=472&lang=en","Confirmed. Jibaya'tic (jibayatic.mfdgi.gov.dz) and Moussahama'tic (moussahamatic.mfdgi.gov.dz) are live, official DGI portals for teledeclaration and online tax payment, and are also listed on the government's own bawabatic.dz e-services directory. ""Yes"" (4) confirmed."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",2,Yes,2024,"Business-to-business (B2B) digital transactions exist but appear limited: AfricaNenda SIIPS 2024 consumer research states ""Most P2B and B2B transactions remain in cash,"" implying B2B digital payments are possible but not dominant.",pay-functionality-usecaseb2b,34,https://www.africanenda.org/uploads/files/SIIPS2024_Consumer_Research_Algeria.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,https://www.africanenda.org/uploads/files/SIIPS2024_Consumer_Research_Algeria.pdf,"Evidence remains thin. The only source found (SIIPS 2024) states most B2B payments are still cash-based, implying only limited digital B2B capability. No source confirms B2B use specifically via DZ Mob Pay or the interbank switch. Code kept at 2 (Yes) as basic bank-transfer capability plausibly exists, but this rests on a single weak source — recommend human review."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Cross-Border Payment Functionality,"Whether the instant payment system enables or plans to enable instant payments across national borders to other countries or regional payment systems, supporting remittances, trade, and regional integration.",3,Under development,2025,"Cross-border payment linkage is developing: the Bank of Algeria officially joined the Pan-African Payment and Settlement System (PAPSS) network (Aug 2025), enabling intra-African cross-border payments/settlement in local currencies through PAPSS (implementation/adoption by banks may still be ramping).",pay-functionality-usecasecrossborder,35,https://www.afreximbank.com/bank-of-algeria-joins-papss-network-accelerating-financial-integration-in-africa-as-algeria-prepares-to-host-iatf-2025/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://algeriatech.news/algeria-papss-bank-of-algeria-cross-border-intra-africa-trade-opportunity-2026/; https://papss.com/wp-content/uploads/2026/06/PAPSS-PAYMENTS-NETWORK-COVERAGE_JUNE2026-5.pdf; https://www.afreximbank.com/bank-of-algeria-joins-papss-network-accelerating-financial-integration-in-africa-as-algeria-prepares-to-host-iatf-2025/","Updated. Bank of Algeria formally joined PAPSS in August 2025 as an 18th country of presence/settlement participant; PAPSS's own June 2026 network coverage map lists Algeria as live, and 2026 analysis confirms settlement-level corridors are operational while individual commercial banks (BNA, BEA, BADR named as most advanced) complete connectivity through 2026. This is beyond ""under development"" but not yet fully functional across all banks — revised to 4 (Partially functional)."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",2,Limited Use,2024,"Evidence indicates G2P via accounts in limited scope: AfricaNenda SIIPS 2024 consumer research notes that ""students receive university scholarships via bank accounts,"" which drives digital payment usage, indicating at least a limited/segment G2P digitization use case.",pay-functionality-usecaseg2p,32,https://www.africanenda.org/uploads/files/SIIPS2024_Consumer_Research_Algeria.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.africanenda.org/uploads/files/SIIPS2024_Consumer_Research_Algeria.pdf; https://algeriatech.news/algeria-aadl3-egovernment-payment-cascade-digitization-2026/; https://www.dzair-tube.dz/en/algeria-launches-pilot-digital-services-platform-for-national-solidarity-sector/","Confirmed. 2026 reporting states Algeria's social protection system (pensions, family allowances, stipends) ""still largely relies on cash distribution through post offices,"" and the National Solidarity sector's digital benefits portal was only in a two-municipality pilot as of March 2026. Scattered digitisation exists (scholarships, a pension-status verification app) but G2P remains ""Limited Use"" (2), not active/systemic."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Business (P2B) Merchant Payments,"Whether the system enables consumer payments to merchants and businesses for goods and services, including retail purchases, bill payments, e-commerce, and subscription services.",2,Yes,2024,Merchant (P2B) payments are supported via QR code mobile payments: “DZ MOB PAY” is described as enabling payments by scanning QR codes for merchants.,pay-functionality-usecasep2b,31,https://al24news.dz/en/algeria-set-to-launch-mobile-payment-system-dz-mob-pay-in-january-2025/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://algeriatech.news/dz-mob-pay-epayment-939-billion-dinars-algeria-2026/; https://algerie-eco.com/2025/10/16/paiement-mobile-plus-de-70-000-utilisateurs-du-systeme-de-paiement-dz-mob-pay/; https://al24news.dz/en/algeria-set-to-launch-mobile-payment-system-dz-mob-pay-in-january-2025/","Confirmed and updated with fresher data. DZ Mob Pay (launched January 2025, operated by GIE Monétique) enables QR-code merchant payments; by end-2025 it had 14,283 merchant accounts and processed 12,682 QR transactions. Merchant coverage is thin (c.1% of Algeria's ~1.2 million declared merchants) but the P2B use case is confirmed operational — ""Yes"" (2) confirmed."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",2,Limited Use,2020,"Person-to-government (P2G) digital payments are part of the national strategy and e-services: a description of Algeria's tax modernization notes online filing and online payment of taxes via the “Moussahama'tic” portal (tax authority), which implies taxpayers can pay government taxes digitally.",pay-functionality-usecasep2g,33,https://www.britacom.org/zt/BRPolicies/Algeria/,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://algeriatech.news/algeria-aadl3-egovernment-payment-cascade-digitization-2026/; https://www.aps.dz/fr/economie/banque-et-finances/mls14cqm-l-e-paiement-en-algerie-poursuit-son-envol-en-2025-propulse-par-les-services-publics; https://mfdgi.gov.dz/portailpublic/","Upgraded. The AADL3 social-housing programme made electronic payment (Edahabia/CIB) mandatory with no cash alternative, generating 3.6 million transactions worth 65.27 billion DZD in December 2025 alone; Algeria's state news agency (APS) attributes the 46% surge in 2025 e-payments largely to public administrations' adoption of digital collection, alongside the established Jibaya'tic/Moussahama'tic tax e-payment portals. This is active, high-volume use, not merely limited use — revised to 3 (Yes – Active Use)."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2024,"Mobile payments in Algeria include P2P transfers: the “DZ MOB PAY” system is described as enabling citizens to “transfer money via smartphones,” implying P2P functionality in the national mobile payments scheme.",pay-functionality-usecasep2p,30,https://al24news.dz/en/algeria-set-to-launch-mobile-payment-system-dz-mob-pay-in-january-2025/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://algerie-eco.com/2026/02/18/algerie-le-montant-des-paiements-electroniques-sest-eleve-a-939-milliards-de-dinars-en-2025-46/; https://al24news.dz/en/algeria-set-to-launch-mobile-payment-system-dz-mob-pay-in-january-2025/","Confirmed. GIE Monétique's 2025 activity bilan records 44,369 P2P transfers via DZ Mob Pay in its first year, plus a broader 31% rise in mobile P2P transfer value (647.4bn DZD) across interbank mobile channels — ""Yes"" (2) confirmed with primary operator data."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Central Bank Involvement in Governance,"Whether and how the central bank participates in payment system governance beyond its regulatory oversight role, including board representation, operational management, technical standard-setting, or direct system operation.",2,Regulatory Only,2023,"The Bank of Algeria states it “monitors and ensures the proper functioning, efficiency and security of payment systems” and that rules applicable to payment systems are issued via regulations of the “Conseil de la Monnaie et du Crédit” (Monetary and Credit Council), indicating a regulatory/supervisory role rather than direct operation of the retail payment switch.",pay-governance-cbgovernance,13,https://www.bank-of-algeria.dz/role-et-mission/,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.giemonetique.dz/qui-sommes-nous/organes-statuaires/; https://giemonetique.dz/uploads/download_file/rapport_activite_2020.pdf; https://www.bank-of-algeria.dz/systemes-paiement/","Upgraded. GIE Monétique's own governance page confirms the Bank of Algeria holds a designated seat on both the Conseil de Direction (governing board) and the Comité Opérationnel of the national payment-scheme operator — not merely a regulatory role. The 2020 activity report names the Bank of Algeria's Director-General for Payment Systems and Instruments as a Conseil de Direction member. Revised from ""Regulatory Only"" (2) to ""Board Representation"" (4)."
DZA,Algeria,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",2,Partial,2018,"Algeria has a legal framework for consumer protection in electronic commerce (including online contracting), via E-Commerce Law No. 18-05 dated 10 May 2018 (law discussed as providing mechanisms to protect the electronic consumer).",pay-governance-consumerprotectlaw,18,https://ojs.journalsdg.org/jlss/article/view/4261,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://algerie-eco.com/2025/08/19/la-banque-dalgerie-publie-linstruction-sur-les-prestataires-de-services-de-paiement/; https://algeriatech.news/algeria-psp-regulation-instruction-06-2025-fintech-licensing/; https://lavoiedalgerie.dz/la-banque-dalgerie-renforce-lencadrement-des-prestataires-de-services-de-paiement/2025/20/00/","Upgraded. Bank of Algeria Instruction n°06-2025 (17 August 2025) introduces dedicated payment consumer protection rules beyond the general E-Commerce Law 18-05 previously cited: mandatory segregated escrow accounts for customer funds, bank guarantee/professional indemnity insurance, mandatory strong customer authentication, free access to balance/transaction history, and transaction receipts. This is dedicated, payment-specific consumer protection — revised from ""Partial"" (2) to ""Yes"" (3)."
