Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",3, Under development,2019,Business Process System is shown in the 2019 ID4Africa architecture diagram as a system connected to the NPRS/NamX framework. Actual scope of business registration data exchange not fully confirmed.,exchange-func-business,35,https://www.id4africa.com/2019_event/presentations/InF9/InF9-3-Melanie-Tjijenda-Namibia-Final.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",2, Planned,2025,"Digital curriculum for schools is in NDP6 plans, but no evidence of learner records or credentials integration into Nam-X data exchange.",exchange-func-education,29,https://neweralive.na/opinion-ict-vs-it-in-namibias-digital-transformation/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",3, Under development,2019,ID4Africa 2019 presentation by Namibia explicitly shows Electoral System as an external system connected to the NPRS via NamX interoperability framework architecture diagram.,exchange-func-electoral,25,https://www.id4africa.com/2019_event/presentations/InF9/InF9-3-Melanie-Tjijenda-Namibia-Final.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Passport & Immigration Integration,Integration of passport issuance and immigration control data into the exchange platform,4, Partially integrated,2024,Namibia has an Integrated Border Management System with biometric face scans and fingerprints checked against central databases. Biometric Database and NPRS integration documented. E-passport with chip (2018) is part of the identity ecosystem.,exchange-func-passport,26,https://www.apc.org/en/news/namibia-navigates-biometric-data-privacy-pending-civil-registration-bill,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Payments Integration,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",2, Planned,2025,"National Payment System Vision and Strategy (2021-2025) exists and Electronic Transactions Act 4 of 2019 is in place, but no documented evidence of payments integration into the Nam-X data exchange layer specifically.",exchange-func-payments,23,https://www.ictsummit.gov.na/presentations/day_1/DIGITAL-STRATEGY-PRESENTATION-ICT-SUMMIT.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",3, Under development,2021,"In 2021, Cybernetica worked with OPM and Namibian Statistics Agency on an SDG monitoring project to improve data exchange within Namibia. This project focused on connecting NSA to Nam-X for better SDG/statistics data sharing.",exchange-func-planning,33,https://cyber.ee/resources/case-studies/namibia/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,2, Planned,2025,"Online tax systems are mentioned in NDP6 planning documents as a target, but no clear evidence of actual integration of tax/revenue systems into Nam-X at this time.",exchange-func-revenue,24,https://neweralive.na/opinion-ict-vs-it-in-namibias-digital-transformation/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",3, Under development,2019,"Social Protection Systems are shown in the 2019 ID4Africa architecture diagram as connected to the NPRS/NamX interoperability framework. However, scope of actual integration is not fully documented.",exchange-func-socialprotection,30,https://www.id4africa.com/2019_event/presentations/InF9/InF9-3-Melanie-Tjijenda-Namibia-Final.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Universal Accessibility,"Extent to which the data exchange enables services accessible to all population groups including persons with disabilities, elderly, low literacy",2, Partial accessibility,2025,"National Digital Strategy references need to bridge digital divide. Urban-rural gap acknowledged. Digital First Services for All strategy mentions accessibility targets, but 43% online service score in 2022 UN EGDI indicates significant gaps.",exchange-uptake-accessibility,46,https://www.linkedin.com/pulse/namibias-information-technology-landscape-case-pascal-haingura-eyggf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Data Sovereignty Provisions,Provisions ensuring national control over government data and protecting against unauthorized foreign access,3, Strong yet unenforced controls,2024,National Digital Strategy includes Government Data Centre and Cloud Plan (SO4 Pillar 3) to ensure critical infrastructure is secure. Draft Data Protection Bill pending. The Civil Registration and Identification Bill includes data protection principles. Government data sovereignty focus noted but enforcement not yet fully established.,exchange-uptake-sovereignty,64,https://www.ictsummit.gov.na/presentations/day_1/DIGITAL-STRATEGY-PRESENTATION-ICT-SUMMIT.pdf;https://www.apc.org/en/news/namibia-navigates-biometric-data-privacy-pending-civil-registration-bill,2,Medium,review_comment_vs_code,Comment wording may not match the score — re-read (needs judgement).,,,
NAM,Namibia,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Sub-National Participation,Extent to which provincial/state and local governments participate in the data exchange,2, Planned,2024,"Nam-X is a national-level platform managed from the Office of Prime Minister. POPs (Points of Presence) were implemented in regions for decentralized access to GRN services, but evidence of full regional government participation in the data exchange is limited. Planning for subnational expansion is noted.",exchange-uptake-subnational,45,https://www.id4africa.com/2019_event/presentations/InF9/InF9-3-Melanie-Tjijenda-Namibia-Final.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
