Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,4G/LTE Population Coverage,"Percentage of the national population covered by at least one 4G/LTE mobile network signal, whether or not they subscribe to the service. 4G is the practical minimum for meaningful broadband connectivity enabling digital services.",0,Unknown or n.a.,,No data,ict-connectivity-4gcoverage,9,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",2,"https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/wp-content/uploads/2022/06/CoNUA_WhiteNile_R_Web.pdf; https://www.etcluster.org/country/sudan","Light check surfaced an authoritative GSMA source, so this row was promoted from the fast path to full verification. GSMA Mobile for Development data (2022) put Sudan's 4G population coverage at approximately 49% (3G coverage 70%). The ETC Cluster country profile (updated 2026) confirms 3G coverage at 68% but does not give a 4G figure. Armed conflict since April 2023 has caused extensive, well-documented damage to telecoms towers and data centres (including RSF seizure of carrier data centres in Khartoum and repeated nationwide blackouts), so the pre-conflict 2022 figure likely overstates current coverage. No post-conflict 4G-specific estimate could be located. Recalculated from 0/Unknown to 2 (25-49%) but flagged for human review given the likely material change since the source date.",2022,low,"GSMA Mobile for Development data recorded 4G population coverage in Sudan at approximately 49% in 2022, with 3G coverage at 70%. Ongoing armed conflict since April 2023 has caused extensive damage to mobile network infrastructure, including destroyed towers, seized carrier data centres and prolonged nationwide blackouts, meaning current 4G coverage is likely materially lower than this estimate. No post-conflict, 4G-specific coverage figure is publicly available.",human_review
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Data Affordability,"Affordability of mobile broadband data, measured as the cost of a basic mobile data plan (1-2GB) as a percentage of GNI per capita. The UN Broadband Commission target is below 2% of monthly GNI per capita. Affordability is the single largest barrier to internet adoption in Africa.",0,Unknown or n.a.,,No specific data found,ict-connectivity-dataafford,11,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative, Sudan-specific source found on a light check. ITU maintains a Data-only Mobile Broadband Basket time series that in principle covers Sudan, but the specific value could not be retrieved via a quick check; ITU's 2024 regional report gives only Africa-wide and income-group averages (3-7% of GNI per capita), not a Sudan figure.",,low,"No reliable, country-specific figure on the cost of mobile data as a share of GNI per capita could be identified for Sudan from available sources.",unknown_lightcheck
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Smartphone Adoption,"Percentage of mobile connections using smartphones (as opposed to feature phones or basic phones). Smartphones are the minimum device requirement for accessing most digital public infrastructure services, apps, and mobile internet.",0,Unknown or n.a.,,No data,ict-connectivity-smartphonepen,8,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",,,"No authoritative, Sudan-specific source found on a light check. GSMA's Africa smartphone adoption report and Mobile Economy MENA report give only regional averages; DataReportal's Digital 2026 Sudan report reports that 73.3% of mobile connections are 3G/4G/5G ('broadband'), which is not equivalent to smartphone adoption.",,low,"No reliable, country-specific figure on smartphone adoption (as a share of mobile connections) could be identified for Sudan from available industry sources.",unknown_lightcheck
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Localisation Requirements,"Whether the country has enacted legal or regulatory requirements mandating that certain categories of data (personal data, government data, financial data, or critical infrastructure data) be stored within national borders. Central to data sovereignty debates in Africa.",0,Unknown or n.a.,,No legislation,ict-storage-datalocalisation,16,https://dataprotection.africa/sudan/,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://dataprotection.africa/sudan/; https://anuragverma.co/worldwatch/sudan/data-privacy","The cited source was fetched and confirms 'NO DATA PROTECTION LAW' in Sudan (page last updated 24 May 2022) — this is evidence of an established fact (no requirements), not an unknown, so the original 0/Unknown score did not match its own cited source. No data-localisation or residency provision was found in the Electronic Transactions Act 2007 or the Cybercrime (Information Technology Crime) Act 2007, nor in the unenacted c.2018 draft Data Protection Bill. Recalculated from 0 to 1 (No data localisation requirements).",2022,medium,"Sudan has no legal or regulatory requirement mandating that personal, government, financial, or other categories of data be stored within national borders. The country lacks a comprehensive data protection law; its closest relevant instruments, the Electronic Transactions Act 2007 and the Cybercrime (Information Technology Crime) Act 2007, address electronic signatures and cyber offences but contain no data-residency or localisation provisions. A draft Data Protection Bill circulated around 2018 was never enacted.",
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Data Protection Legislation,Whether the country has enacted comprehensive data protection and privacy legislation. A foundational legal requirement for building trust in digital public infrastructure and for enabling secure cross-border data flows under frameworks like the AU Convention on Cyber Security and Personal Data Protection.,0,Unknown or n.a.,,No legislation,ict-storage-dataprotection,17,https://dataprotection.africa/sudan/,1,Low,no_year,No data year recorded — provenance/recency unknown.,2,"https://dataprotection.africa/sudan/; https://anuragverma.co/worldwatch/sudan/data-privacy; https://globalvoices.org/2019/11/05/the-right-to-privacy-in-sudan-a-call-to-enact-a-data-protection-act/","Original score of 0/Unknown recalculated using the cited source plus corroborating trackers. Sudan has no comprehensive data protection statute. Data Protection Africa (updated 2022) and an independent legal tracker report a draft Data Protection Bill (circa 2018) that was never passed, alongside partial, data-adjacent provisions in the Electronic Transactions Act 2007 and the Cybercrime Act 2007 (amended 2020). No dedicated Data Protection Authority exists. This is not 'no legislation' at all (a sectoral/draft framework does exist) nor Unknown; recalculated to 2 (Draft legislation or partial provisions in other laws).",2022,medium,"Sudan has not enacted comprehensive data protection legislation. A draft Data Protection Bill was proposed around 2018 but has never been passed into law, and no independent data protection authority has been established. Personal data is addressed only indirectly, through a constitutional privacy guarantee (Article 54 of the 2019 Constitutional Charter) and sectoral provisions in the Electronic Transactions Act 2007 and the Cybercrime (Information Technology Crime) Act 2007, as amended in 2020, which regulate electronic signatures and cyber offences rather than establishing core data-protection principles such as lawful basis, data-subject rights or breach notification.",
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",0,Unknown or n.a.,,None found,ict-storage-dcpresence,14,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://sudani.sd/en/sdc/; https://colo.exchange/locations/sd; https://www.dabangasudan.org/en/all-news/article/communications-blackout-continues-in-large-parts-of-sudan","Light check surfaced clear evidence contradicting the 0/Unknown score, so promoted to full verification. Sudatel Telecom Group operates the Sudatel Data Center (SDC), a self-described Tier IV colocation facility opened in 2015 in Khartoum (14,000 sqm). Aggregator colo.exchange lists three colocation facilities operated by two providers (Sudatel, CANARTEL) in Sudan. However, the Tier IV rating is self-reported, not third-party certified, and reporting since the April 2023 conflict shows the RSF has seized/controlled the main telecom data centres in Khartoum, with repeated total network blackouts (e.g. February 2024) affecting Sudatel and MTN. Current operational status of SDC specifically could not be confirmed. Recalculated conservatively from 0 to 3 (at least one Tier III facility) rather than the higher tier implied by self-reported marketing claims, and flagged for human review given material uncertainty from the conflict.",2024,low,"Sudan has at least one commercial colocation facility, the Sudatel Data Center in Khartoum, opened in 2015 and described by its operator as a Tier IV facility, alongside additional colocation capacity from CANARTEL. The sector remains small, with only two established providers. Ongoing armed conflict since April 2023 has caused repeated seizures and shutdowns of telecommunications data centres in Khartoum, so the current operational status of commercial data centre capacity is uncertain.",human_review
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Affordability,"Affordability of electricity for residential and small business consumers, measured as cost of electricity relative to income levels. High electricity costs are a direct barrier to ICT adoption and data center viability.",0,Unknown or n.a.,,No data,ict-energy-affordability,5,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",0,"https://www.globalpetrolprices.com/Sudan/electricity_prices/; https://www.macrotrends.net/global-metrics/countries/sdn/sudan/gni-per-capita","Light check surfaced retail electricity price data (GlobalPetrolPrices, December 2025: USD 0.044/kWh residential) and GNI per capita (Macrotrends/World Bank: USD 710, 2024), but no authoritative source computes electricity cost as a percentage of household income for Sudan specifically. Illustrative calculations using plausible basic monthly consumption (50-100 kWh) place the cost at roughly 4-7% of monthly GNI per capita, straddling the Moderate/Expensive bands, but Sudan's currency has experienced severe depreciation and hyperinflation amid the ongoing conflict, making any calculation highly assumption-sensitive and unreliable as a basis for a scale code. Left at 0/Unknown rather than guessed, and flagged for human review with the raw price evidence recorded for reference.",2025,low,"Residential electricity in Sudan was priced at approximately USD 0.044 per kWh as of December 2025. No authoritative assessment expressing this cost as a share of household income is available, and the economy has experienced severe disruption and currency instability amid the ongoing conflict, making affordability difficult to benchmark reliably.",human_review
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Off-Grid and Distributed Energy Policy,"Whether the country has established policies, regulations, and programmes supporting off-grid and distributed energy solutions (mini-grids, solar home systems). These are critical for extending ICT infrastructure to unserved areas beyond the central grid.",0,Unknown or n.a.,,No data,ict-energy-offgridpolicy,6,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",3,"https://rise.esmap.org/country/sudan; https://www.undp.org/sudan/projects/promoting-solar-mini-grids-clean-and-reliable-energy-sudan; https://documents1.worldbank.org/curated/en/099080525114035592/pdf/P171810-2a0fc17d-cdec-4a5d-af06-8c0e417f49ea.pdf","Light check surfaced authoritative evidence, so promoted to full verification. The World Bank/ESMAP RISE (Regulatory Indicators for Sustainable Energy) database scores Sudan's mini-grid regulatory framework at 61/100 and its off-grid systems framework at 56/100, indicating a moderately developed policy environment. UNDP supports a solar mini-grid programme, and a 2025 World Bank rapid market assessment describes an active, if conflict-constrained, off-grid solar market driven mainly by agricultural demand, with providers piloting leasing and pay-as-you-go financing. This evidences an active policy framework with real, if limited, deployment. Recalculated from 0/Unknown to 3 (Active policy with some deployment).",2025,medium,"Sudan has an active regulatory framework supporting off-grid and distributed energy, scored by the World Bank/ESMAP RISE index at 61/100 for mini-grids and 56/100 for off-grid systems. UNDP supports a dedicated solar mini-grid programme aimed at improving private-sector participation, and a nascent but active off-grid solar market has developed, driven primarily by agricultural demand, with providers experimenting with leasing and pay-as-you-go financing to improve affordability. Deployment has been constrained, though not halted, by the armed conflict since 2023.",
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Grid Reliability (Power Outage Frequency),"Frequency and severity of power outages experienced by businesses and households. Based on World Bank Enterprise Surveys, Afrobarometer, or national utility data. Reflects the quality of electricity supply beyond mere access — critical for running ICT equipment and data infrastructure.",0,Unknown or n.a.,,No data,ict-energy-reliability,3,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",1,"https://documents1.worldbank.org/curated/en/099080525114035592/pdf/P171810-2a0fc17d-cdec-4a5d-af06-8c0e417f49ea.pdf; https://www.dabangasudan.org/en/all-news/article/communications-blackout-continues-in-large-parts-of-sudan","Light check surfaced authoritative evidence, so promoted to full verification. A 2025 World Bank market assessment reports that large portions of Sudan's thermal generation and grid infrastructure, particularly transformers, have been destroyed, stolen, or left non-operational due to the conflict, causing frequent load shedding, unstable supply and, in many areas, complete absence of grid electricity; diesel generator costs of ~USD 0.45/kWh compare with ~USD 0.02/kWh for the (largely unavailable) grid power. Older World Bank Enterprise Survey data (2014, pre-conflict) is now out of date given this deterioration. Recalculated from 0/Unknown to 1 (Severe).",2025,high,"Grid electricity supply in Sudan is severely disrupted. Large parts of the national grid infrastructure, including transformers and thermal generation capacity, have been destroyed, stolen, or rendered non-operational amid the ongoing armed conflict, resulting in frequent load shedding and, in many regions, a complete absence of grid electricity. Many businesses and households rely on diesel generators, at roughly twenty times the cost per kWh of grid power, to compensate.",
SDN,Sudan,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Renewable Energy Share of Generation,"Percentage of total electricity generation from renewable sources (hydro, solar, wind, geothermal, biomass). Indicates energy sustainability and potential for distributed power solutions relevant to ICT infrastructure in off-grid areas.",0,Unknown or n.a.,,No data,ict-energy-renewableshare,4,,0,Low,unknown_no_source;no_year,"Scored 0/Unknown with no source — confirm it is truly unknown, not just unresearched. No data year recorded — provenance/recency unknown.",4,"https://data.worldbank.org/indicator/EG.ELC.RNEW.ZS; https://statisticsoftheworld.com/country/sudan/EG.ELC.RNEW.ZS","Light check surfaced authoritative World Bank World Development Indicators data (series EG.ELC.RNEW.ZS), so promoted to full verification. Sudan's renewable electricity output, chiefly hydropower, was 58.0% of total electricity generation in 2021, the most recent year available in this series, down from 65.3% in 2020. No more recent World Bank/IRENA figure was located; given the conflict's impact on the grid since 2023, the current-year generation mix may differ, but hydropower's structural dominance (e.g. Merowe Dam) likely keeps the renewable share broadly similar. Recalculated from 0/Unknown to 4 (50-74%).",2021,medium,"Renewable sources, primarily hydropower generated at facilities such as the Merowe Dam, accounted for approximately 58% of Sudan's total electricity output in 2021, according to World Bank data. This share has fluctuated considerably over the past decade, ranging from around 27% to over 80%, reflecting variation in hydropower output relative to thermal generation.",
