Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",3, Under development,2025,"Department of Agriculture, Land Reform and Rural Development (DALRRD) has digital systems including AgriHub and farmer registration databases. National Integrated Spatial Planning portal exists. However, integration with a central national data exchange is not explicitly documented. Classified as under development based on general roadmap inclusion.",exchange-func-agriculture,31,https://www.stateofthenation.gov.za/assets/downloads/South_Africa_Roadmap_for_the_Digital_Transformation.pdf;https://www.dalrrd.gov.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",4, Partially integrated,2025,CIPC (Companies and Intellectual Property Commission) offers fully digital company registration. SARS digital integration with registered businesses is well-established. e-Procurement portal (eTender) operational. CIPC-SARS data sharing for tax compliance is documented. Government plans single business registration window via digital transformation roadmap.,exchange-func-business,35,https://afripoli.org/what-african-countries-can-learn;https://www.cipc.co.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",4, Partially integrated,2025,"DHA manages civil registration (births, deaths, marriages) via integrated biometric Smart ID system. IDEMIA biometric enrollment links CRVS to digital ID. DHA-SARS data sharing agreement (formalised April 2025 multiparty deal) enables cross-verification of civil registration records. Birth registration is linked to the national ID system.",exchange-func-crvs,22,https://www.biometricupdate.com/202504/south-african-agencies-sign-multiparty-digital-id-deal;https://idtechwire.com/south-africa-plans-major-expansion-of-smart-id-program-for-2025/,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,4, Partially integrated,2025,Smart ID expansion underway with 3.6 million target for 2025 (IDEMIA 10-year contract for 80M smart cards). SARS-DHA-BMA-GPW multiparty digital ID deal signed April 2025 enabling cross-agency biometric verification. UDI (Unique Digital Identifier) planned to link all government services. Green ID book being phased out. DHA 'Home Affairs @ Home' digital delivery initiative.,exchange-func-digitalid,21,https://www.biometricupdate.com/202504/south-african-agencies-sign-multiparty-digital-id-deal;https://idtechwire.com/south-africa-plans-major-expansion-of-smart-id-program-for-2025/,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",3, Under development,2025,SAConnect Phase 2 targeting 42000+ sites including schools. SITA supports education system digitalization. Learner management systems (LURITS) and university systems exist. Not yet documented as fully integrated with a central data exchange hub. Initiative in Digital Transformation Roadmap covers education connectivity but not full data integration.,exchange-func-education,29,https://www.stateofthenation.gov.za/assets/downloads/South_Africa_Roadmap_for_the_Digital_Transformation.pdf;https://www.education.gov.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",3, Under development,2024,"IEC (Electoral Commission of South Africa) has digital voter registration, online VoterPortal, and Results Dashboard. However, IEC systems are not documented as integrated with the national data exchange hub or DHA biometric system in real-time. Planned integration through UDI and digital ID system under the Roadmap. Classified as under development.",exchange-func-electoral,25,https://www.stateofthenation.gov.za/assets/downloads/South_Africa_Roadmap_for_the_Digital_Transformation.pdf;https://www.elections.org.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",3, Under development,2025,"Department of Employment and Labour has digital systems (UIF, Compensation Fund). SPDCI June 2025 documents integration of SASSA social assistance with labour market information systems as under active development. ESSA (Employment Services of South Africa) online platform exists. Not yet fully integrated with central data exchange.",exchange-func-employment,34,https://spdci.org/resource/advancing-the-integration-of-social-assistance;https://www.labour.gov.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",3, Under development,2025,"National Health Insurance (NHI) Bill signed into law 2024. Some digital health records systems exist. SAConnect Phase 2 includes connectivity for health facilities. PEPFAR-supported patient information systems operational. However, full integration of health data with a central national data exchange is not yet documented. Classified as under development.",exchange-func-health,28,https://www.stateofthenation.gov.za/assets/downloads/South_Africa_Roadmap_for_the_Digital_Transformation.pdf;https://www.health.gov.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",3, Under development,2025,"Department of Justice and Constitutional Development has digital case management systems. SAPS (South African Police Service) has digital criminal records system (AFIS). Integrated Justice System (IJS) initiative exists to connect justice cluster departments. However, real-time integration with a central national data exchange hub is not yet documented.",exchange-func-justice,32,https://www.stateofthenation.gov.za/assets/downloads/South_Africa_Roadmap_for_the_Digital_Transformation.pdf;https://www.justice.gov.za,2,OK,,,,,
ZAF,South Africa,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,3, Under development,2025,Vehicle and driver licensing systems exist under DTIC and provincial governments. Vehicle/driver licensing mentioned as a service category to be linked to the UDI (Unique Digital Identifier) under the Digital Transformation Roadmap. Not yet documented as integrated with a central national data exchange. Classified as under development.,exchange-func-licensing,27,https://dpi.africa/south-africas-digital-leap;https://www.stateofthenation.gov.za/assets/downloads/South_Africa_Roadmap_for_the_Digital_Transformation.pdf,2,OK,,,,,
