Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,2, Yes,2025,"The ZamPass government authentication service enables digital ID-based login to ZamPortal e-services using NRC or Passport ID. The DZAP plans diverse authentication options: biometrics, smart cards, QR codes, OTPs, and paper-based credentials with digital features. MOSIP integration with SmartCare Pro enables biometric authentication for healthcare. Mobile-based digital authentication and e-signatures (ZamSign) are being procured.",id-functionality-authdigital,36,https://zamportal.gov.zm/wp-content/uploads/2020/04/How-to-Authenticate-with-ZamPass-Quick-Guide.pdf;https://documents1.worldbank.org/curated/en/099012025023033676/pdf/P505094-630a5ef9-d23a-4221-b7c8-397c94a90b4d.pdf;https://idtechwire.com/zambia-advances-digital-id-system-with-mosip-training-for-healthcare-integration/,3,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,2, Yes,2020,"ZamPortal (zamportal.gov.zm / eservices.gov.zm) uses ZamPass authentication service, where users log in with their NRC or Passport ID number and password. The portal offers access to ~300 of ~1,500 government services. ZamPass is the governmental authentication service for portal access. The NRC number is the primary identifier for government portal authentication.",id-functionality-authgovtportal,37,https://zamportal.gov.zm/wp-content/uploads/2020/04/How-to-Authenticate-with-ZamPass-Quick-Guide.pdf;https://zamportal.gov.zm/questions-page/;https://documents1.worldbank.org/curated/en/099012025023033676/pdf/P505094-630a5ef9-d23a-4221-b7c8-397c94a90b4d.pdf,3,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2021,"The Data Protection Act 2021 provides data subjects with rights to access their personal data held by data controllers. However, there is no documented digital self-service portal or mechanism for individuals to view their own ID-system data online. ZamPortal provides access to government services but individual data viewing within the INRIS system is not publicly documented. Enforcement of DPA data access rights remains weak per Strathmore/CIPIT 2025 assessment.",id-functionality-dataview,42,https://www.szi.gov.zm/wp-content/uploads/2022/02/Act-No.-3-The-Data-Protection-Act-2021.pdf;https://cipit.strathmore.edu/wp-content/uploads/2025/10/Government-Digital-Services-and-Digital-ID-in-Kenya-and-Zambia-Summary.pdf,2,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",2, Yes,2025,"NRC is accepted as primary KYC document for banking (Bank of Zambia circular 2014, reaffirmed). INRIS provides e-KYC capability and is described as a 'central source of truth' for identity. Limited API access to the National Registration Database (IPRS) was opened in March 2025 for major players (MTN MoMo, Airtel Money, Zanaco). MOSIP integration with SmartCare Pro targets e-KYC processes. NRC/passport verification is the standard for fintech onboarding.",id-functionality-kycenable,38,https://blog.voveid.com/kyc-compliance-in-zambia-2025-guide-for-fintechs-and-digital-businesses/;https://idtechwire.com/zambia-advances-digital-id-system-with-mosip-training-for-healthcare-integration/;https://blog.voveid.com/aml-compliance-in-zambia-2025-a-practical-guide-for-fintechs-and-regulated-businesses/,3,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2021,Zambia's general judicial system provides oversight through courts but there are no ID-specific judicial mechanisms identified. The Data Protection Act 2021 provides a complaints/investigation mechanism via the Data Protection Commissioner rather than courts. The e-Government Act 2021 includes penalties for offences but no dedicated ID court oversight mechanism has been documented.,id-governance-courtoversight,22,"https://www.szi.gov.zm/wp-content/uploads/2022/02/Act-No.-3-The-Data-Protection-Act-2021.pdf;https://www.parliament.gov.zm/sites/default/files/documents/acts/Act%20No.%2041%20OF%202021,%20THE%20ELECTRONIC%20GOVERNMENT%20ACT,%202021_0.pdf",2,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2025,"INRIS is designed as an integrated platform linking birth registration, NRC issuance, and death registration. DNRPC digitized ~81% of legacy civil registration records. An API Manager enables real-time birth registration at point of occurrence (linked to SmartCare health system). However, Zambia has one of Africa's lowest birth registration rates (~14% as of 2024 per UNICEF), and full CRVS-ID integration is not yet complete. The 2025 biometric campaign also covers birth certificates.",id-governance-crvs,21,https://www.undp.org/digital/blog/dpi-safeguards-come-online-zambias-next-phase-digital-integration;https://www.biometricupdate.com/202506/zambia-says-using-multiple-strategies-to-meet-50-percent-birth-registration-goal-by-2026;https://www.ohchr.org/sites/default/files/documents/issues/digitalage/cfis/birth-registration/subm-universal-birth-registration-sta-zambia.pdf,3,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",2, Partially available,2025,"The Data Protection Act 2021 provides partial data sharing rules including consent requirements, purpose limitation, and data minimisation. The e-Government Act 2021 provides for joint automated procedures and API-based data sharing among public bodies with documented protocols. ZamConnect platform will provide secure cross-agency data exchange. However, the National Registration Database is not yet broadly accessible (limited API access as of 2025), and comprehensive data sharing regulations are still being developed.",id-governance-datasharingrules,23,https://www.szi.gov.zm/wp-content/uploads/2022/02/Act-No.-3-The-Data-Protection-Act-2021.pdf;https://blog.voveid.com/aml-compliance-in-zambia-2025-a-practical-guide-for-fintechs-and-regulated-businesses/;https://documents1.worldbank.org/curated/en/099012025023033676/pdf/P505094-630a5ef9-d23a-4221-b7c8-397c94a90b4d.pdf,3,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,1, No,2024,"No standalone digital ID-specific regulation exists as of 2024-2025. The June 2024 Legal Digital ID Model Governance Assessment (UNDP) was launched to design governance structures. Digital ID is governed by the broader National Registration Act (in need of update), e-Government Act 2021, and Data Protection Act 2021, but no dedicated Digital ID Act or regulation has been enacted.",id-governance-digidreg,17,https://www.undp.org/digital/blog/dpi-safeguards-come-online-zambias-next-phase-digital-integration;https://paradigmhq.org/wp-content/uploads/2024/06/Zambia-Country-Report.pdf,2,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,2, Yes,2021,"Zambia enacted the Data Protection Act No. 3 of 2021 (assented 23 March 2021). It establishes the Office of the Data Protection Commissioner, regulates collection/processing/storage of personal and biometric data, provides data subject rights, and requires registration of data controllers. Mr Likando Lyuwa was appointed as the first Data Protection Commissioner in 2023.",id-governance-dpaexists,18,https://www.szi.gov.zm/wp-content/uploads/2022/02/Act-No.-3-The-Data-Protection-Act-2021.pdf;https://paradigmhq.org/wp-content/uploads/2024/06/Zambia-Country-Report.pdf,2,OK,,,,,
ZMB,Zambia,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,2, Yes,2023,"The Data Protection Commission was established under the Data Protection Act 2021. Mr Likando Lyuwa was appointed as the first Data Protection Commissioner in June 2023. The Commission expressed concern over hacking incidents in financial institutions (July 2023). Training of staff in 145+ offices on the Data Protection Act is ongoing. The Commissioner enforces the DPA, investigates complaints, and issues guidelines.",id-governance-dpaoversight,19,https://paradigmhq.org/wp-content/uploads/2024/06/Zambia-Country-Report.pdf;https://www.undp.org/digital/blog/dpi-safeguards-come-online-zambias-next-phase-digital-integration,2,OK,,,,,
