Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Connectivity,Mobile Phone Penetration,"Unique mobile subscriber penetration rate as a percentage of the total population. Measures the proportion of individuals who subscribe to a mobile service (not SIM cards, which can be multiple per person). Mobile phones are the primary device for internet access in Africa.",5,70%+,2024,"Unique subscribers inferred high from 161% connections [GSMA DataReportal](https://datareportal.com/reports/digital-2024-mauritius)",ict-connectivity-mobilepen,7,https://datareportal.com/reports/digital-2024-mauritius,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-economy/wp-content/uploads/2024/05/ME-SSA-2023.pdf; https://datareportal.com/reports/digital-2026-mauritius; https://datareportal.com/reports/digital-2024-mauritius","Confirmed. GSMA's Mobile Economy Sub-Saharan Africa report identifies Mauritius as the region's highest unique mobile penetration at 93%, well above the 70%+ threshold; DataReportal/GSMA Intelligence data (2024-2026) also show total connections at 161-178% of population. Value Code 5 confirmed with an authoritative GSMA source in addition to DataReportal."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Cloud Services Availability,"The availability and presence of major cloud service providers (hyperscale and regional) operating in or serving the country with local or near-local infrastructure. Cloud availability determines access to scalable computing resources for government, business, and startups.",2,Served remotely from distant regions only (>100ms latency),2025,"No local hyperscale regions, distant access [Mordor](https://www.mordorintelligence.com/industry-reports/mauritius-data-center-market)",ict-storage-cloudadoption,18,https://www.mordorintelligence.com/industry-reports/mauritius-data-center-market,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://inflect.com/datacenters/emea/mauritius; https://www.mordorintelligence.com/industry-reports/mauritius-data-center-market","Confirmed. Inflect (September 2025) reports zero direct cloud on-ramps in Mauritius, with the nearest major hyperscaler hub in Johannesburg; no AWS/Azure/GCP local region or edge node exists yet, though a sovereign cloud project is in early procurement (see govcloud row). Value Code 2 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,National Cybersecurity Readiness,"The country's overall cybersecurity preparedness, based on the ITU Global Cybersecurity Index (GCI). Covers legal measures, technical measures, organisational measures, capacity development, and cooperation. Essential for trust in stored data and digital services.",5,GCI score 80+ (Role-modelling),2024,"ITU GCI 100% Tier 1 [GIS Mauritius](https://www.facebook.com/GIS.Mauritius/posts/global-cybersecurity-index-2024-mauritius-ranks-1st-in-africa-and-secures-a-spot/528870953171948/)",ict-storage-cybersecurity,19,https://www.facebook.com/GIS.Mauritius/posts/global-cybersecurity-index-2024-mauritius-ranks-1st-in-africa-and-secures-a-spot/528870953171948/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.itu.int/pub/D-HDB-GCI.01-2024; https://indicators.govmu.org/ictindicators/?p=700; https://mitia.mu/global-cybersecurity-index-2024-mauritius-among-the-top-tier-1-countries-globally/","Confirmed and re-sourced. The ITU Global Cybersecurity Index 2024 places Mauritius in Tier 1 (Role-modelling) with a score of 100, corroborated by the Mauritius Digital Promotion Agency and MITIA; the original Facebook post is replaced with the primary ITU source. Value Code 5 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Commercial Data Center Presence,"The presence and tier quality of commercial/colocation data center facilities operating in the country. Commercial data centers provide the physical infrastructure for hosting cloud services, content delivery, and enterprise applications domestically.",4,Multiple Tier III facilities or at least one Tier IV,2025,"Multiple Tier III, Tier IV sites, mega projects, Tier III 50% market [Mordor Intelligence](https://www.mordorintelligence.com/industry-reports/mauritius-data-center-market)",ict-storage-dcpresence,14,https://www.mordorintelligence.com/industry-reports/mauritius-data-center-market,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.telecomreviewafrica.com/articles/features/12397-sublime-seas-to-storage-sphere-mauritius-expands-hyperscale-data-hub/; https://www.mordorintelligence.com/industry-reports/mauritius-data-center-market; https://inflect.com/datacenters/emea/mauritius","Confirmed. Telecom Review Africa (2025) corroborates multiple Tier III facilities (c.50% market share) and growing Tier IV capacity, but no hyperscale cloud provider yet has a local availability zone (per Inflect), so the market does not meet the 'mature market with hyperscale presence' threshold for Code 5. Value Code 4 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Data Storage,Government Data Center / Cloud Strategy,Whether the government has established dedicated data center infrastructure and/or a government cloud (G-Cloud) strategy for hosting e-government services and public sector data domestically. Critical for data sovereignty and e-government service delivery.,4,National data center operational with cloud strategy adopted,2018,"Digital Mauritius 2030 includes resilient data centres for public services [Digital Watch](https://dig.watch/resource/digital-mauritius-2030)",ict-storage-govcloud,15,https://dig.watch/resource/digital-mauritius-2030,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"http://mitci.govmu.org/mitci/government-online-centre/; https://mitci.govmu.org/mitci/wp-content/uploads/2025/05/Blueprint-for-Mauritius-2025.pdf; https://mitci.govmu.org/mitci/wp-content/uploads/2025/10/Clarification-No.-2.pdf","Confirmed with much stronger, fresher evidence. The Government Online Centre has run an operational government data centre with g-Cloud IaaS/PaaS since 2005; the 2025 'Blueprint for Mauritius' and an active October 2025 RFI for a sovereign government cloud confirm a current, adopted cloud strategy, superseding the original 2018 Digital Mauritius 2030 citation. Value Code 4 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Electricity Access Rate,"Percentage of national population with access to electricity (grid or off-grid). This is the primary indicator of energy infrastructure availability for ICT. Based on World Bank/IEA Tracking SDG7 data, national statistical offices, or Afrobarometer surveys.",5,90%+,2023,"99.7% population connected to electricity grid [UN Energy Compact](https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf)",ict-energy-elecaccess,1,https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS; https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf","Confirmed and updated. World Bank data (EG.ELC.ACCS.ZS) records 100% electricity access for Mauritius in 2023, slightly above the 99.7% originally cited from the UN Energy Compact case study. Value Code 5 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Renewable Energy Share of Generation,"Percentage of total electricity generation from renewable sources (hydro, solar, wind, geothermal, biomass). Indicates energy sustainability and potential for distributed power solutions relevant to ICT infrastructure in off-grid areas.",2,10-24%,2023,"24% electricity from renewables [UN Energy Compact](https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf)",ict-energy-renewableshare,4,https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf; https://countrydatahub.com/countries/mauritius/indicators","Confirmed. UN Energy Compact case study cites a 24% renewable generation share (2023); World Bank-derived data (CountryDataHub) shows a broadly consistent c.21.7% (2021). Both fall within the 10-24% band. Value Code 2 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Energy,Urban-Rural Electrification Gap,"The gap between urban and rural electricity access rates. A smaller gap indicates more equitable energy distribution, critical for ensuring ICT infrastructure can serve the whole population, not just cities.",5,Gap <10pp,2023,"Gap ~0pp (urban/rural both near 100%) [UN](https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf)",ict-energy-urbanruraldevide,2,https://www.un.org/sites/un2.un.org/files/energycompacts-case-study-mauritius-002.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://countrydatahub.com/countries/mauritius/access-to-electricity-urban-of-urban-population; https://countrydatahub.com/countries/mauritius/access-to-electricity-rural-of-rural-population; https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS","Confirmed with a precise primary figure. World Bank data shows both urban and rural electricity access at 100% in Mauritius (2023), a 0 percentage-point gap, replacing the original source's approximate inference. Value Code 5 confirmed."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Innovation,Global Innovation Index Ranking,"The country's performance on the WIPO Global Innovation Index (GII), which measures innovation capabilities across institutions, human capital, infrastructure, market sophistication, business sophistication, knowledge outputs, and creative outputs. Provides a composite view of the national innovation ecosystem.",5,GII rank 1-60,2024,"Rank 55th [WIPO GII](https://www.wipo.int/edocs/gii-ranking/2024/mu.pdf)",ict-innovation-gii,27,https://www.wipo.int/edocs/gii-ranking/2024/mu.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.wipo.int/edocs/gii-ranking/2024/mu.pdf","Confirmed. WIPO's official Global Innovation Index 2024 country profile confirms Mauritius ranks 55th of 133 economies (1st in Sub-Saharan Africa). Value Code 5 confirmed directly against the primary WIPO source."
MUS,Mauritius,ICT Infrastructure,"Comparable indicators on energy, connectivity and data storage. 27 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Innovation,Technology and Innovation Hubs,"The number and activity level of technology hubs, incubators, accelerators, and co-working spaces focused on technology and innovation. These provide physical infrastructure and support for tech entrepreneurship and skills development.",3,3-9 hubs with regular activity,2020,"3+ hubs including Empretec Mauritius, Mauritius Business Network [AfriLabs](https://nairobigarage.com/afrilabs-network-expands-to-45-african-countries/)",ict-innovation-techhubs,26,https://nairobigarage.com/afrilabs-network-expands-to-45-african-countries/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://www.afrilabs.com/hub/turbine-incubator-limited/; https://turbine.mu/about-us/; https://laplage.io/index-en.php","Confirmed with far stronger sources; the original citation (a 2019 article on AfriLabs' pan-African expansion) was only tangentially about Mauritius. Fresh evidence identifies at least five active hubs/incubators (Turbine Incubator, La Plage Factory, Ebene Accelerator, Mauritius Technology Innovation Centre, Cyber Tower co-working space), consistent with '3-9 hubs with regular activity'. Value Code 3 confirmed."
