Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,1, No,2023,"No digital authentication function exists. The biometric CNI is a physical card; there is no digital authentication infrastructure (no online verification portal, no API, no token-based authentication). The World Bank ID4D diagnostic confirmed no online authentication mechanisms exist. The 2023 CIPESA country report found no digital authentication capability described.",id-functionality-authdigital,36,https://openknowledge.worldbank.org/server/api/core/bitstreams/fde5ba5d-4bb9-5671-94ca-67ee6a832dd3/content;https://greaterinternetfreedom.org/wp-content/uploads/2023/08/BDI_CAR-FINAL-APPROVED-27.06.2023.pdf,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government Portal Authentication,Whether authentication is possible through a centralized government portal or digital gateway,1, No,2023,"No government portal authentication using digital ID exists. There are no functioning e-government portals requiring digital identity authentication in CAR. Internet penetration was only 14% in 2023, and digital government services are nascent. The national ID is not used for any online government service authentication.",id-functionality-authgovtportal,37,https://openknowledge.worldbank.org/server/api/core/bitstreams/fde5ba5d-4bb9-5671-94ca-67ee6a832dd3/content;https://greaterinternetfreedom.org/blog/la-republique-centrafricaine-et-lintelligence-artificielle-dans-lespace-numerique/index.html,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Individual Data Access,Whether individuals can view their data held in the ID database and see how it has been accessed,1, No,2024,"No mechanism exists for individuals to access their own identity data. Although the 2024 Data Protection Law (No. 24.001) includes a right of access for data subjects, the supervisory authority that would enable enforcement has not yet been established, and no practical mechanism for individuals to view or obtain their identity data has been implemented.",id-functionality-dataview,42,https://www.techhiveadvisory.africa/insights/review-of-the-central-african-republic-data-protection-law,1,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,2," Yes, but not specific to ID",2023,"Judicial oversight exists but is not ID-specific. In 2020, the Administrative Court suspended and repealed the government decree raising CNI prices (from CFA 4,500 to higher amounts), finding it violated the Finance Law. This demonstrates general judicial oversight capability over government identity-related decisions. However, there are no dedicated judicial mechanisms specifically for digital ID systems.",id-governance-courtoversight,22,https://greaterinternetfreedom.org/wp-content/uploads/2023/08/BDI_CAR-FINAL-APPROVED-27.06.2023.pdf;https://corbeaunews-centrafrique.org/centrafrique-le-prix-des-cartes-didentite-enfin-reduit-apres-cinq-ans-de-violations-criminelle/,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,2, Partial integration,2025,"Partial integration only. A birth certificate is required to obtain a national identity card, establishing a formal link. However, the civil registration system is largely paper-based and severely damaged (60–80% of records destroyed in the 2013 crisis). There is no digital CRVS system, and the ID and civil registration databases are not electronically integrated. The OIF launched a project in 2025 to issue 3,000 birth certificates to unregistered individuals.",id-governance-crvs,21,https://openknowledge.worldbank.org/server/api/core/bitstreams/fde5ba5d-4bb9-5671-94ca-67ee6a832dd3/content;https://www.biometricupdate.com/202508/la-francophonie-supports-birth-registration-efforts-across-central-africa-madagascar,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",1, Not available,2024,"No formal data sharing framework is in place for identity data. The 2024 Data Protection Law (No. 24.001) includes provisions on data transfers (including to CEMAC/ECCAS member states and non-member states), but the supervisory authority tasked with authorizing such transfers has not been established. The World Bank ID4D diagnostic noted no formal interoperability agreements between identity systems.",id-governance-datasharingrules,23,https://www.techhiveadvisory.africa/insights/review-of-the-central-african-republic-data-protection-law;https://openknowledge.worldbank.org/server/api/core/bitstreams/fde5ba5d-4bb9-5671-94ca-67ee6a832dd3/content,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,1, No,2024,No digital ID-specific regulation exists. The existing legal framework for identity dates to the 1960s and does not address digital identity. The 2024 Data Protection Law (No. 24.001) covers personal data broadly but is not specific to digital ID. The CIPESA/Greater Internet Freedom 2023 report and Paradigm Initiative 2024 policy brief both confirmed the absence of a dedicated digital ID law.,id-governance-digidreg,17,https://greaterinternetfreedom.org/wp-content/uploads/2023/08/BDI_CAR-FINAL-APPROVED-27.06.2023.pdf;https://www.techhiveadvisory.africa/insights/review-of-the-central-african-republic-data-protection-law,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Authority Oversight,Whether a Data Protection Authority or similar body regulates ID data collection and sharing by the ID system,1, No,2025,"No independent data protection authority has been established. Although Law No. 24.001 (January 2024) mandated creation of a supervisory authority within 12 months, as of 2025 no such authority has been operationalized. The Ministry of Digital Economy, Posts, and Telecommunications serves as an interim oversight body pending the authority's establishment.",id-governance-dpaoversight,19,https://www.techhiveadvisory.africa/insights/review-of-the-central-african-republic-data-protection-law,1,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,2025,"The national identity card (CNI) serves as legal proof of identity in the Central African Republic. It is required by law enforcement during checks, needed to access banking, receive pensions, and participate in civic life. Citizens without a CNI use voter cards or other documents as alternatives. The card is accepted as a breeder document for other services.",id-governance-legalproof,20,https://openknowledge.worldbank.org/server/api/core/bitstreams/fde5ba5d-4bb9-5671-94ca-67ee6a832dd3/content;https://oubanguimedias.com/2021/07/05/centrafrique-entre-la-rafle-et-difficile-acces-a-la-carte-nationale-didentite/,2,OK,,,,,
CAF,Central African Republic,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",2, Yes,2024,"A legal framework for national identity exists, though it is outdated. Key laws include Law No. 60-164 (1960, amended 1962/1964) on national identity cards; Ordinance No. 69-033/69-034 (1969) on civil registration; Family Code (Law No. 97-013, 1998); and the CAR Constitution (2016) guaranteeing the right to identity. The World Bank ID4D diagnostic (2021) noted laws are not adapted to current context. A new Data Protection Law (No. 24.001) was enacted in January 2024.",id-governance-legframework,16,https://openknowledge.worldbank.org/server/api/core/bitstreams/fde5ba5d-4bb9-5671-94ca-67ee6a832dd3/content;https://www.techhiveadvisory.africa/insights/review-of-the-central-african-republic-data-protection-law,2,OK,,,,,
