Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",3, Under development,2024,ATD's service-public.gouv.tg portal includes business registration services. Some integration through the e-Services platform. ANPGF (national enterprise promotion agency) portal. Partial digital integration but not full data exchange interoperability.,exchange-func-business,35,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.cfetogo.tg/missions-et-attributions-du-cfe-togo.html; https://www.togofirst.com/fr/gouvernance-economique/3101-15657-togo-l-api-zf-digitalise-douze-procedures-administratives-pour-l-implantation-des-entreprises; https://anpgftogo.org/","Original WB source is a broadband-connectivity press release and does not actually address business registration. Confirmed evidence: the Centre de Formalités des Entreprises (Guichet Unique) already issues a single ""carte unique"" combining RCCM (commerce registry), NIF (tax) and CNSS (social security) numbers, and API-ZF digitised 12 further investment-licensing procedures onto the national single-window portal in Jan 2025 — genuine cross-agency data integration, so upgraded from 3 (Under development) to 4 (Partially integrated)."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,3, Under development,2024,Togo is adopting MOSIP (Modular Open Source Identity Platform) for digital ID infrastructure. MOSIP adoption documented in DPG/DPI case studies. Digital ID foundational layer under development â€” not yet fully integrated with data exchange systems.,exchange-func-digitalid,21,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.biometricupdate.com/202604/togo-issues-6m-unique-numbers-as-mosip-based-digital-id-project-progresses; https://techafricanews.com/2025/10/30/senegal-and-togo-strengthen-cooperation-on-digital-identity-systems/; https://documents1.worldbank.org/curated/en/099103024111041029/pdf/P178835-e634417e-785f-4b55-bb2c-063c891f286b.pdf","Original WB source does not mention digital ID at all. Fresher evidence shows the MOSIP-based system (ANID) had issued over 6 million unique ID numbers by Dec 2025 with QR-code biometric cards already used to authenticate access to some public services, and a World Bank ISR (Sep 2024) confirms the eID system was soft-launched Nov 2023. This is beyond mere development, so upgraded from 3 to 4 (Partially integrated); full data-exchange interoperability protocols are still targeted for 2028, so not yet 5."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",2, Planned,2024,Education management information systems exist. No confirmed integration with national data exchange platform. ATD digital services portal includes some education-adjacent services.,exchange-func-education,29,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://education.dhis2.org/implementation/togo/; https://www.gpekix.org/fr/blogue/togo-autonomiser-les-ecoles-et-les-districts-laide-de-donnees","Original WB source is unrelated (broadband financing). Better sources confirm a DHIS2-based EMIS integrated with the legacy StatEduc tool has run at national scale since 2019, but this is sectoral data-sharing within education, not confirmed integration with the cross-government data exchange platform. Score of 2 (Planned) confirmed with fresher, relevant sourcing."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Health System Integration,"Integration of health records, patient registration, immunization data, and health insurance into data exchange",2, Planned,2024,Health systems (DHIS2 likely in use) exist. Novissi program used health-related targeting data. No specific evidence of health system integration with a national data exchange platform.,exchange-func-health,28,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://macite.tg/2026/05/13/amu-vers-une-architecture-digitale-federee-pour-le-parcours-patient/; https://files.aho.afro.who.int/afahobckpcontainer/production/files/MOP_SNIS_TOGO.DRAF30.04.2022_%C3%A9dit%C3%A9s-VF_1.pdf","Original WB source does not address health integration. A May 2026 workshop report confirms the Ministry of Health, GIZ and World Bank were only then beginning to co-design a federated ""SIIG-AMU"" architecture to connect hospitals, pharmacies and insurers (CNSS, INAM, CAT); DHIS2 has been used since 2018 but remains a sector-internal system. This is fresh, direct confirmation that integration is still at the planning stage — code 2 (Planned) confirmed."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Payments Integration,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",4, Partially integrated,2023,"Novissi G2P digital cash transfer platform is functional and operational â€” 920,000 beneficiaries reached using mobile money. High mobile money penetration in Togo. Digital payments partially integrated into government service delivery systems.",exchange-func-payments,23,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://documents1.worldbank.org/curated/en/099103024111041029/pdf/P178835-e634417e-785f-4b55-bb2c-063c891f286b.pdf; https://economiknews.com/novissi-2-21000-personnes-identifiees-lome/; https://poverty-action.org/publication/togo%E2%80%99s-novissi-cash-transfer-designing-and-implementing-fully-digital-social-assistance","Original WB source does not mention Novissi. Novissi (and the relaunched Novissi 2, Dec 2025) does deliver G2P cash transfers via mobile money using INSEED census data for targeting, supporting ""partially integrated."" However, the World Bank's own Sep 2024 ISR for the Safety Nets programme rates the specific DLI for ""interoperability protocols...operational to exchange data with other administrative systems"" as Not in place, targeted only for Dec 2028. Score of 4 confirmed on balance, but flagged for human review given this tension between operational payment delivery and formally incomplete data-exchange interoperability."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",2, Planned,2024,Togo Data Lab exists for statistical analysis. INSEED (Institut National de la Statistique et des Etudes Economiques et Demographiques). No confirmed integration with national data exchange platform.,exchange-func-planning,33,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://lavoixdelanation.tg/index.php/2025/01/08/democratisation-de-lacces-aux-donnees-publiques-au-togo/; https://inseed.tg/","Original WB source is unrelated. Fresher evidence (Jan 2025) shows ATD launched Open Data (opendata.gouv.tg) and Géoportail (geodata.gouv.tg) platforms in Dec 2024 that already centralise data from 23 ministries and 550+ administrative units explicitly for planning purposes across education, health and infrastructure. This is operational cross-government data aggregation, so upgraded from 2 (Planned) to 4 (Partially integrated)."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,2, Planned,2024,OTR (Office Togolais des Recettes) has e-tax filing capabilities. No specific evidence of tax/revenue system integration with a national data exchange layer.,exchange-func-revenue,24,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,4,"https://www.cfetogo.tg/; https://www.otr.tg/index.php/en/documentation/sur-les-impots/56-procedure-de-declaration-en-ligne.html; https://www.otr.tg/index.php/fr/documentation/sur-les-impots/derniers-publications/gudef/338-guide-utilisateur-gudef-final-du-31-01-2023/file.html","Original WB source does not address tax administration. OTR has run an online tax e-filing/e-payment platform since 2016 and the GUDEF-Togo portal for electronic financial statement filing since 2022/23, and the taxpayer's NIF (tax number) is one of three numbers issued jointly with the commerce registry (RCCM) and social security (CNSS) on the single business-registration card. This demonstrates genuine cross-agency data-sharing, so upgraded from 2 (Planned) to 4 (Partially integrated)."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",4, Partially integrated,2023,"Novissi social protection program is functional and partially integrated with mobile money and digital ID data. 920,000 beneficiaries. ML used to identify beneficiaries. Represents operational integration of social protection data with payment systems.",exchange-func-socialprotection,30,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://documents1.worldbank.org/curated/en/099103024111041029/pdf/P178835-e634417e-785f-4b55-bb2c-063c891f286b.pdf; https://economiknews.com/novissi-2-21000-personnes-identifiees-lome/; https://doi.org/10.1596/40405","Original WB source does not mention social protection. Novissi 2 (relaunched Dec 2025) uses INSEED census data plus ANADEB field verification to target 700,000+ beneficiaries paid via mobile money — real data linkage across agencies. However, the World Bank's Sep 2024 ISR rates the dynamic social registry (RSPM) as only 75% built and the formal cross-system interoperability DLI as Not in place, targeted for Dec 2028. Score of 4 confirmed on balance but flagged for human review given the gap between operational targeting and the not-yet-complete interoperability layer."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Enabling Legislation,"Whether primary laws, acts, or legal instruments exist that establish authority for cross-government data sharing and govern the data exchange system",2, Under development,2020,2017 Law on Electronic Transactions provides some legal basis. 2012 Law on Electronic Communications. IPDCP created by law in 2020. No specific law mandating cross-government data sharing or interoperability found. Data protection body being operationalized. Legislation fragmentary.,exchange-gov-legislation-exists,15.5,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,,"https://ipdcp.tg/ipdcp/cadre-juridique/; https://anid.gouv.tg/wp-content/uploads/2024/11/Decret-portant-organisation-et-fonctionnement-de-lInstance-de-protection-des-donnees-a-caractere-personnel.pdf; https://arcep.tg/wp-content/uploads/2020/11/Loi_2017-006_d_Orientation_sur_la_societe_de_l_information_LOSITO.pdf","Confirmed the legal texts cited (Loi 2017-006, Loi 2018-026 on cybersecurity, Loi 2019-014 on data protection, Décret 2020-111 establishing IPDCP) exist and are current, but none of them specifically establishes authority for cross-government data exchange/interoperability — they cover data protection, cybercrime and e-transactions instead. No draft interoperability-specific bill was found in searches. Score of 2 (Under development) confirmed as plausible but flagged for human review since no specific data-exchange enabling instrument could be verified."
TGO,Togo,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Implementation Roadmap,"Whether a detailed implementation roadmap with phases, milestones, and timelines exists for data exchange development",2, Under development,2024,Implementation roadmap under development through World Bank Digital Acceleration Project (approved Dec 2024). No public detailed phased roadmap for data exchange implementation confirmed independently.,exchange-gov-roadmap,14,https://www.worldbank.org/en/news/press-release/2024/12/19/togo-100-million-in-funding-to-accelerate-digital-transformation,1,Medium,single_source,Only one source for a substantive score — corroborate.,3,"https://documents1.worldbank.org/curated/en/099103024111041029/pdf/P178835-e634417e-785f-4b55-bb2c-063c891f286b.pdf; https://thedocs.worldbank.org/en/doc/08ec213f7ddd48a1ee4a7130399d4738-0460012022/original/Strat-gie-Togo-Digital-2025.PDF","A public World Bank Implementation Status Report for the Togo Social Assistance Transformation for Resilience Program (P178835, effective Mar 2024) sets out a detailed, dated roadmap with Disbursement Linked Indicators: eID soft-launched Nov 2023, dynamic social registry 75% complete by Sep 2024, interoperability protocols targeted Dec 2028. As this is a published, milestone-based roadmap specifically for data exchange, upgraded from 2 (Under development) to 3 (Yes)."
