Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Revenue Collection,"Whether government taxes, customs duties, and other revenue can be paid using the instant digital payment system, indicating integration of payment infrastructure with tax administration systems.",2,Partial,2025,"NPS documentation says SOMQR allows payments for “taxes, and fees” and positions NPS/SIPS to support government service payments, indicating partial digital revenue collection capability.",pay-functionality-revenue,40,https://centralbank.gov.so/nps/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business-to-Business (B2B) Payments,"Whether the instant payment system supports business payments to suppliers, vendors, contractors, and other businesses for commercial transactions, procurement, and supply chain payments.",2,Yes,2025,SPS/SIPS documentation states SIPS enables business-to-business (B2B) transactions as a supported use case in the unified instant payments system.,pay-functionality-usecaseb2b,34,https://sps.so/sips/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Government-to-Person (G2P) Payments,"Whether the instant payment system is used or can be used for government disbursements to citizens, including social transfers, welfare payments, salaries, pensions, subsidies, grants, and emergency assistance.",2,Limited Use,2025,"NPS documentation states ACH supports bulk processing such as salaries and that the system improves government’s ability to pay public workforce; NPS/SIPS also supports Government-to-Person (G2P) transactions and government payment streams, indicating active though scope unclear.",pay-functionality-usecaseg2p,32,https://centralbank.gov.so/nps/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Government (P2G) Payments,"Whether the system enables citizen payments to government for taxes, fees, licenses, fines, utility bills, and other government service charges.",2,Limited Use,2025,"NPS documentation explicitly states SOMQR enables payments for “taxes, and fees” by scanning a code, indicating person-to-government payment capability, though extent of adoption across government unclear.",pay-functionality-usecasep2g,33,https://centralbank.gov.so/nps/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Person-to-Person (P2P) Payments,"Whether the instant payment system supports direct person-to-person transfer of funds between individuals for informal transactions, remittances, and interpersonal value transfers.",2,Yes,2017,Mobile money is widely used for P2P transfers in Somalia; World Bank research on Somalia’s mobile money ecosystem reports high mobile money usage and describes services used for transfers between individuals.,pay-functionality-usecasep2p,30,https://blogs.worldbank.org/en/nasikiliza/a-game-changer-the-prospects-and-pitfalls-of-mobile-money-in-somalia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Consumer Protection Framework for Payments,"Whether consumer protection legislation or regulations specifically address digital payment services, covering disclosure requirements, liability allocation for unauthorized transactions, error resolution procedures, and user rights.",2,Partial,2021,"Mobile Money Regulations (amended 2021) issued by CBS include conduct-of-business and consumer-protection related requirements (e.g., prompt execution/reversal, receipts, notice before changing terms/fees, consumer-centric policies), but Somalia lacks a clearly evidenced comprehensive payments consumer protection statute and formalized redress framework; hence partial.",pay-governance-consumerprotectlaw,18,https://centralbank.gov.so/wp-content/uploads/2025/06/Mobile-Money-Regulation-2020_amended_2021.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Breach Notification Requirements,"Whether legal or regulatory requirements obligate payment service providers to notify users, regulators, and/or data protection authorities about payment data breaches, cybersecurity incidents, or unauthorized access within specified timeframes.",3,Mandatory,2023,"Somalia Data Protection Act requires breach notification: Article 25 requires controllers to notify the Authority within 72 hours of becoming aware of a personal data breach likely to result in risk to rights/freedoms, and to notify affected data subjects where high risk.",pay-governance-databreachnotif,17,https://www.dataguidance.com/sites/default/files/somalia_data_protection_act-2.pdf,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Privacy Legislation Coverage,"Whether national data protection or privacy legislation exists and explicitly covers payment transaction data, including provisions on data collection, storage, sharing, retention, and user rights over their payment data.",2,General Data Protection Legislation,2023,Somalia enacted the Data Protection Act (Law No. 005 of 2023) as a general data protection law (personal data processing across sectors) and established a Data Protection Authority; sources reviewing the Act note it is general and not payment-data specific.,pay-governance-dataprivacylaw,16,https://www.techhiveadvisory.africa/insights/review-of-somalias-data-protection-act-and-implementing-regulations,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Pro-Poor Governance Mechanisms,"Whether payment system governance explicitly includes mechanisms to ensure inclusivity and represent interests of vulnerable populations, including provisions for input from all participant types, consumer representatives, small providers, or explicit financial inclusion mandates in governance documents.",3,Yes,2025,SIPS objectives explicitly include pro-inclusion goals: SPS/SIPS documentation states it will “Promote Financial Inclusion… including underserved rural communities” and sets rollout goals such as enabling access to digital payment services for 80% of the adult population by 2025.,pay-governance-propoorgovernance,14,https://sps.so/sips/,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
SOM,Somalia,Digital Pay,"The architecture, governance, functionality and uptake of government digital payment systems.  21 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Active Digital Payment Users,"Percentage of the adult population (15+ years) who have made at least one digital payment transaction through the instant payment system in the past 90 days, indicating active usage rather than just account ownership.",4,70-89%,2017,"World Bank research (2016 survey, published 2017) reports 73% prevalence of mobile money usage (and 83% of SIM owners use mobile money). This implies active digital payment users in the 70–89% bracket.",pay-uptake-activeusers,42,https://blogs.worldbank.org/en/nasikiliza/a-game-changer-the-prospects-and-pitfalls-of-mobile-money-in-somalia,1,Medium,single_source,Only one source for a substantive score — corroborate.,,,
