Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,1, No integration,2015,"Civil registration documents (birth certificates, residential cards) are required to obtain a national ID card, indicating a degree of linkage. However, civil registration is incomplete (less than 40% of births registered per UNICEF), decentralized, and not digitally integrated with the ID system. Score=1 for partial/procedural linkage only.",id-governance-crvs,21,https://www.ecoi.net/en/document/2011310.html; https://www.justice.gov/eoir/page/file/982601/dl?inline=,2,OK,,,,"https://www.ecoi.net/en/document/2011310.html; https://sas-space.sas.ac.uk/9673/1/RLC%20BP%20No.%201.pdf","Sources fetched and read. IRB Canada (2018) and the RLC Briefing Paper (Mekonnen and Palacios Arapiles, March 2022) confirm a birth certificate is required as supporting evidence when applying for a national ID card, but civil registration itself is incomplete and decentralised, and no automated data exchange between civil registration and the ID authority is documented. Score of 1 (No integration) is supported by the evidence; confirmed unchanged.",2022,medium,"Civil registration documents, including a birth certificate, must be submitted when applying for a national ID card in Eritrea, indicating a procedural link between the two systems. However, birth registration coverage remains incomplete, at under 40% of births nationally according to UNICEF, and there is no evidence of an automated or digital data exchange between the civil registration authority and the Department of Immigration and Nationality.",
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,1, No,2018,The national ID card is recognised as the primary legal proof of identity and citizenship in Eritrea. It is required to obtain a passport and access government services. Citizens over 18 are required to hold one. The ID card is compulsory and serves as legal proof of identity.,id-governance-legalproof,20,https://www.gov.uk/government/publications/eritrea-knowledge-base-profile/eritrea-knowledge-base-profile; https://us.embassyeritrea.org/national-id/,2,OK,,,2,"https://www.gov.uk/government/publications/eritrea-knowledge-base-profile/eritrea-knowledge-base-profile; https://sas-space.sas.ac.uk/9673/1/RLC%20BP%20No.%201.pdf; https://us.embassyeritrea.org/national-id/","Original Value Code of 1 (No) was inconsistent with the row's own Comments, which describe the ID card as the primary legal proof of identity and citizenship. The GOV.UK HM Passport Office knowledge base profile confirms a national ID card is required in identity/passport processing, and the RLC Briefing Paper (2022) confirms the card has probatory value for identity under Eritrean law. Recalculated to 2 (Yes). As this is the maximum code on this variable's two-point scale, flagged for human review.",2022,medium,"The national ID card is recognised as the primary legal proof of identity and citizenship in Eritrea, issued under Proclamation No. 21/1992. It is required to obtain a passport and to access government services, and citizens aged 18 and above are legally required to hold one.",human_review
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",1, No,1992,"The issuance of national ID cards is governed by Proclamation No. 21/1992 (promulgated 6 April 1992). This provides a basic legal framework for the national ID card. However, it does not address digital identity, data protection, or modern ID management. No updated identity law has been enacted. Score=1 for a basic legal basis only.",id-governance-legframework,16,https://sas-space.sas.ac.uk/9673/1/RLC%20BP%20No.%201.pdf; https://www.ecoi.net/en/document/2011310.html,2,OK,,,2,"https://sas-space.sas.ac.uk/9673/1/RLC%20BP%20No.%201.pdf; https://www.ecoi.net/en/document/2011310.html","Original Value Code of 1 (No) was inconsistent with the row's own Comments, which cite Proclamation No. 21/1992 as governing ID card issuance. The RLC Briefing Paper (Mekonnen and Palacios Arapiles, March 2022) confirms 'the issuance of the national ID card is governed by Proclamation No. 21/1992, promulgated on 6 April 1992', which satisfies the variable's definition of 'equivalent legislation', even though it predates and does not address digital identity or data protection. Recalculated to 2 (Yes). As this is the maximum code on this variable's two-point scale, flagged for human review.",1992,high,"Issuance of Eritrea's national ID card is governed by Proclamation No. 21/1992, promulgated on 6 April 1992, which remains the operative legal basis for the national identification system. The proclamation does not address digital identity, biometric data or data protection specifically, and no dedicated digital ID legislation has since been enacted.",human_review
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Ownership,Maintenance,"Whether the system and the production of credentials can be managed, maintained and developed by in-country technical staff (as opposed to foreign vendors)",1, Foreign vendors dominate,2018,"The Department of Immigration and Nationality (under the Ministry of Internal Affairs) is responsible for issuing and maintaining the national ID system. Institutional capacity is severely constrained by the exodus of qualified personnel, limited infrastructure, and restricted digital connectivity. No dedicated digital ID maintenance unit has been documented. Score=1 for basic government maintenance.",id-ownership-maintenance,14,https://www.ecoi.net/en/document/2011310.html; https://sas-space.sas.ac.uk/9673/1/RLC%20BP%20No.%201.pdf,2,OK,,,2,"https://www.ecoi.net/en/document/2011310.html; https://sas-space.sas.ac.uk/9673/1/RLC%20BP%20No.%201.pdf","Original Value Code of 1 (Foreign vendors dominate) named no foreign vendor in either the Comments or the cited sources; instead they describe the government's own Department of Immigration and Nationality issuing and maintaining the system domestically, albeit with severely constrained institutional capacity (staff exodus, limited infrastructure). A targeted search found no named foreign vendor for Eritrea's card production specifically. Recalculated to 2 (Partial in-country capacity), balancing confirmed domestic administration against the plausible but unconfirmed involvement of external suppliers in producing the newer secure card format. Flagged for human review given the absence of direct evidence on the card production/supply chain.",2018,low,"Eritrea's national ID system is issued and administered domestically by the Department of Immigration and Nationality, from headquarters in Asmara and 12 branch offices, indicating in-country management. However, institutional capacity is severely constrained by the exodus of qualified personnel, limited infrastructure and restricted digital connectivity, and no dedicated digital ID technical maintenance unit is documented.",human_review
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Ownership,Sustainability,"Whether the ongoing management, maintenance and development of the ID system can be funded by sustainable domestic resources",1, Primarily dependent on external funding,2018,"Fees are charged for ID cards (100 nakfa in Eritrea; $25-$100 in diaspora). The system has operated since 1992 indicating basic sustainability. However, the new electronic card rollout was extremely slow (~70,000 issued by 2016), suggesting severe financial and logistical constraints. No international donor support for the ID system has been documented. Score=1 for basic fee-supported operation.",id-ownership-sustainability,26,https://www.ecoi.net/en/document/2011310.html; https://us.embassyeritrea.org/national-id/,2,OK,,,2,"https://www.ecoi.net/en/document/2011310.html; https://us.embassyeritrea.org/national-id/","Original Value Code of 1 (Primarily dependent on external funding) is not supported by any source describing donor or external funding for the ID system; the Comments and cited sources instead describe a fee-funded system (100 nakfa domestically; USD fees for diaspora applicants) with no documented donor involvement, which points away from 'primarily external funding'. However, the evidence is not strong enough to confidently assert the top code (3, primarily domestic funding), given the very slow rollout of the electronic card (~70,000-150,000 issued/applied for by 2016), which suggests resource constraints. Recalculated to 2 (Mixed domestic/external) as the best-evidenced middle position; this avoids an unjustified top-of-scale claim on limited evidence.",2018,low,"Eritrea's national ID system is funded through applicant fees (100 nakfa domestically; USD 20-100 for diaspora applications via Eritrean embassies and consulates) rather than documented external donor support. The system has operated on this fee basis since 1992, though the slow pace of the newer electronic card rollout suggests that available resources for expansion remain limited.",
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Biometric Data Collection,"Whether the system collects biometric data and which modalities are collected (fingerprints, facial image, iris scans)",1, No,2018,"The new electronic national ID card (rolled out from 2014/2015) includes a fingerprint on the back of the card. Applicants provide one fingerprint at time of application. However, only approximately 70,000 new cards were issued by 2016 from a population of ~3.5M; the vast majority still hold old handwritten cards with no biometrics. Score=1 reflects limited/partial biometric collection.",id-system-biocollect,7,https://www.ecoi.net/en/document/2011310.html; https://travel.state.gov/content/travel/en/us-visas/Visa-Reciprocity-and-Civil-Documents-by-Country/Eritrea.html,2,OK,,,2,"https://www.ecoi.net/en/document/2011310.html; https://us.embassyeritrea.org/national-id/","Original Value Code of 1 (No) contradicted the row's own Comments and the cited IRB (2018) source, both of which confirm one fingerprint is collected and printed on the back of the newer electronic ID card. The current embassy application process also requires a fingerprint-verification appointment. Recalculated to 2 (Fingerprints only), as no facial or iris biometric capture is documented.",2018,medium,"The newer electronic Eritrean national ID card, issued since 2014/2015, requires collection of one fingerprint, which is printed on the back of the card alongside a photograph and other security features. The current application process for the ID also requires a fingerprint-verification appointment. No facial image or iris biometric capture is documented, and the majority of the population still holds the older, non-biometric handwritten card.",
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,1, Paper only,2015,"EASO (2015) references 'a print-out from the electronic population register' as a document used for civil status issuance, suggesting some electronic records exist at the Department of Immigration and Nationality. However, the system is largely paper-based and fragmented; no central national biometric database has been documented. Score=1 for partial/basic electronic records.",id-system-dbelectronic,11,https://www.ecoi.net/en/document/2011310.html; https://www.justice.gov/eoir/page/file/982601/dl?inline=,2,OK,,,2,"https://www.ecoi.net/en/document/2011310.html","Original Value Code of 1 (Paper only) contradicted the row's own Comments, which cite an EASO (2015) reference to a 'print-out from the electronic population register' used by the Department of Immigration and Nationality, indicating at least some digitised records alongside a predominantly paper-based, fragmented system. Recalculated to 2 (Mix of paper and digital).",2015,low,"Identity records in Eritrea are largely paper-based and administered through the Department of Immigration and Nationality's Asmara headquarters and 12 branch offices. However, the department is also reported to maintain some electronic population register data, from which print-outs can be issued for civil status purposes, indicating a partial mix of paper and digital record-keeping. No comprehensive, centralised digital identity database has been documented.",
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Digital ID System Exists,"Whether the country has established or is actively developing a national digital identity system, including foundational ID systems that enable authentication across multiple services. Fully deployed means operational nationwide and accepting new registrations.",1, No,2018,"Eritrea has a national identity card system established by Proclamation No. 21/1992. A new electronic card with fingerprint and holographic features was introduced in 2014/2015, but very few are in circulation (approx. 70,000 by 2016). No digital ID platform in the modern sense exists (no unique digital identifier, no digital authentication infrastructure). Score=1 reflects existence of a basic national ID with limited electronic features.",id-system-didexists,1,https://www.ecoi.net/en/document/2011310.html; https://travel.state.gov/content/travel/en/us-visas/Visa-Reciprocity-and-Civil-Documents-by-Country/Eritrea.html; https://us.embassyeritrea.org/national-id/,3,OK,,,4,"https://www.ecoi.net/en/document/2011310.html; https://us.embassyeritrea.org/national-id/; https://travel.state.gov/content/travel/en/us-visas/Visa-Reciprocity-and-Civil-Documents-by-Country/Eritrea.html","Original Value Code of 1 (No) contradicted the row's own Comments, which describe an electronic national ID card with fingerprint and security features that has been actively issued since 2014/2015. The Eritrean Embassy's current national ID application process (accessed 2024) confirms this electronic-featured card remains the standard credential issued to new applicants today, i.e. the system is established and operating on an ongoing basis, not merely 'no system'. However, the older handwritten card remains widely held and there is no unique digital identifier or online authentication infrastructure, so 'Fully deployed nationwide' (5) is not supported. Recalculated to 4 (Partially deployed), reflecting an operational, continuing electronic credential that has not achieved universal/nationwide biometric coverage.",2024,medium,"Eritrea operates a national identity card system under Proclamation No. 21/1992, administered by the Department of Immigration and Nationality. Since 2014/2015 the government has issued a more secure electronic version of the card, featuring a laser-engraved photograph, one fingerprint, holographic elements and a unique serial number, and this remains the standard credential issued to new applicants, including via the current online embassy application process. The older handwritten card nonetheless remains in wide circulation, and there is no unique digital identifier or online authentication infrastructure, so deployment is best characterised as partial rather than nationwide.",
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Cost of Credential,Whether credentials are issued free of charge,1, No,2018,"A fee of 100 nakfa (approximately $6-8 USD) is charged for a new ID card in Eritrea. Diaspora applicants pay $25 (new) to $100 (replacement) in US dollars. Fees are non-refundable. The in-country fee represents a cost barrier given Eritrea's severe poverty levels. Score=1 for fee-based (not free, but relatively modest in-country fee).",id-uptake-cost,31,https://www.ecoi.net/en/document/2011310.html; https://us.embassyeritrea.org/national-id/,2,OK,,,,"https://www.ecoi.net/en/document/2011310.html; https://us.embassyeritrea.org/national-id/","Sources fetched and read. A fee of 100 nakfa is charged domestically, and the Eritrean Embassy's current fee schedule confirms non-refundable USD fees for diaspora applicants (e.g. USD 20 for an Underage ID, USD 10 for a Temporary ID, plus separate photo-printing and service fees). The credential is not free of charge. Score of 1 (No) is supported by the evidence; confirmed unchanged.",2024,high,"A fee of approximately 100 nakfa is charged for a domestic national ID card in Eritrea, and diaspora applicants pay non-refundable fees in US dollars (for example USD 20 for an Underage ID, plus separate photo-printing and service fees). The credential is not issued free of charge.",
ERI,Eritrea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Mandatory Status,"Whether registration for digital ID is mandatory, optional, or mandatory for specific groups",2, Mandatory for some,2018,"The national ID card is compulsory for all Eritrean citizens aged 18 and above. It is required to access government services and obtain a passport. However, enforcement is inconsistent particularly in rural areas and among diaspora. Certain groups (Jehovah's Witnesses, deserters) are actively denied the ID. Score=2 for mandatory with uneven enforcement.",id-uptake-enrollmandatory,29,https://en.wikipedia.org/wiki/List_of_national_identity_card_policies_by_country; https://us.embassyeritrea.org/national-id/,2,OK,,,,"https://us.embassyeritrea.org/national-id/; https://www.ecoi.net/en/document/1343821.html; https://www.ecoi.net/en/document/2011310.html","Sources fetched and read. The Eritrean Embassy confirms citizens aged 18 and above are required to obtain a national ID, and this requirement is consistently documented from 2012 through to 2024 (UK Border Agency 2012, IRB 2013 and 2018, Eritrean Embassy). However, enforcement is inconsistent, particularly for rural residents and the diaspora, and specific groups (Jehovah's Witnesses, military deserters) are documented as being denied the credential as an administrative sanction. This mix of a general legal mandate with selective, punitive denial does not cleanly fit 'Mandatory for all'; Score of 2 (Mandatory for some) remains a reasonable and evidence-consistent reading. Confirmed unchanged rather than promoted to the top of the scale on this mixed picture.",2024,medium,"Eritreans aged 18 and above are legally required to obtain a national ID card, which is needed to access government services and to obtain a passport. In practice, however, enforcement is inconsistent, particularly for the diaspora and rural residents, and certain groups, including Jehovah's Witnesses and military deserters, are documented as being denied the credential as an administrative sanction, so the mandate does not apply evenly across the whole population.",
