Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",4, Partially integrated,2022,"Business registration through the Orinasa platform is fully integrated with X-Road/Rahaka. The EDBM (Economic Development Board) connects to the tax directorate and statistics agencies via the platform, enabling business registration in 8 hours. Confirmed as operational.",exchange-func-business,35,https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services;https://ega.ee/project/implementation-xroad-madagascar/,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Civil Registration & Vital Statistics Integration,"Integration of CRVS data (births, deaths, marriages) into data exchange for real-time verification and service eligibility",3, Under development,2024,PRODIGY aims to create a consolidated and interoperable identity management system linked to civil registration. The NUI is being piloted to connect birth registration with national ID. Integration under development but not fully operational.,exchange-func-crvs,22,https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services;https://www.biometricupdate.com/202508/madagascar-seeks-firm-to-expand-digital-interoperability-platform,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital ID Integration,Extent to which the national digital identity system is integrated with the data exchange for identity verification and authentication,3, Under development,2024,"A National Unique Identifier (NUI) is being piloted under PRODIGY. The DPI Map records the NUI under the Ministry of Interior and Decentralization with 'Pilot' implementation status. Once deployed, the NUI/UIN will enable the 'once-only' principle for service delivery through the X-Road platform.",exchange-func-digitalid,21,https://dpimap.org/madagascar/;https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Payments Integration,"Integration with national payment systems for government-to-person (G2P), government-to-business (G2B) transactions via data exchange",3, Under development,2022,A shared government payments platform was under development to connect to Orinasa (business registration platform) and other public services. Madagascar's mobile money ecosystem (10 million users) is active. The DGU is developing a shared payment platform to avoid proliferation of multiple government payment systems.,exchange-func-payments,23,https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services;https://futures.issafrica.org/blog/2024/Madagascar-2044-A-visionary-model-for-governance,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",4, Partially integrated,2022,Statistics agencies (INSTAT) are confirmed as connected to the Rahaka/X-Road platform. This integration enables data interoperability for business registration alongside tax and commerce registry.,exchange-func-planning,33,https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services;https://ega.ee/project/implementation-xroad-madagascar/,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Tax & Revenue Integration,Integration of tax administration and revenue collection systems data into the exchange platform,4, Partially integrated,2022,"The X-Road/Rahaka interoperability platform already enables data interoperability between Madagascar's tax directorate (DGI), commerce registry (EDBM), and statistics agencies â€” this is what enables business registration in hours. Tax directorate data is confirmed as connected to the exchange layer.",exchange-func-revenue,24,https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services;https://ega.ee/project/implementation-xroad-madagascar/,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",2, Planned,2025,The PRODIGY project aims to enable the 'once-only' principle including for benefits programs once the NUI is fully deployed. No confirmed operational integration of social protection registries into the X-Road platform as yet.,exchange-func-socialprotection,30,https://blogs.worldbank.org/en/governance/madagascars-digital-transformation-helping-deliver-better-and-faster-services;https://www.biometricupdate.com/202508/madagascar-seeks-firm-to-expand-digital-interoperability-platform,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Enabling Legislation,"Whether primary laws, acts, or legal instruments exist that establish authority for cross-government data sharing and govern the data exchange system",3, Yes,2024,Madagascar has Law No. 2014-038 on Personal Data Protection (in force 2015) and ratified the Malabo Convention (2024). The CMIL was established in December 2023. A legal framework recommendation was provided by the Estonian e-Governance Academy for the X-Road implementation. These provide a legal basis for digital data exchange operations.,exchange-gov-legislation-exists,15.5,https://www.dlapiperdataprotection.com/index.html?t=law&c=MG;https://ega.ee/project/implementation-xroad-madagascar/,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Implementation Roadmap,"Whether a detailed implementation roadmap with phases, milestones, and timelines exists for data exchange development",3,Yes,2024,"Madagascar's digital transformation roadmap was co-developed with Public Digital and includes interoperability as a defined pillar. The PRODIGY project has phased objectives: consolidated identity management, digital government services, and project management. The project was extended to June 2026. A publicly accessible roadmap exists through the World Bank project documentation.",exchange-gov-roadmap,14,https://public.digital/pd-insights/client-stories/madagascar-advancing-digital-transformation;https://www.biometricupdate.com/202508/madagascar-seeks-firm-to-expand-digital-interoperability-platform,2,OK,,,,,
MDG,Madagascar,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Strategic Framework,Whether a formal strategy or policy document exists specifically for government data exchange and interoperability,4, Comprehensive Strategy Exists,2023,Madagascar has a Digital Strategic Plan (PSN) 2023-2028 focused on developing telecommunications and digitizing public services. The PRODIGY project provides a comprehensive digital transformation roadmap. Public Digital co-developed the government's first digital transformation roadmap with interoperability as a key pillar. The UGD was established in 2022 as the governing entity.,exchange-gov-strategy,13,https://www.trade.gov/country-commercial-guides/madagascar-digital-economy;https://public.digital/pd-insights/client-stories/madagascar-advancing-digital-transformation;https://www.wearetech.africa/en/fils-uk/news/tech/madagascar-launches-digital-readiness-assessment-to-tackle-hurdles,3,OK,,,,,
