Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Digital Authentication Function,Whether the system enables individuals to authenticate themselves or their documents digitally through electronic verification,1, No,2021,"MOSIP supports digital authentication via fingerprint biometrics and one-time passwords (OTPs). TECH5 ABIS enables 1:1 authentication for face, fingerprint, and iris. Authentication function present in the pilot but not fully deployed at national scale.",id-functionality-authdigital,36,https://www.biometricupdate.com/202011/guineas-biometrics-backed-foundational-identity-pilot-shows-open-source-benefits | https://idtechwire.com/guinea-uses-mosip-tech5-technology-new-national-id-program-062207/,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,KYC Enablement,"Whether the system enables Know Your Customer (KYC) packet collection for service provision, particularly financial services",1, No,2021,OSIA-based identity system selected for ANIES explicitly includes financial inclusion and KYC. IDEMIA/SIA system designed for financial services access and payment services. ANIES planned cash transfer programme enabling financial and payment services access.,id-functionality-kycenable,38,https://www.biometricupdate.com/202106/guinea-selects-idemia-for-osia-digital-identity-system-to-drive-inclusion | https://secureidentityalliance.org/news-events/news/guinea-adopts-osia-based-identity-management-system-to-drive-major-economic-and-social-inclusion-programs-across-the-country,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Judicial Oversight,Whether the ID authority and system are subject to general oversight of the courts and judicial review,1, No,2014,Civil registry corrections and late registrations require regularization via courts of first instance. Some judicial involvement in identity documentation. No formal structured judicial oversight mechanism for digital ID system found.,id-governance-courtoversight,22,https://citizenshiprightsafrica.org/the-modernisation-of-guineas-civil-registry-inspired-by-belgiums-experience/,1,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Civil Registration Integration,Whether the civil registration and digital ID systems are integrated,1, No integration,2023,"EU/Belgium-funded civil registry modernization pilot active in 10 municipalities from 2023 (Enabel project). >105,000 records migrated to digital database. October 2023 law includes separate civil registry law. Linkage with digital ID system under development; not yet fully integrated at national scale.",id-governance-crvs,21,https://citizenshiprightsafrica.org/the-modernisation-of-guineas-civil-registry-inspired-by-belgiums-experience/ | https://documents1.worldbank.org/curated/en/099050225110559061/pdf/P161329-f64eac6f-ea4d-4447-bde2-e38454971325.pdf,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Sharing Rules,"Whether procedural rules for collection, storage, and sharing of ID-related personal data are publicly available and established",2, Partially available,2023,"Law No. L/2016/037/AN (2016) establishes data sharing and transfer rules, including prohibition on transfers to non-ECOWAS countries without equivalent protection. WURI Governance Framework signed 2023 establishes cross-border data sharing rules among member states. OSIA used for standardized data sharing.",id-governance-datasharingrules,23,https://www.dlapiperdataprotection.com/?t=law&c=GN | https://www.zawya.com/en/press-release/africa-press-releases/west-africa-unique-identification-for-regional-integration-and-inclusion-wuri-pilot-countries-adopt-governance-wgrmb9qc,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Digital ID Specific Regulation,Whether specific regulation or policy addresses digital ID beyond general identification legislation,1, No,2023,"A specific law on identifying physical persons was passed by Guinea's National Transition Council in October 2023, casting some uncertainty on the existing legal framework per World Bank reports. The WURI programme also required a dedicated legal framework for foundational ID systems.",id-governance-digidreg,17,https://documents1.worldbank.org/curated/en/099050225110559061/pdf/P161329-f64eac6f-ea4d-4447-bde2-e38454971325.pdf | https://wuri.ecowas.int/about-us/wuri-programme/,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Data Protection Act,Whether national data protection legislation exists and covers personal data linked to the ID system,1, No,2016,"Law No. L/2016/037/AN (enacted July 28, 2016) governs cybersecurity and personal data protection. Covers sensitive data, data subject rights (access, rectification, erasure), data controller obligations, and transfer rules. Provides for establishment of a national DPA (CNIL).",id-governance-dpaexists,18,https://dataprotection.africa/guinea/ | https://www.dlapiperdataprotection.com/?t=law&c=GN | https://lawgratis.com/blog-detail/privacy-law-at-guinea,3,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Proof Status,Whether the digital ID credential serves as legal proof of an individual's identity as codified in law,2, Yes,1995,"Guinea's CNI (Carte Nationale d'Identite) is legally mandatory for citizens from age 15 (Decree D/95/254/PRG/SGG, 1995). Required at security checkpoints, borders, and for many official purposes. ANIES digital beneficiary card designed to provide legal identity.",id-governance-legalproof,20,https://www.ecoi.net/en/document/1146298.html | https://en.wikipedia.org/wiki/List_of_national_identity_card_policies_by_country,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Legal Framework,"Whether formal legislation (act, law, regulation) governs digital identity including identification acts, digital ID laws, or equivalent legislation",2, Yes,2023,Decree D/95/254/PRG/SGG (1995) provides legal framework for CNI. Law No. L/2016/037/AN on Cybersecurity and Personal Data Protection (2016). October 2023: National Transition Council passed a new law on identifying physical persons (separate from civil registry law). Multiple legal instruments in place.,id-governance-legframework,16,https://www.ecoi.net/en/document/1146298.html | https://www.dlapiperdataprotection.com/?t=law&c=GN | https://documents1.worldbank.org/curated/en/099050225110559061/pdf/P161329-f64eac6f-ea4d-4447-bde2-e38454971325.pdf,3,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Ownership,Maintenance,"Whether the system and the production of credentials can be managed, maintained and developed by in-country technical staff (as opposed to foreign vendors)",1, Foreign vendors dominate,2023,ANIES (National Agency for Economic and Social Inclusion) was the primary implementing agency for digital ID. WURI-Guinea was closed early in June 2024. New October 2023 law passed but institutional arrangements not fully consolidated. Maintenance responsibility unclear post-WURI closure.,id-ownership-maintenance,14,https://documents1.worldbank.org/curated/en/099050225110559061/pdf/P161329-f64eac6f-ea4d-4447-bde2-e38454971325.pdf | https://secureidentityalliance.org/news-events/news/guinea-adopts-osia-based-identity-management-system-to-drive-major-economic-and-social-inclusion-programs-across-the-country,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Ownership,Ministry of Finance Oversight,Whether the Ministry of Finance has oversight of the financing and development of the digital ID system,1, No oversight,2008,Order A/2008/813/MEF/SGG (Ministry of Economy and Finance) sets stamp duty and fee rates for CNI issuance. FUGAS managed under Ministry of Labour. WURI funded by World Bank. No clear Ministry of Finance oversight of the digital ID system itself.,id-ownership-oversight,24,https://www.ecoi.net/en/document/1146298.html | https://www.ecofinagency.com/news-digital/3011-50979-guinea-claims-26-9m-saved-since-2024-with-biometric-audit-of-public-workforce,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Biometric Data Collection,"Whether the system collects biometric data and which modalities are collected (fingerprints, facial image, iris scans)",3, Facial/Iris,2021,"TECH5's T5-ABIS supports face, fingerprint, and iris recognition for Guinea's national ID. Pilot evaluated all three biometric modalities. Existing CNI also required fingerprint. FUGAS biometric payroll system further confirms biometric capability.",id-system-biocollect,7,https://idtechwire.com/guinea-uses-mosip-tech5-technology-new-national-id-program-062207/ | https://www.biometricupdate.com/202011/guineas-biometrics-backed-foundational-identity-pilot-shows-open-source-benefits,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Electronic Database,Whether identity records are stored in electronic/digital format versus paper-based records,2, Mix of paper and digital,2021,"Central database established since 1995 (CNI, Decree D/95/254 Art. 12 — 15-digit national identification number). MOSIP-based electronic database built for the WURI foundational ID pilot. FUGAS digital payroll database operational from 2024.",id-system-dbelectronic,11,https://www.ecoi.net/en/document/1146298.html | https://idtechwire.com/guinea-uses-mosip-tech5-technology-new-national-id-program-062207/ | https://www.ecofinagency.com/news-digital/3011-50979-guinea-claims-26-9m-saved-since-2024-with-biometric-audit-of-public-workforce,3,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,Digital ID System Exists,"Whether the country has established or is actively developing a national digital identity system, including foundational ID systems that enable authentication across multiple services. Fully deployed means operational nationwide and accepting new registrations.",2, Planning,2021,"Guinea has a traditional national ID card (CNI) established since 1995, and launched a MOSIP/TECH5-based digital foundational ID via the WURI programme in 2021. A pilot issued 8,000 UNIs. The WURI-Guinea project was closed early in June 2024 before full national rollout. A new identification law was passed by the National Transition Council in October 2023. The FUGAS biometric payroll system launched in 2024/2025.",id-system-didexists,1,https://idtechwire.com/guinea-uses-mosip-tech5-technology-new-national-id-program-062207/ | https://documents1.worldbank.org/curated/en/099050225110559061/pdf/P161329-f64eac6f-ea4d-4447-bde2-e38454971325.pdf | https://www.biometricupdate.com/202512/guinea-launches-biometric-system-to-weed-out-ghost-public-workers,3,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",System,System Interoperability,Whether the digital ID system is designed to be interoperable across government agencies and with other systems through APIs or data exchange protocols,1, No,2021,Guinea's ANIES adopted OSIA (Open Standards Identity APIs) standards for interoperability. Part of the WURI programme designed for regional ECOWAS interoperability and cross-border recognition. MOSIP platform supports interoperability. Strategy in design phase; full implementation not confirmed.,id-system-sysinterop,9,https://secureidentityalliance.org/news-events/news/guinea-adopts-osia-based-identity-management-system-to-drive-major-economic-and-social-inclusion-programs-across-the-country | https://wuri.ecowas.int/about-us/wuri-programme/,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Banking/Financial Services Use,Whether credential is accepted or mandatory for opening bank accounts and accessing financial services,1, No,2021,ANIES/IDEMIA system designed to enable access to financial services via beneficiary card and cash transfer programme. OSIA system selected specifically to drive financial inclusion. No confirmed large-scale operational banking KYC use of digital ID reported.,id-uptake-bankuse,46,https://www.biometricupdate.com/202106/guinea-selects-idemia-for-osia-digital-identity-system-to-drive-inclusion | https://identityreview.com/guinea-to-adopt-its-first-national-digital-identity-card/,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Cost of Credential,Whether credentials are issued free of charge,1, No,2021,"CNI has an official fee (15,000-25,000 GNF historically). Wikipedia notes 100,000/150,000 CFA. WURI/ANIES planned basic credentials at no cost to the population per WURI design principles. Mixed: traditional ID has fee; new digital ID targeted free issuance.",id-uptake-cost,31,https://www.ecoi.net/en/document/1146298.html | https://au.int/sites/default/files/documents/43393-doc-AU_Interoperability_framework_for_D_ID_English.pdf,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Cross-Border Recognition,Whether the digital ID is recognized or interoperable across borders through regional agreements or travel documents,2," Recognized in some regional contexts (e.g., ECOWAS travel)",2023,Guinea part of ECOWAS WURI programme for regional interoperability and mutual recognition of foundational ID credentials. WURI Governance Framework signed April 2023. ECOWAS ENBIC programme. Interoperability strategy validated in West Africa (Aug 2025). Guinea closed WURI early but regional framework exists.,id-uptake-crossborder,50,https://www.zawya.com/en/press-release/africa-press-releases/west-africa-unique-identification-for-regional-integration-and-inclusion-wuri-pilot-countries-adopt-governance-wgrmb9qc | https://wuri.ecowas.int/about-us/wuri-programme/,2,OK,,,,,,,,,
GIN,Guinea,Digital Id,"The architecture, governance, functionality and uptake of government digital identity systems and credentials. 30 variables in 5 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Uptake,Enrollment Eligibility Age,Age in years at which an individual becomes eligible to register for digital ID,3, 6-10,1995,CNI mandatory from age 15 under Decree D/95/254/PRG/SGG (1995). WURI/ANIES system designed for 'all persons in the territory' without age restriction. MOSIP allows registration from young ages. Age 15 is the de facto lower bound for mandatory national ID.,id-uptake-enrolleligible,28,https://www.ecoi.net/en/document/1146298.html | https://en.wikipedia.org/wiki/List_of_national_identity_card_policies_by_country,2,OK,,,,,,,,,
