Country,Country Name,Chapter,Chapter Details,Section,Variable Name,Definition,Value Code,Value Name,Year,Comments,Variable Id,Variable Sort,Source urls,n_sources,redteam_priority,redteam_flags,redteam_note,revised_value_code,revised_source_urls,revision_notes,revised_year,revised_year_confidence,revised_comments,status
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Agriculture System Integration,"Integration of farmer registries, agricultural input vouchers, land registrations, extension services data",0,Unknown or n.a.,,No evidence of agriculture system integration into a data exchange platform.,exchange-func-agriculture,31,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.eyeradio.org/ministry-of-agriculture-fao-launch-electronic-registry-for-farming-cooperatives/;https://www.onecitizendaily.com/index.php/2025/04/09/south-sudan-launches-digital-platform-to-boost-agricultural-co-operatives/;https://www.fao.org/south-sudan/news/detail-events/en/c/1735064/","Original score of Unknown was not supported by the cited World Bank PDF, which does not address agriculture-sector data exchange. Fresh search found the Ministry of Agriculture and Food Security's FAO-supported Farmers' E-Registry and Co-operatives E-Registry (launched April 2025), covering farmer/cooperative registration, an e-voucher module for inputs, and extension advisory linkage, rolling out across all ten states. This is a real, functioning sectoral system, not a cross-government data exchange, so code raised from 0 to 3 (Under development).",2025,high,"The Ministry of Agriculture and Food Security, supported by the FAO, operates a Farmers' E-Registry and a Co-operatives E-Registry (launched April 2025), which capture farmer and cooperative data alongside an e-voucher module for agricultural inputs and links to extension advisory services. Roll-out is under way across all ten states and three administrative areas, with government staff and extension officers trained to register users. The system remains a sector-specific FAO-supported platform; there is no confirmed interoperability with a cross-government data exchange, so integration is best characterised as under development rather than complete.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Business Registration & Licensing Integration,"Integration of company registration, business licensing, tax compliance, regulatory compliance data",0,Unknown or n.a.,,No evidence of business registration integration into a data exchange platform.,exchange-func-business,35,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.eservices.gov.ss/;https://accounts.eservices.gov.ss/mdas;https://brs.eservices.gov.ss/;https://documents1.worldbank.org/curated/en/099082124032516953/txt/P176181189ab9907919b721aee1da24ba45.txt","Original Unknown score was not supported by the cited World Bank PDF (no mention of business-registration data exchange). Fresh research found South Sudan's operational eServices platform (eservices.gov.ss), providing single sign-on across the Ministry of Justice's e-Business Portal (registration), the Ministry of Trade and Industry (licensing) and the National Bureau of Standards (accreditation). World Bank 2024 project supervision reporting confirms back-end interoperability across these agency systems is still being built. Code raised from 0 to 3 (Under development) to reflect a live shared front-end with back-end integration in progress.",2024,medium,"South Sudan's eServices platform (eservices.gov.ss), run under the Ministry of ICT and Postal Services, provides single sign-on access to business registration (via the Ministry of Justice's e-Business Portal), trade licensing (Ministry of Trade and Industry) and product accreditation (National Bureau of Standards), alongside revenue and customs services. Citizens use one account to apply for licences and permits online, paying via mobile money, cards or bank transfer. World Bank supervision reporting from 2024 notes that back-end interoperability between these agency systems, via a planned Government Enterprise Architecture, is still being developed, so integration is under way but not yet complete.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Education System Integration,"Integration of learner records, academic credentials, enrollment data, and scholarship/bursary systems",0,Unknown or n.a.,,No evidence of education system integration into a data exchange platform.,exchange-func-education,29,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://doi.org/10.6084/m9.figshare.30192664.v2;https://www.sssams.org/;https://mogei.gov.ss/emistat","Original cited World Bank PDF does not discuss education-sector integration, so the Unknown score was unsupported. Fresh research found South Sudan runs several parallel digital education data systems (EMIS, the donor-funded SSSAMS attendance/enrolment system, and a separate Refugee EMIS). A 2025 ERICC consortium review confirms these are not coordinated or linked with each other or with other government systems. This is positive evidence of non-integration, so code raised from 0 (Unknown) to 1 (Not integrated).",2025,high,"South Sudan operates several parallel digital education data systems: the Education Management Information System (EMIS) under the Ministry of General Education and Instruction, the donor-funded South Sudan Schools' Attendance Monitoring System (SSSAMS) tracking enrolment and attendance in near-real time, and a separate Refugee EMIS (REMIS). A 2025 review by the ERICC consortium finds these systems use inconsistent indicator definitions and are not coordinated or linked with one another or with other government data systems, so no integration into a cross-government data exchange currently exists.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Electoral Register Integration,"Integration of voter registration data for identity verification, demographic analysis, and service delivery targeting",0,Unknown or n.a.,,No evidence of electoral register integration with any data exchange system.,exchange-func-electoral,25,https://www.sudanspost.com/what-is-actually-functioning-as-dpi-in-south-sudan/,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://www.idea.int/data-tools/data/country?country=211&database_theme=327;https://www.biometricupdate.com/202404/concerns-over-national-id-card-requirements-for-upcoming-polls-in-malawi-south-sudan;https://www.onecitizendaily.com/index.php/2024/06/05/nec-begins-staff-training-on-voter-registration/","Original sudanspost source was a general DPI overview, not electoral-specific, so the Unknown score lacked a direct source. Fresh research confirms via International IDEA's electoral database that South Sudan's National Election Commission does not use technology to collect voter registration data, and 2024 reporting shows voter registration training remains preliminary, contingent on political agreement among Revitalised Peace Agreement signatories. This is positive evidence of no integration, so code raised from 0 (Unknown) to 1 (Not integrated).",2024,medium,"South Sudan's National Election Commission has not yet operationalised a digital voter register: per the International IDEA electoral database and 2024 reporting, no technology is used to collect or manage voter registration data, and the long-delayed voter registration and general election process remains contingent on political agreement among parties to the 2018 Revitalised Peace Agreement. There is no evidence of any electoral data linkage to a government data exchange system.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Employment Services Integration,"Integration of job seeker registries, unemployment insurance, public employment programs, labor market information",0,Unknown or n.a.,,No evidence of employment services integration into a data exchange platform.,exchange-func-employment,34,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://sslmis.mol.gov.ss/;https://mol.gov.ss/sites/default/files/2023-02/Ministry%20of%20Labour%20Policy%20and%20Strategic%20plan%202021-2025_FV_10.01.2023.pdf","Cited World Bank PDF does not address employment-sector integration, so the Unknown score was unsupported. Fresh research found the Ministry of Labour operates the South Sudan Labour Market Information System (SSLMIS) as a standalone portal, and its 2021-2025 strategic plan lists establishing a proper labour and employment database as an outstanding need. No evidence these employment records connect to any cross-government data exchange. Code raised from 0 (Unknown) to 1 (Not integrated) on this positive evidence of a standalone, non-integrated system.",2023,medium,"The Ministry of Labour, Public Service and Human Resource Development operates the South Sudan Labour Market Information System (SSLMIS), a standalone portal for labour supply and demand data, and maintains job-seeker and vocational-training registration under its 2021-2025 policy framework. The Ministry's own strategic plan lists establishing a proper labour and employment database as an outstanding need. There is no evidence that these employment records are integrated with any cross-government data exchange.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Justice System Integration,"Integration of court records, case management systems, correctional services data, legal aid information",0,Unknown or n.a.,,No evidence of justice system integration into a data exchange platform.,exchange-func-justice,32,https://www.sudanspost.com/what-is-actually-functioning-as-dpi-in-south-sudan/,1,Low,no_year,No data year recorded — provenance/recency unknown.,1,"https://www.radiotamazuj.org/en/news/article/unmiss-donates-laptops-court-materials-to-boost-south-sudan-judiciary;https://hcntimes.com/unmiss-donates-laptops-court-materials-to-boost-south-sudan-judiciary/;https://www.bewsys.com/impact/digitalization-of-judiciary-case-management-system-for-south-sudan;https://openknowledge.worldbank.org/entities/publication/0320143c-7fc1-42ed-a6d1-be0f72e8108e","Sudanspost source confirmed as a general DPI overview supporting non-integration. However, a vendor case study (BEWSYS) claims a shared case-management portal across South Sudan's four judicial institutions, which would contradict a Not-integrated score. This claim could not be corroborated: independent reporting from June 2026 shows the judiciary still transitioning from paper-based administration, having only just received its first laptops from UNMISS for record-keeping. Given the direct conflict between an unverified vendor claim and more recent, credible field reporting, the score is retained at 1 (Not integrated) but flagged for human review given the possibility the vendor system is real but under-reported.",2026,low,"South Sudan's judiciary remains largely paper-based. As of June 2026, the judiciary was still transitioning from manual record-keeping, having just received its first batch of laptops from UNMISS to support case registration and record management, describing digitalisation as a work in progress. A vendor case study separately claims a case-management portal shared across the country's four judicial institutions, but this claim is not corroborated by independent reporting and its current operational status could not be verified. There is no confirmed integration of justice-sector data with a government data exchange.",human_review
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Driver Licensing Integration,Integration of driver's license registration and traffic offence data,0,Unknown or n.a.,,No evidence of driver licensing integration into a data exchange system.,exchange-func-licensing,27,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.eyeradio.org/south-sudan-launches-digitalized-traffic-system/;https://www.onecitizendaily.com/index.php/2022/04/29/govt-launches-digital-car-registration/;https://www.radiotamazuj.org/en/news/article/interior-ministry-launches-issuance-of-logbooks-driving-licenses-in-torit;https://www.carsjuba.com/sw/posts/enhancing-border-security-south-sudan-s-digital-car-tracking-system-at-nimule-border","Cited World Bank PDF does not address driver-licensing integration, so the Unknown score was unsupported. Fresh research found the Ministry of Interior's traffic police has operated a digital vehicle registration and driving-licence system since 2022, expanded to Eastern Equatoria (Torit) in February 2024, plus a digital vehicle-tracking/licence-plate-recognition system at the Nimule border linking to border control. Code raised from 0 (Unknown) to 3 (Under development) reflecting a real, expanding but not fully integrated system.",2024,medium,"The Ministry of Interior's traffic police directorate has rolled out digital vehicle registration (logbooks, number plates) and driving licence issuance since 2022, initially in Juba and extended to states such as Eastern Equatoria (Torit, February 2024), in partnership with private contractors. A related digital vehicle-tracking and licence-plate-recognition system operates at the Nimule border crossing, linking vehicle data to border control. These systems are being expanded progressively across states but are not yet confirmed as integrated with a broader government data exchange platform.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,National Planning & Statistics Integration,"Integration of statistics, census data, administrative data for planning, M&E, and evidence-based policymaking",0,Unknown or n.a.,,No evidence of national statistics/planning system integration into a data exchange platform. World Bank notes absence of reliable ICT data collection.,exchange-func-planning,33,https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf,1,Low,no_year,No data year recorded — provenance/recency unknown.,3,"https://www.nbs.gov.ss/resources/Data_Portal.php;https://www.nbs.gov.ss/surveys/Data_Collection_Methods.php;https://igad.int/calls-for-renewed-collaboration-at-the-7th-coordination-meeting-on-migration-and-displacement-statistics-in-south-sudan/;https://www.nbs.gov.ss/about-us/Strategic_Plan.php","Cited World Bank PDF's comment about absent ICT data collection was general and dated; fresh research found the National Bureau of Statistics operates a Data Portal with API access, a National Data Archive, and, per a July 2025 IGAD-supported coordination meeting, a newly instituted Harmonised Data Sharing Tool and National Centralised Database with formal Data Sharing Protocols across contributing ministries and agencies. Code raised from 0 (Unknown) to 3 (Under development) since implementation is confirmed but not yet comprehensive.",2025,high,"The National Bureau of Statistics (NBS) operates a Data Portal offering an API for programmatic data access and a National Data Archive for census and survey microdata. In partnership with IGAD, it has instituted a Harmonised Data Sharing Tool and a National Centralised Database for migration and displacement statistics, with formal Data Sharing Protocols agreed among contributing ministries, departments and agencies in 2025. Institutional strengthening and full implementation of these tools across all administrative data producers remain in progress.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Functionality,Social Protection Integration,"Integration of social assistance programs, grant registries, beneficiary management systems",1,Not integrated,,No integrated social protection registry linked to a data exchange system. Humanitarian cash transfer programs exist but are donor-driven and siloed.,exchange-func-socialprotection,30,https://www.sudanspost.com/what-is-actually-functioning-as-dpi-in-south-sudan/,1,Low,no_year,No data year recorded — provenance/recency unknown.,,https://www.sudanspost.com/what-is-actually-functioning-as-dpi-in-south-sudan/,"Fetched the cited Sudans Post article (published 20 January 2026) and confirmed it supports the score: it describes international aid organisations running large-scale biometric beneficiary databases and mobile cash-transfer platforms for displaced people, operating in parallel to, rather than integrated with, state systems, with no national social registry. Score of 1 (Not integrated) confirmed unchanged; year attribution updated to the source's publication date.",2026,high,"South Sudan lacks an integrated social protection registry linked to any government data exchange. Cash transfer and safety-net programmes operating in the country are predominantly donor-funded and delivered through humanitarian actors' own biometric beneficiary databases and mobile cash-transfer platforms, which function in parallel to, rather than as part of, state systems.",
SSD,South Sudan,Data Exchange,"The architecture, governance, functionality and uptake of government data exchange systems. 25 variables in 4 sections. Contains latest available data. Data collection by Perplexity from a variety of sources.",Governance,Implementation Roadmap,"Whether a detailed implementation roadmap with phases, milestones, and timelines exists for data exchange development",1,No,,No dedicated implementation roadmap for data exchange/interoperability found. President Kiir ordered digitization of all government institutions (Dec 2025) but no phased roadmap with milestones for data exchange published.,exchange-gov-roadmap,14,https://www.ecofinagency.com/news-digital/1912-51559-south-sudan-orders-full-digitization-of-public-institutions;https://www.sudanspost.com/what-is-actually-functioning-as-dpi-in-south-sudan/,2,Low,no_year,No data year recorded — provenance/recency unknown.,2,"https://documents1.worldbank.org/curated/en/099082124032516953/txt/P176181189ab9907919b721aee1da24ba45.txt;https://thedocs.worldbank.org/en/doc/61714f214ed04bcd6e9623ad0e215897-0400012021/related/Digital-Economy-SouthSudan-jun22.pdf;https://www.ecofinagency.com/news-digital/1912-51559-south-sudan-orders-full-digitization-of-public-institutions","Both cited sources were fetched and read; they support the general finding of no finalised roadmap but do not fully capture that a roadmap process is under way. Fresh research found a World Bank 2024 project supervision document confirming a consulting firm was actively developing a 'South Sudan Digital Development Road Map/Master Plan' and a Government Enterprise Architecture assessment, alongside a roadmap for the ICT Authority, none finalised or published at that time. The 2022 World Bank Digital Economy Assessment separately set out phased short/medium/long-term recommendations including strengthening back-end G2G interoperability. This is evidence of an active, unpublished roadmap process, so code raised from 1 (No) to 2 (Under development).",2024,medium,"A dedicated implementation roadmap for data exchange is in development rather than finalised. The World Bank's 2022 Digital Economy Assessment set out phased short/medium/long-term recommendations that include strengthening back-end government-to-government platforms and establishing interoperable systems. World Bank project supervision reporting from 2024 confirms a consulting firm was actively developing a South Sudan Digital Development Road Map/Master Plan and a Government Enterprise Architecture assessment, alongside a roadmap for the ICT Authority, none of which had been finalised or published at that time. In December 2025 the President separately ordered full digitisation of public institutions by decree, without a published phased roadmap specific to data exchange.",
